# Section	Page	Header	Code	Locale	Old	New	Level
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	aa	¤#,##0.00	¤ #,##0.00	moderate
Locale Display Names	Languages (E-J)	E	Eastern Ojibwa ► ojg	en	Eastern Ojibwa	▷removed◁	comprehensive
Locale Display Names	Languages (K-N)	N	Northern Haida ► hdn	en	Northern Haida	▷removed◁	comprehensive
Locale Display Names	Languages (T-Z)	W	Woods Cree ► cwd	en	Woods Cree	▷removed◁	comprehensive
Locale Display Names	Territories (Oceania)	Australasia	CC-short	en	Cocos (Keeling) Islands	Cocos Islands	basic
Locale Display Names	Territories (Oceania)	Polynesia	PN-short	en	Pitcairn Islands	Pitcairn	basic
Date & Time	Gregorian	Formats - Standard - Time Formats	full	en_GS	h:mm:ss a zzzz	HH:mm:ss zzzz	moderate
Date & Time	Gregorian	Formats - Standard - Time Formats	long	en_GS	h:mm:ss a z	HH:mm:ss z	moderate
Date & Time	Gregorian	Formats - Standard - Time Formats	medium	en_GS	h:mm:ss a	HH:mm:ss	moderate
Date & Time	Gregorian	Formats - Standard - Time Formats	short	en_GS	h:mm a	HH:mm	moderate
Timezones	South America	Cities and Regions	Easter	en	Easter	Easter Island	moderate
Timezones	Africa	Africa_Eastern	standard-long	en_AU	Eastern Africa Time	East Africa Time	moderate
Timezones	Russia	Kamchatka	generic-long	en	Petropavlovsk-Kamchatski Time	Kamchatka Time	comprehensive
Timezones	Russia	Kamchatka	standard-long	en	Petropavlovsk-Kamchatski Standard Time	Kamchatka Standard Time	comprehensive
Timezones	Russia	Kamchatka	daylight-long	en	Petropavlovsk-Kamchatski Summer Time	Kamchatka Summer Time	comprehensive
Timezones	Russia	Moscow	daylight-long	en_AU	Moscow Daylight Time	Moscow Summer Time	moderate
Timezones	Western Asia	Arabian	generic-long	en_AU	Arabia Time	Arabian Time	moderate
Timezones	Western Asia	Arabian	standard-long	en_AU	Arabia Standard Time	Arabian Standard Time	moderate
Timezones	Western Asia	Arabian	daylight-long	en_AU	Arabia Daylight Time	Arabian Daylight Time	moderate
Timezones	Western Asia	Gulf	standard-short	en_AU	Gulf ST	▷removed◁	moderate
Timezones	Eastern Asia	Korea	generic-long	en_AU	Korea Time	Korean Time	moderate
Timezones	Eastern Asia	Pyongyang	standard-long	en	Pyongyang Time	North Korea Time	moderate
Timezones	Eastern Asia	Taipei	generic-long	en	Taipei Time	Taiwan Time	moderate
Timezones	Eastern Asia	Taipei	standard-long	en	Taipei Standard Time	Taiwan Standard Time	moderate
Timezones	Eastern Asia	Taipei	daylight-long	en	Taipei Daylight Time	Taiwan Daylight Time	moderate
Timezones	Southeast Asia	Brunei	standard-long	en	Brunei Darussalam Time	Brunei Time	moderate
Timezones	Southeast Asia	East_Timor	standard-long	en	East Timor Time	Timor-Leste Time	moderate
Timezones	Australasia	Australia_Central	generic-long	en	Central Australia Time	Australian Central Time	moderate
Timezones	Australasia	Australia_Eastern	generic-long	en	Eastern Australia Time	Australian Eastern Time	moderate
Timezones	Australasia	Australia_Western	generic-long	en	Western Australia Time	Australian Western Time	moderate
Timezones	Australasia	Cities and Regions	Christmas	en	Christmas	Christmas Island	moderate
Timezones	Australasia	Cities and Regions	Cocos	en	Cocos	Cocos Islands	moderate
Timezones	Australasia	Cities and Regions	Lord_Howe	en	Lord Howe	Lord Howe Island	moderate
Timezones	Australasia	Cities and Regions	Macquarie	en	Macquarie	Macquarie Island	moderate
Timezones	Australasia	Cities and Regions	Norfolk	en	Norfolk	Norfolk Island	moderate
Timezones	Antarctica	DumontDUrville	standard-long	en	Dumont-d’Urville Time	Dumont d’Urville Time	moderate
Timezones	Oceania	Apia	generic-long	en	Apia Time	Samoa Time	moderate
Timezones	Oceania	Apia	standard-long	en	Apia Standard Time	Samoa Standard Time	moderate
Timezones	Oceania	Apia	daylight-long	en	Apia Daylight Time	Samoa Daylight Time	moderate
Timezones	Oceania	Cook	generic-long	en_AU	Cook Island Time	Cook Islands Time	moderate
Timezones	Oceania	Cook	standard-long	en_AU	Cook Island Standard Time	Cook Islands Standard Time	moderate
Timezones	Oceania	Cook	daylight-long	en	Cook Islands Half Summer Time	Cook Islands Summer Time	moderate
Timezones	Oceania	Cook	daylight-long	en_AU	Cook Island Summer Time	Cook Islands Summer Time	moderate
Timezones	Oceania	North_Mariana	standard-long	en	North Mariana Islands Time	Northern Mariana Islands Time	comprehensive
Timezones	Oceania	Ponape	standard-long	en	Ponape Time	Pohnpei Time	moderate
Timezones	Oceania	Samoa	generic-long	en	Samoa Time	American Samoa Time	moderate
Timezones	Oceania	Samoa	standard-long	en	Samoa Standard Time	American Samoa Standard Time	moderate
Timezones	Oceania	Samoa	daylight-long	en	Samoa Daylight Time	American Samoa Daylight Time	moderate
Timezones	Oceania	Cities and Regions	Wake	en	Wake	Wake Island	moderate
Numbers	Symbols	Symbols 	decimal	en_CZ	.	,	basic
Numbers	Symbols	Symbols 	decimal	en_ES	.	,	basic
Numbers	Symbols	Symbols 	decimal	en_FR	.	,	basic
Numbers	Symbols	Symbols 	decimal	en_HU	.	,	basic
Numbers	Symbols	Symbols 	decimal	en_IT	.	,	basic
Numbers	Symbols	Symbols 	decimal	en_NO	.	,	basic
Numbers	Symbols	Symbols 	decimal	en_PL	.	,	basic
Numbers	Symbols	Symbols 	decimal	en_PT	.	,	basic
Numbers	Symbols	Symbols 	decimal	en_RO	.	,	basic
Numbers	Symbols	Symbols 	decimal	en_SK	.	,	basic
Numbers	Symbols	Symbols 	group	en_CZ	,	 	basic
Numbers	Symbols	Symbols 	group	en_ES	,	.	basic
Numbers	Symbols	Symbols 	group	en_FR	,	 	basic
Numbers	Symbols	Symbols 	group	en_HU	,	 	basic
Numbers	Symbols	Symbols 	group	en_IT	,	.	basic
Numbers	Symbols	Symbols 	group	en_NO	,	 	basic
Numbers	Symbols	Symbols 	group	en_PL	,	.	basic
Numbers	Symbols	Symbols 	group	en_PT	,	 	basic
Numbers	Symbols	Symbols 	group	en_RO	,	.	basic
Numbers	Symbols	Symbols 	group	en_SK	,	 	basic
Numbers	Symbols	Symbols 	exponential	en_SK	E	e	moderate
Numbers	Number Formatting Patterns	Standard Patterns 	standard-percent	en_NO	#,##0%	#,##0 %	basic
Numbers	Number Formatting Patterns	Standard Patterns 	accounting-currency	en_PL	#,##0.00 ¤	#,##0.00 ¤;(#,##0.00 ¤)	moderate
Numbers	Number Formatting Patterns	Standard Patterns 	accounting-currency	en_PT	#,##0.00 ¤	#,##0.00 ¤;(#,##0.00 ¤)	moderate
Numbers	Number Formatting Patterns	Standard Patterns 	accounting-currency	en_RO	#,##0.00 ¤	#,##0.00 ¤;(#,##0.00 ¤)	moderate
Numbers	Number Formatting Patterns	Standard Patterns 	accounting-currency	en_SK	#,##0.00 ¤	#,##0.00 ¤;(#,##0.00 ¤)	moderate
Currencies	Northern/Western Europe	Northern Europe: Norway	NOK-symbol	en_NO	NOK	kr	moderate
Special	Suppress	Gregorian	Formats - Standard - Time Formats-full	en_GS	ahmmsszzzz	HHmmsszzzz	comprehensive
Special	Suppress	Gregorian	Formats - Standard - Time Formats-long	en_GS	ahmmssz	HHmmssz	comprehensive
Special	Suppress	Gregorian	Formats - Standard - Time Formats-medium	en_GS	ahmmss	HHmmss	comprehensive
Special	Suppress	Gregorian	Formats - Standard - Time Formats-short	en_GS	ahmm	HHmm	comprehensive
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	eo	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	es	#,##0.00 ¤	¤ #,##0.00	moderate
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	es_GQ	¤#,##0.00	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	et	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	eu	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	ewo	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	fa	‎¤ #,##0.00	¤ #,##0.00	moderate
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-noCurrency	fa	#,##0.00	‎#,##0.00	moderate
Numbers	Number Formatting Patterns	Standard Patterns using Arabic-Indic Digits (arab)	standard-currency-noCurrency	fa	#,##0.00	‎#,##0.00	comprehensive
Numbers	Number Formatting Patterns	Standard Patterns using Extended Arabic-Indic Digits (arabext)	standard-currency-noCurrency	fa	#,##0.00	‎#,##0.00	comprehensive
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	ff	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Locale Display Names	Languages (K-N)	L	Levantine Arabic ► apc	fi	▷missing◁	urduni	comprehensive
Locale Display Names	Languages (O-S)	S	South Levantine Arabic ► ajp	fi	urduni	▷removed◁	comprehensive
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	fi	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	fo	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	fr	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	fy	¤ #,##0.00;¤ #,##0.00-	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency	gez	¤ #,##0.00	¤#,##0.00	basic
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	gl	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber	gsw	#,##0.00 ¤	¤ #,##0.00	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Locale Display Names	Territories (North America)	Northern America-Subdivisions	cabc	ha_NE	▷missing◁	British Columbia	modern
Locale Display Names	Territories (North America)	Central America-Subdivisions	mxpue	ha_NE	▷missing◁	Puebla	modern
Locale Display Names	Territories (South America)	South America-Subdivisions	brap	ha_NE	▷missing◁	Amapá	modern
Locale Display Names	Territories (South America)	South America-Subdivisions	brpa	ha_NE	▷missing◁	Pará	modern
Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	dz23	ha_NE	▷missing◁	Lardin Annaba	modern
Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	ma01	ha_NE	▷missing◁	Tanger-Tetouan-Al Hoceima	modern
Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	mamar	ha_NE	▷missing◁	Marrakesh	modern
Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	sdnb	ha_NE	▷missing◁	Blue Nile (jihar)	modern
Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ghaf	ha_NE	▷missing◁	Yankin Ahafo	modern
Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ghbe	ha_NE	▷missing◁	Yankin Bono gabas	modern
Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ghne	ha_NE	▷missing◁	North East Region	modern
Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ghot	ha_NE	▷missing◁	Oti Region	modern
Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ghwn	ha_NE	▷missing◁	Yankin arewa maso yamma	modern
Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	shac	ha_NE	▷missing◁	Ascension Island	modern
Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	cfuk	ha_NE	▷missing◁	Ouaka	modern
Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	cmad	ha_NE	▷missing◁	Jihar Adamawa	modern
Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	tdbg	ha_NE	▷missing◁	Bahr el Gazel	modern
Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	tdka	ha_NE	▷missing◁	Kanem	modern
Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	ke24	ha_NE	▷missing◁	Mandera County	modern
Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	sc08	ha_NE	▷missing◁	Beau Vallon, Seychelles	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbedh	ha_NE	▷missing◁	Edinburgh	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbnir	ha_NE	▷missing◁	Ireland ta Arewa	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbrfw	ha_NE	▷missing◁	Renfrewshire	modern
Locale Display Names	Territories (Europe)	Northern Europe-Subdivisions	gbwls	ha_NE	▷missing◁	Wales	modern
Locale Display Names	Territories (Europe)	Western Europe-Subdivisions	deni	ha_NE	▷missing◁	Lower Saxony	modern
Locale Display Names	Territories (Europe)	Western Europe-Subdivisions	fr70	ha_NE	▷missing◁	Haute-Saône	modern
Locale Display Names	Territories (Europe)	Western Europe-Subdivisions	frbfc	ha_NE	▷missing◁	Bourgogne-Franche-Comté	modern
Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	huhb	ha_NE	▷missing◁	Hajdú-Bihar County	modern
Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	husn	ha_NE	▷missing◁	Sopron	modern
Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	rual	ha_NE	▷missing◁	Altai Republic	modern
Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	ruamu	ha_NE	▷missing◁	Amur Region	modern
Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	ruark	ha_NE	▷missing◁	Arkhangelsk Oblast	modern
Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	ruast	ha_NE	▷missing◁	Astrakhan Oblast	modern
Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	ruda	ha_NE	▷missing◁	Dagestan	modern
Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	rukgd	ha_NE	▷missing◁	Kaliningrad Oblast	modern
Locale Display Names	Territories (Europe)	Eastern Europe-Subdivisions	rukl	ha_NE	▷missing◁	Kalmykia	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	ad07	ha_NE	▷missing◁	Andorra la Vella	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esan	ha_NE	▷missing◁	Andalusia	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esce	ha_NE	▷missing◁	Ceuta	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	esga	ha_NE	▷missing◁	Galicia (Spain)	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	gri	ha_NE	▷missing◁	Atika (yanki)	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	it62	ha_NE	▷missing◁	Lazio	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	itve	ha_NE	▷missing◁	Venezia	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	mt23	ha_NE	▷missing◁	Kirkop	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	mt25	ha_NE	▷missing◁	Luqa	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	mt43	ha_NE	▷missing◁	Qormi	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	mt59	ha_NE	▷missing◁	Tarxien	modern
Locale Display Names	Territories (Europe)	Southern Europe-Subdivisions	mt60	ha_NE	▷missing◁	Valletta	modern
Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	amer	ha_NE	▷missing◁	Yerevan	modern
Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	azxa	ha_NE	▷missing◁	Khankendi	modern
Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	qakh	ha_NE	▷missing◁	Al Khor	modern
Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	qawa	ha_NE	▷missing◁	Al Wakrah	modern
Locale Display Names	Territories (Asia)	Western Asia-Subdivisions	yeam	ha_NE	▷missing◁	ʼAmran Governorate	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	tms	ha_NE	▷missing◁	Ashgabat	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	tjdu	ha_NE	▷missing◁	Dushanbe	modern
Locale Display Names	Territories (Asia)	Central Asia-Subdivisions	kz71	ha_NE	▷missing◁	Astana	modern
Locale Display Names	Territories (Asia)	Eastern Asia-Subdivisions	twhsz	ha_NE	▷missing◁	Hsinchu	modern
Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	incg	ha_NE	▷missing◁	Chhattisgarh	modern
Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inct	ha_NE	Chhattisgarh	▷removed◁	modern
Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inod	ha_NE	▷missing◁	Odisha	modern
Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inor	ha_NE	Odisha	▷removed◁	modern
Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	intg	ha_NE	Telangana	▷removed◁	modern
Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	ints	ha_NE	▷missing◁	Telangana	modern
Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inuk	ha_NE	▷missing◁	Uttarakhand	modern
Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	inut	ha_NE	Uttarakhand	▷removed◁	modern
Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	mvmle	ha_NE	▷missing◁	Malé	modern
Locale Display Names	Territories (Asia)	Southern Asia-Subdivisions	pkba	ha_NE	▷missing◁	Balochistan	modern
Locale Display Names	Territories (Asia)	Southeast Asia-Subdivisions	my02	ha_NE	▷missing◁	Kedah	modern
Locale Display Names	Territories (Oceania)	Melanesia-Subdivisions	pgncd	ha_NE	▷missing◁	Port Moresby	modern
Locale Display Names	Territories (Oceania)	Micronesian Region-Subdivisions	nr03	ha_NE	▷missing◁	Gundumar Anetan	modern
Locale Display Names	Territories (Oceania)	Micronesian Region-Subdivisions	nr04	ha_NE	▷missing◁	Gundumar Anibare	modern
Locale Display Names	Territories (Oceania)	Micronesian Region-Subdivisions	nr05	ha_NE	▷missing◁	Gundumar Baitsi	modern
Locale Display Names	Territories (Oceania)	Micronesian Region-Subdivisions	nr10	ha_NE	▷missing◁	Gundumar Ijuw	modern
Locale Display Names	Territories (Oceania)	Micronesian Region-Subdivisions	nr11	ha_NE	▷missing◁	Gundumar Meneng	modern
Locale Display Names	Territories (Oceania)	Micronesian Region-Subdivisions	nr12	ha_NE	▷missing◁	Gundumar Nibok	modern
Locale Display Names	Territories (Oceania)	Micronesian Region-Subdivisions	nr13	ha_NE	▷missing◁	Gundumar Uaboe	modern
