#Language	English Name	Native Name	Script	Default Region	№ Locales	Target Level	≟	Computed Level	ICU	Confirmed	🄼%	ⓜ%	ⓑ%	ⓒ%	Missing Features
zgh	Standard Moroccan Tamazight	ⵜⴰⵎⴰⵣⵉⵖⵜ	Tfng	MA	1		 ≡		ICU	0.9760119940029985	0.13743143951153886	0.3163551401869159	0.7733333333333333	1.0	
jgo	Ngomba	Ndaꞌa	Latn	CM	1		 ≡		ICU	0.9065934065934066	0.07189611486486487	0.19201312910284463	0.7662337662337663	1.0	
yi	Yiddish	‫ייִדיש‬	Hebr	UA	1		 ≡		ICU	0.8405438813349815	0.12558764271323036	0.2730034722222222	0.7532467532467533	1.0	
en_Dsrt	English (Deseret)	𐐀𐑍𐑊𐐮𐑇 (𐐔𐐯𐑆𐐲𐑉𐐯𐐻)	Dsrt	US	1		 ≡			0.9982638888888888	0.10828779599271403	0.23497895139686184	0.7530120481927711	1.0	
haw	Hawaiian	ʻŌlelo Hawaiʻi	Latn	US	1		 ≡		ICU	0.8508158508158508	0.07976428496264337	0.21534246575342467	0.7466666666666667	1.0	
wae	Walser	Walser	Latn	CH	1		 ≡		ICU	0.9731471535982814	0.17691421388917986	0.42028985507246375	0.7066666666666667	1.0	
ln	Lingala	lingála	Latn	CD	4		 ≡		ICU	0.5934466019417476	0.10558482613277134	0.2810958904109589	0.6933333333333334	1.0	
ewo	Ewondo	ewondo	Latn	CM	1		 ≡		ICU	0.9735772357723578	0.11337108517277245	0.3047965998785671	0.68	1.0	
mua	Mundang	MUNDAŊ	Latn	CM	1		 ≡		ICU	0.9465346534653465	0.1129311339254816	0.30382049727107335	0.68	1.0	
bas	Basaa	Ɓàsàa	Latn	CM	1		 ≡		ICU	0.9734151329243353	0.11267768404021726	0.30297510625379476	0.68	1.0	
agq	Aghem	Aghem	Latn	CM	1		 ≡		ICU	0.9733606557377049	0.11239459397019753	0.3020012128562765	0.68	1.0	
sbp	Sangu	Ishisangu	Latn	TZ	1		 ≡		ICU	0.9729166666666667	0.11071263304025913	0.2984165651644336	0.68	1.0	
rn	Rundi	Ikirundi	Latn	BI	1		 ≡		ICU	0.9723991507430998	0.10863026376677463	0.29293544457978077	0.68	1.0	
twq	Tasawaq	Tasawaq senni	Latn	NE	1		 ≡		ICU	0.9735234215885947	0.11079674060660932	0.29094076655052264	0.68	1.0	
dje	Zarma	Zarmaciine	Latn	NE	1		 ≡		ICU	0.9734693877551021	0.11057039384336804	0.29036004645760743	0.68	1.0	
yav	Yangben	nuasue	Latn	CM	1		 ≡		ICU	0.9689578713968958	0.10366346931699988	0.27929568913175473	0.68	1.0	
lu	Luba-Katanga	Tshiluba	Latn	CD	1		 ≡		ICU	0.9734151329243353	0.11291068949560389	0.30450669914738127	0.6666666666666666	1.0	
ksf	Bafia	rikpa	Latn	CM	1		 ≡		ICU	0.9728601252609603	0.11022530329289427	0.2961165048543689	0.6666666666666666	1.0	
nmg	Kwasio	Kwasio	Latn	CM	1		 ≡		ICU	0.9707724425887265	0.10999422299248988	0.2955097087378641	0.6666666666666666	1.0	
ts	Tsonga	Xitsonga	Latn	ZA	1		 ≡			0.911042944785276	0.06792014365691348	0.18969298245614036	0.6666666666666666	1.0	ⓑ own_regions
dua	Duala	duálá	Latn	CM	1		 ≡		ICU	0.9310344827586207	0.043096476025418835	0.12803398058252427	0.6666666666666666	1.0	
dyo	Jola-Fonyi	joola	Latn	SN	1		 ≡		ICU	0.9642857142857143	0.07741263596389725	0.21023765996343693	0.6533333333333333	1.0	
nus	Nuer	Thok Nath	Latn	SS	1		 ≡		ICU	0.9039145907473309	0.06111367837338263	0.16747868453105969	0.6533333333333333	1.0	ⓑ own_regions
nnh	Ngiemboon	Shwóŋò ngiembɔɔn	Latn	CM	1		 ≡		ICU	0.8756476683937824	0.0403752899009066	0.11668484187568157	0.64	1.0	
lrc	Northern Luri	‫لۊری شومالی‬	Arab	IR	2		 ≡		ICU	1.0	0.08315629742033384	0.16578014184397163	0.631578947368421	1.0	ⓑ own_regions
dav	Taita	Kitaita	Latn	KE	1		 ≡		ICU	0.9464285714285714	0.11221426922188871	0.3009118541033435	0.6133333333333333	1.0	
ebu	Embu	Kĩembu	Latn	KE	1		 ≡		ICU	0.9464285714285714	0.11221426922188871	0.3009118541033435	0.6133333333333333	1.0	
bez	Bena	Hibena	Latn	TZ	1		 ≡		ICU	0.9502982107355865	0.10279683377308707	0.2713347921225383	0.6133333333333333	1.0	
asa	Asu	Kipare	Latn	TZ	1		 ≡		ICU	0.9500998003992016	0.10239628417607938	0.27038861521620144	0.6133333333333333	1.0	
bem	Bemba	Ichibemba	Latn	ZM	1		 ≡		ICU	0.7854077253218884	0.040425307927150225	0.10995623632385121	0.6133333333333333	1.0	
tzm	Central Atlas Tamazight	Tamaziɣt n laṭlaṣ	Latn	MA	1		 ≡		ICU	0.9496981891348089	0.09939043289596032	0.2558746736292428	0.6052631578947368	1.0	
vai	Vai	ꕙꔤ	Vaii	LR	1		 ≡		ICU	0.9474708171206225	0.10431314933361319	0.24398460057747834	0.6025641025641025	1.0	
luy	Luyia	Luluhia	Latn	KE	1		 ≡		ICU	0.9498997995991983	0.11148336414048059	0.2990255785627284	0.6	1.0	
mas	Masai	Maa	Latn	KE	2		 ≡		ICU	0.9009708737864077	0.0995260663507109	0.2634173055859803	0.6	1.0	
kde	Makonde	Chimakonde	Latn	TZ	1		 ≡		ICU	0.9462151394422311	0.11157311157311157	0.2988435788192331	0.5866666666666667	1.0	
