# Section	Page	Header	Code	Old	New
Supplemental	Plural	cardinal-bal	other	▷missing◁	@integer 0, 2~16, 100, 1000, 10000, 100000, 1000000, … @decimal 0.0~0.9, 1.1~1.6, 10.0, 100.0, 1000.0, 10000.0, 100000.0, 1000000.0, …
Supplemental	Plural	cardinal-fr	many	…	e = 0 and i != 0 and i % 1000000 = 0 and v = 0 or e != 0..5 @integer 1000000, 1c6, 2c6, 3c6, 4c6, 5c6, 6c6, … @decimal 1.0000001c6, 1.1c6, 2.0000001c6, 2.1c6, 3.0000001c6, 3.1c6, …
Supplemental	Plural	cardinal-fr	other	…	@integer 2~17, 100, 1000, 10000, 100000, 1c3, 2c3, 3c3, 4c3, 5c3, 6c3, … @decimal 2.0~3.5, 10.0, 100.0, 1000.0, 10000.0, 100000.0, 1000000.0, 1.0001c3, 1.1c3, 2.0001c3, 2.1c3, 3.0001c3, 3.1c3, …
Supplemental	Plural	cardinal-tpi	other	▷missing◁	@integer 0~15, 100, 1000, 10000, 100000, 1000000, … @decimal 0.0~1.5, 10.0, 100.0, 1000.0, 10000.0, 100000.0, 1000000.0, …
Supplemental	Plural	ordinal-bal	one	▷missing◁	n = 1 @integer 1
Supplemental	Plural	ordinal-bal	other	▷missing◁	@integer 0, 2~16, 100, 1000, 10000, 100000, 1000000, …
Supplemental	Plural	ordinal-tpi	other	▷missing◁	@integer 0~15, 100, 1000, 10000, 100000, 1000000, …
Supplemental	WeekData	hours-h-regions	h	…	…
Supplemental	WeekData	hours-h-regions	H	…	…
Supplemental	WeekData	hours-h-regions	hb	…	…
Supplemental	WeekData	hours-h-regions	hB	…	…
Supplemental	WeekData	hours-H-regions	h	…	… CN …
Supplemental	WeekData	hours-H-regions	H	…	… CN …
Supplemental	WeekData	hours-H-regions	hb	…	… CN …
Supplemental	WeekData	hours-H-regions	hB	…	… CN …
Supplemental	Language	ckb	territories	▷missing◁	IQ
Supplemental	Language	ckb	territories	▷missing◁	IR
Supplemental	Language	ckb	territories-secondary	IQ	▷removed◁
Supplemental	Language	ckb	territories-secondary	IR	▷removed◁
Supplemental	Language	rhg	scripts	▷missing◁	Rohg
Supplemental	Language	rhg	scripts-secondary	▷missing◁	Arab
Supplemental	Language	rhg	scripts-secondary	▷missing◁	Latn
Supplemental	Transform	tk_Cyrl→tk/BGN	tRule	…	… $wordBoundary =  [^[:L:][:M:][:N:] ] ; … Е}[[$lowerVowels - [ә] ] [йъь] ] → Ye ; # CYRILLIC CAPITAL LETTER IE Е}[[$upperVowels - [Ә] ] [ЙЪЬ] ] → YE ; # CYRILLIC CAPITAL LETTER IE … е}[[$upperVowels - [Ә] ] [$lowerVowels - [ә] ] [ЙйЪъЬь] ] → ye ; # CYRILLIC SMALL LETTER IE …
