#LCode	English Name	Script	Locale Level	Path Level	STStatus	Bailey	Section	Page	Header	Code	ST Link
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	calendar	calendar-islamic-rgsa-core	https://st.unicode.org/v#/sr_Latn//2a269dd1ee5dd92
sr_Latn	Serbian (Latin)	Latin	modern	moderate	n/a	null	Locale Display Names	Keys	calendar	calendar-iso8601-core	https://st.unicode.org/v#/sr_Latn//3eff3daf771ed8dc
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	colCaseFirst	colCaseFirst-lower-core	https://st.unicode.org/v#/sr_Latn//6c981acf55b7cf03
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	colCaseFirst	colCaseFirst-no-core	https://st.unicode.org/v#/sr_Latn//20742a1ce8523993
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	colCaseFirst	colCaseFirst-upper-core	https://st.unicode.org/v#/sr_Latn//3da9d13ddf9974a6
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	collation	collation-emoji-core	https://st.unicode.org/v#/sr_Latn//48846c447f91811d
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	collation	collation-eor-core	https://st.unicode.org/v#/sr_Latn//66ee830985c3efbb
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	collation	collation-searchjl-core	https://st.unicode.org/v#/sr_Latn//23acdb173de8ee0b
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	colReorder	colReorder-currency-core	https://st.unicode.org/v#/sr_Latn//30e9b54a7d4bbd01
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	colReorder	colReorder-digit-core	https://st.unicode.org/v#/sr_Latn//ff7f9030beda163
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	colReorder	colReorder-punct-core	https://st.unicode.org/v#/sr_Latn//47a7fd5dbd378a25
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	colReorder	colReorder-space-core	https://st.unicode.org/v#/sr_Latn//6d4766e4c39f0574
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	colReorder	colReorder-symbol-core	https://st.unicode.org/v#/sr_Latn//7b5aeb5078167ada
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	colStrength	colStrength-identical-core	https://st.unicode.org/v#/sr_Latn//33d85a10f305934e
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	colStrength	colStrength-primary-core	https://st.unicode.org/v#/sr_Latn//1e43208306ca60ac
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	colStrength	colStrength-quaternary-core	https://st.unicode.org/v#/sr_Latn//3998107aed23b30b
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	colStrength	colStrength-secondary-core	https://st.unicode.org/v#/sr_Latn//e1158d675bf67d2
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	colStrength	colStrength-tertiary-core	https://st.unicode.org/v#/sr_Latn//41d6a19574a6ed48
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	kv	kv-currency-core	https://st.unicode.org/v#/sr_Latn//405427b85217b4a5
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	kv	kv-punct-core	https://st.unicode.org/v#/sr_Latn//666073bce97e7b41
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	kv	kv-space-core	https://st.unicode.org/v#/sr_Latn//57e09a1155c8ce11
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	kv	kv-symbol-core	https://st.unicode.org/v#/sr_Latn//6b0a15e429a0087d
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	numbers	numbers-arabext-core	https://st.unicode.org/v#/sr_Latn//6135cd1377a20c99
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	numbers	numbers-armnlow-core	https://st.unicode.org/v#/sr_Latn//6e8f587e66f727b4
sr_Latn	Serbian (Latin)	Latin	modern	modern	n/a	null	Locale Display Names	Keys	numbers	numbers-finance-core	https://st.unicode.org/v#/sr_Latn//98964c07e1fba98
