#Locale	TargetLevel	№ Found	№ Unconfirmed	№ Missing
sgs	*basic	4	7	53
shi	*basic	31	0	51
shi_Latn	*basic	31	0	51
shn	*basic	65	0	0
si	modern	9235	0	0
sid	*basic	0	13	49
sk	modern	13653	0	0
skr	*basic	1	63	18
sl	modern	13603	0	0
sma	*basic	1	0	62
smj	*basic	1	0	62
smn	*basic	50	0	12
sms	*basic	5	2	55
sn	*basic	46	0	16
so	modern	9380	0	0
sq	modern	9313	0	0
sr	modern	11458	0	0
sr_Latn	modern	11458	0	0
ss	*basic	8	23	32
ssy	*basic	1	24	37
st	basic	65	0	0
su	basic	64	0	0
sus	*basic	19	0	44
suz	*basic	4	0	68
suz_Sunu	*basic	74	0	0
sv	modern	9643	0	0
sw	modern	9225	0	0
syr	*basic	65	0	0
szl	*basic	64	0	0
ta	modern	10234	0	0
te	modern	9326	0	0
teo	*basic	33	0	30
tg	moderate	2136	6	41
th	modern	8413	0	0
ti	moderate	2455	0	0
tig	*basic	2	25	37
tk	modern	9352	0	0
tn	basic	65	0	0
to	moderate	1740	54	298
tok	*basic	64	0	0
tpi	*basic	50	0	14
tr	modern	9354	0	0
trv	*basic	1	43	18
trw	*basic	1	81	0
ts	*basic	39	6	17
tt	moderate	2082	0	0
twq	*basic	39	0	23
tyv	*basic	64	0	0
tzm	*basic	34	0	29
ug	*basic	82	0	0
uk	modern	13663	0	0
ur	modern	9568	0	0
uz	modern	9413	0	0
uz_Arab	*basic	31	1	53
uz_Cyrl	*basic	83	0	0
vai	*basic	35	0	30
vai_Latn	*basic	26	0	39
ve	*basic	6	24	32
vec	*basic	64	0	0
vi	modern	8494	0	0
vmw	*basic	64	0	0
vo	*basic	0	27	35
vun	*basic	32	0	30
wa	*basic	1	0	61
wae	*basic	41	0	21
wal	*basic	2	26	36
wbp	*basic	2	0	60
wo	moderate	2080	0	0
xdq	*basic	0	0	62
xh	moderate	2282	0	0
xnr	*basic	73	0	0
xog	*basic	32	0	30
yav	*basic	39	0	23
yi	*basic	46	3	15
yo	modern	8275	0	0
yrl	*basic	66	0	0
yue	modern	8423	0	0
yue_Hans	*basic	68	0	0
za	*basic	64	0	0
zgh	*basic	46	0	16
zh	modern	8738	0	0
zh_Hant	modern	8740	0	0
zh_Latn	*basic	0	0	70
zu	modern	9224	0	0
