# Count	Section	Page	Subhead	Code

72	Currencies	Western Asia (C)	Western Asia: Georgia	GEL-symbol-variant
18	Units	Volume	cubic-centimeter	long-gender
18	Units	Volume	deciliter	long-gender
18	Units	Volume	centiliter	long-gender
18	Units	Volume	milliliter	long-gender
18	Units	Speed and Acceleration	meter-per-square-second	long-gender
18	Units	Speed and Acceleration	kilometer-per-hour	long-gender
18	Units	Speed and Acceleration	meter-per-second	long-gender
18	Units	Weather	kilopascal	long-gender
18	Units	Other Units	liter-per-100-kilometer	long-gender
18	Units	Length	kilometer	long-one-genitive
18	Units	Length	centimeter	long-one-genitive
18	Units	Length	millimeter	long-one-genitive
18	Units	Length	picometer	long-one-genitive
18	Units	Area	square-kilometer	long-one-genitive
18	Units	Area	square-centimeter	long-one-genitive
18	Units	Volume	cubic-centimeter	long-one-genitive
18	Units	Volume	deciliter	long-one-genitive
18	Units	Volume	centiliter	long-one-genitive
18	Units	Volume	milliliter	long-one-genitive
18	Units	Speed and Acceleration	meter-per-square-second	long-one-genitive
18	Units	Speed and Acceleration	kilometer-per-hour	long-one-genitive
18	Units	Speed and Acceleration	meter-per-second	long-one-genitive
18	Units	Mass and Weight	milligram	long-one-genitive
18	Units	Energy and Power	kilojoule	long-one-genitive
18	Units	Digital	terabyte	long-one-genitive
18	Units	Digital	terabit	long-one-genitive
18	Units	Digital	gigabyte	long-one-genitive
18	Units	Digital	gigabit	long-one-genitive
18	Units	Digital	megabyte	long-one-genitive
18	Units	Digital	megabit	long-one-genitive
18	Units	Digital	kilobyte	long-one-genitive
18	Units	Digital	kilobit	long-one-genitive
18	Units	Other Units	liter-per-100-kilometer	long-one-genitive
17	Units	Electrical and Frequency	gigahertz	long-one-genitive
17	Units	Electrical and Frequency	megahertz	long-one-genitive
17	Units	Electrical and Frequency	kilohertz	long-one-genitive
17	Units	Weather	kilopascal	long-one-genitive
15	Units	Duration	nanosecond	long-one-accusative
14	Units	Duration	millisecond	long-one-accusative
14	Units	Duration	microsecond	long-one-accusative
13	Units	Other Units	kilowatt-hour-per-100-kilometer	long-one-genitive
12	Units	Duration	millisecond	long-one-dative
12	Units	Duration	microsecond	long-one-dative
12	Units	Duration	nanosecond	long-one-dative
12	Units	Graphics	megapixel	long-one-dative
12	Units	Graphics	pixel-per-centimeter	long-one-dative
12	Units	Length	decimeter	long-one-dative
12	Units	Length	micrometer	long-one-dative
12	Units	Length	nanometer	long-one-dative
12	Units	Area	square-meter	long-one-dative
12	Units	Volume	cubic-kilometer	long-one-dative
12	Units	Volume	cubic-meter	long-one-dative
12	Units	Volume	megaliter	long-one-dative
12	Units	Volume	hectoliter	long-one-dative
12	Units	Mass and Weight	microgram	long-one-dative
12	Units	Energy and Power	gigawatt	long-one-dative
12	Units	Energy and Power	megawatt	long-one-dative
12	Units	Energy and Power	milliwatt	long-one-dative
12	Units	Electrical and Frequency	milliampere	long-one-dative
12	Units	Weather	hectopascal	long-one-dative
12	Units	Weather	megapascal	long-one-dative
12	Units	Digital	petabyte	long-one-dative
12	Units	Other Units	millimole-per-liter	long-one-dative
12	Units	Other Units	newton-meter	long-one-dative
12	Units	Graphics	megapixel	long-other-genitive
12	Units	Graphics	pixel-per-centimeter	long-other-genitive
11	Units	Graphics	pixel-per-centimeter	long-other-dative
11	Units	Length	kilometer	long-one-dative
11	Units	Length	centimeter	long-one-dative
11	Units	Length	millimeter	long-one-dative
11	Units	Length	picometer	long-one-dative
11	Units	Area	square-kilometer	long-one-dative
11	Units	Area	square-centimeter	long-one-dative
11	Units	Volume	cubic-centimeter	long-one-dative
11	Units	Volume	deciliter	long-one-dative
11	Units	Volume	centiliter	long-one-dative
11	Units	Volume	milliliter	long-one-dative
11	Units	Speed and Acceleration	meter-per-square-second	long-one-dative
11	Units	Speed and Acceleration	kilometer-per-hour	long-one-dative
11	Units	Mass and Weight	milligram	long-one-dative
11	Units	Energy and Power	kilojoule	long-one-dative
11	Units	Energy and Power	kilowatt-hour	long-one-dative
11	Units	Energy and Power	kilowatt	long-one-dative
11	Units	Electrical and Frequency	gigahertz	long-one-dative
11	Units	Electrical and Frequency	megahertz	long-one-dative
11	Units	Electrical and Frequency	kilohertz	long-one-dative
11	Units	Weather	millibar	long-one-dative
11	Units	Weather	kilopascal	long-one-dative
11	Units	Digital	megabit	long-one-dative
11	Units	Digital	kilobit	long-one-dative
11	Units	Other Units	item	long-one-accusative
11	Units	Other Units	item	long-one-dative
11	Units	Other Units	liter-per-kilometer	long-one-dative
11	Units	Other Units	liter-per-100-kilometer	long-one-dative
11	Units	Other Units	kilowatt-hour-per-100-kilometer	long-one-accusative
11	Units	Other Units	kilowatt-hour-per-100-kilometer	long-one-dative
11	Units	Duration	millisecond	long-other-genitive
11	Units	Volume	milliliter	long-other-genitive
11	Units	Other Units	item	long-other-genitive
10	Units	Duration	millisecond	long-one-instrumental
10	Units	Duration	microsecond	long-one-instrumental
10	Units	Duration	nanosecond	long-one-instrumental
10	Units	Graphics	megapixel	long-one-instrumental
10	Units	Graphics	megapixel	long-other-dative
10	Units	Graphics	pixel-per-centimeter	long-one-instrumental
10	Units	Length	decimeter	long-one-instrumental
10	Units	Length	decimeter	long-other-dative
10	Units	Length	micrometer	long-one-instrumental
10	Units	Length	micrometer	long-other-dative
10	Units	Length	nanometer	long-one-instrumental
10	Units	Length	nanometer	long-other-dative
10	Units	Area	square-meter	long-one-instrumental
10	Units	Volume	cubic-kilometer	long-one-instrumental
10	Units	Volume	cubic-kilometer	long-other-dative
10	Units	Volume	cubic-meter	long-one-instrumental
10	Units	Volume	megaliter	long-one-instrumental
10	Units	Volume	megaliter	long-other-dative
10	Units	Volume	hectoliter	long-one-instrumental
10	Units	Volume	hectoliter	long-other-dative
10	Units	Speed and Acceleration	meter-per-second	long-one-dative
10	Units	Mass and Weight	microgram	long-one-instrumental
10	Units	Energy and Power	kilojoule	long-one-instrumental
10	Units	Energy and Power	kilowatt-hour	long-one-accusative
10	Units	Energy and Power	kilowatt-hour	long-one-instrumental
10	Units	Energy and Power	gigawatt	long-one-instrumental
10	Units	Energy and Power	megawatt	long-one-instrumental
10	Units	Energy and Power	kilowatt	long-one-instrumental
10	Units	Energy and Power	milliwatt	long-one-instrumental
10	Units	Electrical and Frequency	milliampere	long-one-instrumental
10	Units	Electrical and Frequency	gigahertz	long-one-instrumental
10	Units	Electrical and Frequency	megahertz	long-one-instrumental
10	Units	Electrical and Frequency	kilohertz	long-one-instrumental
10	Units	Weather	millibar	long-one-instrumental
10	Units	Weather	hectopascal	long-one-instrumental
10	Units	Weather	megapascal	long-one-instrumental
10	Units	Digital	petabyte	long-one-instrumental
10	Units	Digital	terabyte	long-one-dative
10	Units	Digital	terabit	long-one-dative
10	Units	Digital	gigabyte	long-one-dative
10	Units	Digital	gigabit	long-one-dative
10	Units	Digital	megabyte	long-one-dative
10	Units	Digital	kilobyte	long-one-dative
10	Units	Other Units	millimole-per-liter	long-one-instrumental
10	Units	Other Units	item	long-one-instrumental
10	Units	Other Units	item	long-other-dative
10	Units	Other Units	liter-per-kilometer	long-one-instrumental
10	Units	Other Units	liter-per-kilometer	long-other-dative
10	Units	Other Units	newton-meter	long-one-instrumental
10	Units	Other Units	newton-meter	long-other-dative
10	Units	Duration	microsecond	long-other-genitive
10	Units	Duration	nanosecond	long-other-genitive
10	Units	Length	kilometer	long-other-genitive
10	Units	Length	decimeter	long-other-genitive
10	Units	Length	centimeter	long-other-genitive
10	Units	Length	millimeter	long-other-genitive
10	Units	Length	micrometer	long-other-genitive
10	Units	Length	nanometer	long-other-genitive
10	Units	Length	picometer	long-other-genitive
10	Units	Area	square-kilometer	long-other-genitive
10	Units	Area	square-meter	long-other-genitive
10	Units	Area	square-centimeter	long-other-genitive
10	Units	Volume	cubic-kilometer	long-other-genitive
10	Units	Volume	cubic-meter	long-other-genitive
10	Units	Volume	cubic-centimeter	long-other-genitive
10	Units	Volume	megaliter	long-other-genitive
10	Units	Volume	hectoliter	long-other-genitive
10	Units	Volume	deciliter	long-other-genitive
10	Units	Volume	centiliter	long-other-genitive
10	Units	Speed and Acceleration	meter-per-square-second	long-other-genitive
10	Units	Speed and Acceleration	meter-per-second	long-other-genitive
10	Units	Mass and Weight	milligram	long-other-genitive
10	Units	Mass and Weight	microgram	long-other-genitive
10	Units	Energy and Power	kilowatt-hour	long-other-genitive
10	Units	Digital	terabyte	long-other-genitive
10	Units	Other Units	millimole-per-liter	long-other-genitive
10	Units	Other Units	liter-per-kilometer	long-other-genitive
10	Units	Other Units	liter-per-100-kilometer	long-other-genitive
10	Units	Other Units	newton-meter	long-other-genitive
10	Units	Graphics	pixel-per-centimeter	long-one-accusative
9	Units	Duration	millisecond	long-one-locative
9	Units	Duration	millisecond	long-other-dative
9	Units	Duration	microsecond	long-one-locative
9	Units	Duration	microsecond	long-other-dative
9	Units	Duration	nanosecond	long-one-locative
9	Units	Duration	nanosecond	long-other-dative
9	Units	Graphics	megapixel	long-one-locative
9	Units	Graphics	pixel-per-centimeter	long-one-locative
9	Units	Length	kilometer	long-one-locative
9	Units	Length	kilometer	long-one-instrumental
9	Units	Length	kilometer	long-other-dative
9	Units	Length	decimeter	long-one-locative
9	Units	Length	centimeter	long-one-locative
9	Units	Length	centimeter	long-one-instrumental
9	Units	Length	centimeter	long-other-dative
9	Units	Length	millimeter	long-one-locative
9	Units	Length	millimeter	long-one-instrumental
9	Units	Length	millimeter	long-other-dative
9	Units	Length	micrometer	long-one-locative
9	Units	Length	nanometer	long-one-locative
9	Units	Length	picometer	long-one-locative
9	Units	Length	picometer	long-one-instrumental
9	Units	Length	picometer	long-other-dative
9	Units	Area	square-kilometer	long-one-locative
9	Units	Area	square-kilometer	long-one-instrumental
9	Units	Area	square-kilometer	long-other-dative
9	Units	Area	square-meter	long-one-locative
9	Units	Area	square-meter	long-other-dative
9	Units	Area	square-centimeter	long-one-locative
9	Units	Area	square-centimeter	long-one-instrumental
9	Units	Area	square-centimeter	long-other-dative
9	Units	Volume	cubic-kilometer	long-one-locative
9	Units	Volume	cubic-meter	long-one-locative
9	Units	Volume	cubic-meter	long-other-dative
9	Units	Volume	cubic-centimeter	long-one-locative
9	Units	Volume	cubic-centimeter	long-one-instrumental
9	Units	Volume	cubic-centimeter	long-other-dative
9	Units	Volume	megaliter	long-one-locative
9	Units	Volume	hectoliter	long-one-locative
9	Units	Volume	deciliter	long-one-locative
9	Units	Volume	deciliter	long-one-instrumental
9	Units	Volume	deciliter	long-other-dative
9	Units	Volume	centiliter	long-one-locative
9	Units	Volume	centiliter	long-one-instrumental
9	Units	Volume	centiliter	long-other-dative
9	Units	Volume	milliliter	long-one-locative
9	Units	Volume	milliliter	long-one-instrumental
9	Units	Volume	milliliter	long-other-dative
9	Units	Speed and Acceleration	meter-per-square-second	long-one-locative
9	Units	Speed and Acceleration	meter-per-square-second	long-one-instrumental
9	Units	Speed and Acceleration	meter-per-square-second	long-other-dative
9	Units	Speed and Acceleration	kilometer-per-hour	long-one-locative
9	Units	Speed and Acceleration	kilometer-per-hour	long-one-instrumental
9	Units	Speed and Acceleration	kilometer-per-hour	long-other-dative
9	Units	Speed and Acceleration	meter-per-second	long-one-locative
9	Units	Speed and Acceleration	meter-per-second	long-one-instrumental
9	Units	Mass and Weight	milligram	long-one-locative
9	Units	Mass and Weight	milligram	long-one-instrumental
9	Units	Mass and Weight	milligram	long-other-dative
9	Units	Mass and Weight	microgram	long-one-locative
9	Units	Mass and Weight	microgram	long-other-dative
9	Units	Energy and Power	kilowatt-hour	long-one-locative
9	Units	Energy and Power	kilowatt-hour	long-other-dative
9	Units	Energy and Power	gigawatt	long-one-locative
9	Units	Energy and Power	gigawatt	long-other-dative
9	Units	Energy and Power	megawatt	long-one-locative
9	Units	Energy and Power	megawatt	long-other-dative
9	Units	Energy and Power	kilowatt	long-one-locative
9	Units	Energy and Power	milliwatt	long-one-locative
9	Units	Energy and Power	milliwatt	long-other-dative
9	Units	Electrical and Frequency	milliampere	long-one-locative
9	Units	Electrical and Frequency	gigahertz	long-one-locative
9	Units	Electrical and Frequency	megahertz	long-one-locative
9	Units	Electrical and Frequency	kilohertz	long-one-locative
9	Units	Weather	millibar	long-one-locative
9	Units	Weather	millibar	long-other-dative
9	Units	Weather	hectopascal	long-one-locative
9	Units	Weather	hectopascal	long-other-dative
9	Units	Weather	kilopascal	long-one-locative
9	Units	Weather	kilopascal	long-one-instrumental
9	Units	Weather	kilopascal	long-other-dative
9	Units	Weather	megapascal	long-one-locative
9	Units	Weather	megapascal	long-other-dative
9	Units	Digital	petabyte	long-one-locative
9	Units	Digital	petabyte	long-other-dative
9	Units	Digital	terabyte	long-one-instrumental
9	Units	Digital	terabyte	long-other-dative
9	Units	Digital	terabit	long-one-locative
9	Units	Digital	terabit	long-one-instrumental
9	Units	Digital	terabit	long-other-dative
9	Units	Digital	gigabyte	long-one-locative
9	Units	Digital	gigabyte	long-one-instrumental
9	Units	Digital	gigabyte	long-other-dative
9	Units	Digital	gigabit	long-one-locative
9	Units	Digital	gigabit	long-one-instrumental
9	Units	Digital	gigabit	long-other-dative
9	Units	Digital	megabyte	long-one-locative
9	Units	Digital	megabyte	long-one-instrumental
9	Units	Digital	megabyte	long-other-dative
9	Units	Digital	megabit	long-one-locative
9	Units	Digital	megabit	long-one-instrumental
9	Units	Digital	megabit	long-other-dative
9	Units	Digital	kilobyte	long-one-locative
9	Units	Digital	kilobyte	long-one-instrumental
9	Units	Digital	kilobyte	long-other-dative
9	Units	Digital	kilobit	long-one-locative
9	Units	Digital	kilobit	long-one-instrumental
9	Units	Digital	kilobit	long-other-dative
9	Units	Other Units	millimole-per-liter	long-one-locative
9	Units	Other Units	millimole-per-liter	long-other-dative
9	Units	Other Units	item	long-one-locative
9	Units	Other Units	liter-per-kilometer	long-one-locative
9	Units	Other Units	liter-per-100-kilometer	long-one-locative
9	Units	Other Units	liter-per-100-kilometer	long-one-instrumental
9	Units	Other Units	liter-per-100-kilometer	long-other-dative
9	Units	Other Units	newton-meter	long-one-locative
9	Units	Speed and Acceleration	kilometer-per-hour	long-other-genitive
9	Units	Energy and Power	kilojoule	long-other-genitive
9	Units	Energy and Power	gigawatt	long-other-genitive
9	Units	Energy and Power	megawatt	long-other-genitive
9	Units	Energy and Power	kilowatt	long-other-genitive
9	Units	Energy and Power	milliwatt	long-other-genitive
9	Units	Electrical and Frequency	milliampere	long-other-genitive
9	Units	Weather	millibar	long-other-genitive
9	Units	Weather	hectopascal	long-other-genitive
9	Units	Weather	kilopascal	long-other-genitive
9	Units	Weather	megapascal	long-other-genitive
9	Units	Digital	petabyte	long-other-genitive
9	Units	Digital	terabit	long-other-genitive
9	Units	Digital	gigabyte	long-other-genitive
9	Units	Digital	gigabit	long-other-genitive
9	Units	Digital	megabyte	long-other-genitive
9	Units	Digital	megabit	long-other-genitive
9	Units	Digital	kilobyte	long-other-genitive
9	Units	Digital	kilobit	long-other-genitive
9	Units	Other Units	kilowatt-hour-per-100-kilometer	long-other-genitive
9	Units	Graphics	megapixel	long-one-accusative
9	Units	Graphics	pixel-per-centimeter	long-other-accusative
8	Units	Volume	megaliter	long-one-accusative
8	Units	Volume	hectoliter	long-one-accusative
8	Miscellaneous	Minimal Pairs	Case (for measurement units)	nominative
8	Units	Graphics	megapixel	long-few-genitive
8	Units	Graphics	pixel-per-centimeter	long-other-locative
8	Units	Speed and Acceleration	meter-per-second	long-other-dative
8	Units	Energy and Power	kilojoule	long-one-locative
8	Units	Energy and Power	kilojoule	long-other-dative
8	Units	Energy and Power	kilowatt	long-other-dative
8	Units	Electrical and Frequency	milliampere	long-other-dative
8	Units	Electrical and Frequency	gigahertz	long-other-dative
8	Units	Electrical and Frequency	megahertz	long-other-dative
8	Units	Electrical and Frequency	kilohertz	long-other-dative
8	Units	Digital	terabyte	long-one-locative
8	Units	Other Units	kilowatt-hour-per-100-kilometer	long-one-locative
8	Units	Other Units	kilowatt-hour-per-100-kilometer	long-one-instrumental
8	Units	Other Units	kilowatt-hour-per-100-kilometer	long-other-dative
8	Units	Electrical and Frequency	gigahertz	long-other-genitive
8	Units	Electrical and Frequency	megahertz	long-other-genitive
8	Units	Electrical and Frequency	kilohertz	long-other-genitive
8	Miscellaneous	Minimal Pairs	Case (for measurement units)	genitive
8	Units	Other Units	liter-per-kilometer	long-one-accusative
8	Units	Graphics	megapixel	long-other-accusative
7	Units	Volume	megaliter	long-other-accusative
7	Units	Volume	hectoliter	long-other-accusative
7	Units	Mass and Weight	microgram	long-one-accusative
7	Miscellaneous	Minimal Pairs	Plural	one
7	Units	Duration	millisecond	long-few-genitive
7	Units	Duration	millisecond	long-other-locative
7	Units	Duration	microsecond	long-few-genitive
7	Units	Duration	microsecond	long-other-locative
7	Units	Duration	nanosecond	long-few-genitive
7	Units	Duration	nanosecond	long-other-locative
7	Units	Graphics	megapixel	long-other-locative
7	Units	Graphics	pixel-per-centimeter	long-few-genitive
7	Units	Graphics	pixel-per-centimeter	long-other-instrumental
7	Units	Length	kilometer	long-other-locative
7	Units	Length	decimeter	long-few-genitive
7	Units	Length	decimeter	long-other-locative
7	Units	Length	centimeter	long-other-locative
7	Units	Length	millimeter	long-other-locative
7	Units	Length	micrometer	long-few-genitive
7	Units	Length	micrometer	long-other-locative
7	Units	Length	nanometer	long-few-genitive
7	Units	Length	nanometer	long-other-locative
7	Units	Length	picometer	long-other-locative
7	Units	Area	square-kilometer	long-other-locative
7	Units	Area	square-meter	long-few-genitive
7	Units	Area	square-meter	long-other-locative
7	Units	Area	square-centimeter	long-other-locative
7	Units	Volume	cubic-kilometer	long-few-genitive
7	Units	Volume	cubic-kilometer	long-other-locative
7	Units	Volume	cubic-meter	long-few-genitive
7	Units	Volume	cubic-meter	long-other-locative
7	Units	Volume	cubic-centimeter	long-other-locative
7	Units	Volume	megaliter	long-few-genitive
7	Units	Volume	megaliter	long-other-locative
7	Units	Volume	hectoliter	long-few-genitive
7	Units	Volume	hectoliter	long-other-locative
7	Units	Volume	deciliter	long-other-locative
7	Units	Volume	centiliter	long-other-locative
7	Units	Volume	milliliter	long-other-locative
7	Units	Speed and Acceleration	meter-per-square-second	long-other-locative
7	Units	Speed and Acceleration	kilometer-per-hour	long-other-locative
7	Units	Speed and Acceleration	meter-per-second	long-other-locative
7	Units	Mass and Weight	milligram	long-other-locative
7	Units	Mass and Weight	microgram	long-few-genitive
7	Units	Mass and Weight	microgram	long-other-locative
7	Units	Energy and Power	kilojoule	long-other-locative
7	Units	Energy and Power	kilowatt-hour	long-few-genitive
7	Units	Energy and Power	kilowatt-hour	long-other-locative
7	Units	Energy and Power	gigawatt	long-few-genitive
7	Units	Energy and Power	gigawatt	long-other-locative
7	Units	Energy and Power	megawatt	long-few-genitive
7	Units	Energy and Power	megawatt	long-other-locative
7	Units	Energy and Power	kilowatt	long-few-genitive
7	Units	Energy and Power	kilowatt	long-other-locative
7	Units	Energy and Power	milliwatt	long-few-genitive
7	Units	Electrical and Frequency	milliampere	long-few-genitive
7	Units	Electrical and Frequency	milliampere	long-other-locative
7	Units	Electrical and Frequency	gigahertz	long-few-genitive
7	Units	Electrical and Frequency	gigahertz	long-other-locative
7	Units	Electrical and Frequency	megahertz	long-few-genitive
7	Units	Electrical and Frequency	megahertz	long-other-locative
7	Units	Electrical and Frequency	kilohertz	long-few-genitive
7	Units	Electrical and Frequency	kilohertz	long-other-locative
7	Units	Weather	millibar	long-few-genitive
7	Units	Weather	millibar	long-other-locative
7	Units	Weather	hectopascal	long-few-genitive
7	Units	Weather	hectopascal	long-other-locative
7	Units	Weather	kilopascal	long-other-locative
7	Units	Weather	megapascal	long-few-genitive
7	Units	Weather	megapascal	long-other-locative
7	Units	Digital	petabyte	long-few-genitive
7	Units	Digital	petabyte	long-other-locative
7	Units	Digital	terabyte	long-other-locative
7	Units	Digital	terabit	long-other-locative
7	Units	Digital	gigabyte	long-other-locative
7	Units	Digital	gigabit	long-other-locative
7	Units	Digital	megabyte	long-other-locative
7	Units	Digital	megabit	long-other-locative
7	Units	Digital	kilobyte	long-other-locative
7	Units	Digital	kilobit	long-other-locative
7	Units	Other Units	millimole-per-liter	long-few-genitive
7	Units	Other Units	millimole-per-liter	long-other-locative
7	Units	Other Units	item	long-few-genitive
7	Units	Other Units	item	long-other-locative
7	Units	Other Units	liter-per-kilometer	long-few-genitive
7	Units	Other Units	liter-per-kilometer	long-other-locative
7	Units	Other Units	liter-per-100-kilometer	long-other-locative
7	Units	Other Units	newton-meter	long-few-genitive
7	Units	Other Units	newton-meter	long-other-locative
7	Units	Graphics	pixel	long-one-genitive
7	Units	Volume	liter	long-one-genitive
7	Units	Energy and Power	joule	long-one-genitive
7	Units	Electrical and Frequency	ampere	long-one-genitive
7	Units	Electrical and Frequency	hertz	long-one-genitive
7	Units	Weather	pascal	long-one-genitive
7	Units	Other Units	degree	long-one-genitive
7	Units	Other Units	newton	long-one-genitive
7	Units	Other Units	permyriad	long-one-genitive
7	Units	Length	kilometer	long-one-accusative
7	Units	Length	decimeter	long-one-accusative
7	Units	Length	centimeter	long-one-accusative
7	Units	Length	millimeter	long-one-accusative
7	Units	Length	micrometer	long-one-accusative
7	Units	Length	nanometer	long-one-accusative
7	Units	Length	picometer	long-one-accusative
7	Units	Area	square-kilometer	long-one-accusative
7	Units	Area	square-meter	long-one-accusative
7	Units	Area	square-centimeter	long-one-accusative
7	Units	Volume	cubic-kilometer	long-one-accusative
7	Units	Volume	cubic-meter	long-one-accusative
7	Units	Volume	cubic-centimeter	long-one-accusative
7	Units	Volume	deciliter	long-one-accusative
7	Units	Volume	centiliter	long-one-accusative
7	Units	Volume	milliliter	long-one-accusative
7	Units	Volume	milliliter	long-other-accusative
7	Units	Speed and Acceleration	meter-per-square-second	long-one-accusative
7	Units	Speed and Acceleration	kilometer-per-hour	long-one-accusative
7	Units	Speed and Acceleration	meter-per-second	long-one-accusative
7	Units	Energy and Power	kilojoule	long-one-accusative
7	Units	Electrical and Frequency	gigahertz	long-one-accusative
7	Units	Electrical and Frequency	megahertz	long-one-accusative
7	Units	Electrical and Frequency	kilohertz	long-one-accusative
7	Units	Digital	megabit	long-one-accusative
7	Units	Digital	kilobit	long-one-accusative
7	Units	Other Units	liter-per-100-kilometer	long-one-accusative
7	Units	Other Units	newton-meter	long-one-accusative
6	Units	Duration	decade	short-one-nominative
6	Units	Mass and Weight	microgram	long-other-accusative
6	Locale Display Names	Languages (A-D)	C	Crimean Tatar ► crh
6	Units	Duration	millisecond	long-few-dative
6	Units	Duration	millisecond	long-few-instrumental
6	Units	Duration	microsecond	long-few-dative
6	Units	Duration	microsecond	long-few-instrumental
6	Units	Duration	nanosecond	long-few-dative
6	Units	Duration	nanosecond	long-few-instrumental
6	Units	Graphics	megapixel	long-few-dative
6	Units	Graphics	megapixel	long-other-instrumental
6	Units	Graphics	pixel-per-centimeter	long-few-dative
6	Units	Length	decimeter	long-few-dative
6	Units	Length	centimeter	long-few-genitive
6	Units	Length	micrometer	long-few-dative
6	Units	Length	nanometer	long-few-dative
6	Units	Area	square-meter	long-few-dative
6	Units	Area	square-meter	long-few-instrumental
6	Units	Volume	cubic-kilometer	long-few-dative
6	Units	Volume	cubic-kilometer	long-few-instrumental
6	Units	Volume	cubic-meter	long-few-dative
6	Units	Volume	cubic-meter	long-few-instrumental
6	Units	Volume	megaliter	long-few-dative
6	Units	Volume	hectoliter	long-few-dative
6	Units	Mass and Weight	microgram	long-few-dative
6	Units	Energy and Power	kilojoule	long-few-genitive
6	Units	Energy and Power	kilojoule	long-few-dative
6	Units	Energy and Power	kilowatt-hour	long-few-dative
6	Units	Energy and Power	kilowatt-hour	long-few-instrumental
6	Units	Energy and Power	gigawatt	long-few-dative
6	Units	Energy and Power	megawatt	long-few-dative
6	Units	Energy and Power	kilowatt	long-few-dative
6	Units	Energy and Power	milliwatt	long-few-dative
6	Units	Electrical and Frequency	milliampere	long-few-dative
6	Units	Electrical and Frequency	gigahertz	long-few-dative
6	Units	Electrical and Frequency	megahertz	long-few-dative
6	Units	Electrical and Frequency	kilohertz	long-few-dative
6	Units	Weather	millibar	long-few-dative
6	Units	Weather	hectopascal	long-few-dative
6	Units	Weather	megapascal	long-few-dative
6	Units	Digital	petabyte	long-few-dative
