# Grammatical Features
Amharic	am	grammaticalCase	general	nominative, accusative
Amharic	am	grammaticalDefiniteness	general	indefinite, definite

# Minimal Pairs
Plural	one	{0} ቀን	<div class='cldr_example'><span class='cldr_substituted'>1</span> ቀን</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> ቀን</div>
Plural	other	{0} ቀናት	<div class='cldr_example'><span class='cldr_substituted'>2</span> ቀናት</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1</span> ቀናት</div>
Case (for measurement units)	nominative	{0} ዩኬ የሻይ ማንኪያ	<div class='cldr_example'><span class='cldr_substituted'>1 rad</span> ዩኬ የሻይ ማንኪያ</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1 ራዲያን</span> ዩኬ የሻይ ማንኪያ</div>
Case (for measurement units)	accusative	ልጁ ለ {0} ቀረ	<div class='cldr_example'>ልጁ ለ <span class='cldr_substituted'>1 ራዲያን</span> ቀረ</div><div class='cldr_example'>❌  ልጁ ለ <span class='cldr_substituted'>1 rad</span> ቀረ</div>

# Unit Case and Gender Info
duration	milliseconds	nominative	{0} ሚሊሰከንድ	1 ሚሊሰከንድ ዩኬ የሻይ ማንኪያ	{0} ሚሊሰከንድ	3 ሚሊሰከንድ ዩኬ የሻይ ማንኪያ
duration	milliseconds	accusative	{0} ሚሊሰከንድ	ልጁ ለ 1 ሚሊሰከንድ ቀረ	{0} ሚሊሰከንድ	ልጁ ለ 3 ሚሊሰከንድ ቀረ
duration	seconds	nominative	{0} ሰከንድ	1 ሰከንድ ዩኬ የሻይ ማንኪያ	{0} ሰከንዶች	3 ሰከንዶች ዩኬ የሻይ ማንኪያ
duration	seconds	accusative	{0} ሰከንድ	ልጁ ለ 1 ሰከንድ ቀረ	{0} ሰከንዶች	ልጁ ለ 3 ሰከንዶች ቀረ
duration	minute ( = 60 sec)	nominative	{0} ደቂቃ	1 ደቂቃ ዩኬ የሻይ ማንኪያ	{0} ደቂቃዎች	3 ደቂቃዎች ዩኬ የሻይ ማንኪያ
duration	minute ( = 60 sec)	accusative	{0} ደቂቃ	ልጁ ለ 1 ደቂቃ ቀረ	{0} ደቂቃዎች	ልጁ ለ 3 ደቂቃዎች ቀረ
duration	hour ( = 3,600 sec)	nominative	{0} ሰዓት	1 ሰዓት ዩኬ የሻይ ማንኪያ	{0} ሰዓቶች	3 ሰዓቶች ዩኬ የሻይ ማንኪያ
duration	hour ( = 3,600 sec)	accusative	{0} ሰዓት	ልጁ ለ 1 ሰዓት ቀረ	{0} ሰዓቶች	ልጁ ለ 3 ሰዓቶች ቀረ
duration	day ( = 86,400 sec)	nominative	{0} ቀናት	1 ቀናት ዩኬ የሻይ ማንኪያ	{0} ቀናት	3 ቀናት ዩኬ የሻይ ማንኪያ
duration	day ( = 86,400 sec)	accusative	{0} ቀናት	ልጁ ለ 1 ቀናት ቀረ	{0} ቀናት	ልጁ ለ 3 ቀናት ቀረ
duration	day-person ( = 86,400 sec)	nominative	{0} ቀናት	1 ቀናት ዩኬ የሻይ ማንኪያ	{0} ቀናት	3 ቀናት ዩኬ የሻይ ማንኪያ
duration	day-person ( = 86,400 sec)	accusative	{0} ቀናት	ልጁ ለ 1 ቀናት ቀረ	{0} ቀናት	ልጁ ለ 3 ቀናት ቀረ
duration	week ( = 604,800 sec)	nominative	{0} ሳምንት	1 ሳምንት ዩኬ የሻይ ማንኪያ	{0} ሳምንታት	3 ሳምንታት ዩኬ የሻይ ማንኪያ
duration	week ( = 604,800 sec)	accusative	{0} ሳምንት	ልጁ ለ 1 ሳምንት ቀረ	{0} ሳምንታት	ልጁ ለ 3 ሳምንታት ቀረ
electric-current	milliamperes	nominative	{0} mA	1 mA ዩኬ የሻይ ማንኪያ	{0} mA	3 mA ዩኬ የሻይ ማንኪያ
electric-current	milliamperes	accusative	{0} mA	ልጁ ለ 1 mA ቀረ	{0} mA	ልጁ ለ 3 mA ቀረ
electric-current	amperes	nominative	{0} A	1 A ዩኬ የሻይ ማንኪያ	{0} A	3 A ዩኬ የሻይ ማንኪያ
electric-current	amperes	accusative	{0} አምፒር	ልጁ ለ 1 አምፒር ቀረ	{0} አምፒሮች	ልጁ ለ 3 አምፒሮች ቀረ
electric-resistance	ohms	nominative	{0} Ω	1 Ω ዩኬ የሻይ ማንኪያ	{0} Ω	3 Ω ዩኬ የሻይ ማንኪያ
electric-resistance	ohms	accusative	{0} ohm	ልጁ ለ 1 ohm ቀረ	{0} ohms	ልጁ ለ 3 ohms ቀረ
energy	joules	nominative	{0} J	1 J ዩኬ የሻይ ማንኪያ	{0} J	3 J ዩኬ የሻይ ማንኪያ
energy	joules	accusative	{0} J	ልጁ ለ 1 J ቀረ	{0} J	ልጁ ለ 3 J ቀረ
energy	newton-meter ( = 1 J)	nominative	{0} ኒ.ሜ	1 ኒ.ሜ ዩኬ የሻይ ማንኪያ	{0} ኒ.ሜ	3 ኒ.ሜ ዩኬ የሻይ ማንኪያ
