# Grammatical Features
#Locale	ID	Feature	Usage	Values
Armenian	hy	grammaticalCase	general	nominative, locative, dative, instrumental, ablative

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
area	square meters	locative	{0} քառակուսի մետրում	Երկրի պտույտը 1 քառակուսի մետրում	{0} քառակուսի մետրում	Երկրի պտույտը 3 քառակուսի մետրում
area	square meters	dative	{0} քառակուսի մետրին	Սպասում եմ այդ 1 քառակուսի մետրին	{0} քառակուսի մետրին	Սպասում եմ այդ 3 քառակուսի մետրին
area	square meters	instrumental	{0} քառակուսի մետրով	Հպարտանում եմ այդ 1 քառակուսի մետրով	{0} քառակուսի մետրով	Հպարտանում եմ այդ 3 քառակուսի մետրով
area	square meters	ablative	{0} քառակուսի մետրից	Վախենում եմ այդ 1 քառակուսի մետրից	{0} քառակուսի մետրից	Վախենում եմ այդ 3 քառակուսի մետրից
area	hectares	nominative	{0} հեկտար	Մնացել է 1 հեկտար	{0} հեկտար	Մնացել է 3 հեկտար
area	hectares	locative	{0} հեկտարում	Երկրի պտույտը 1 հեկտարում	{0} հեկտարում	Երկրի պտույտը 3 հեկտարում
area	hectares	dative	{0} հեկտարին	Սպասում եմ այդ 1 հեկտարին	{0} հեկտարին	Սպասում եմ այդ 3 հեկտարին
area	hectares	instrumental	{0} հեկտարով	Հպարտանում եմ այդ 1 հեկտարով	{0} հեկտարով	Հպարտանում եմ այդ 3 հեկտարով
area	hectares	ablative	{0} հեկտարից	Վախենում եմ այդ 1 հեկտարից	{0} հեկտարից	Վախենում եմ այդ 3 հեկտարից
area	square kilometers	nominative	{0} քառակուսի կիլոմետր	Մնացել է 1 քառակուսի կիլոմետր	{0} քառակուսի կիլոմետր	Մնացել է 3 քառակուսի կիլոմետր
area	square kilometers	locative	{0} քառակուսի կիլոմետրում	Երկրի պտույտը 1 քառակուսի կիլոմետրում	{0} քառակուսի կիլոմետրում	Երկրի պտույտը 3 քառակուսի կիլոմետրում
area	square kilometers	dative	{0} քառակուսի կիլոմետրին	Սպասում եմ այդ 1 քառակուսի կիլոմետրին	{0} քառակուսի կիլոմետրին	Սպասում եմ այդ 3 քառակուսի կիլոմետրին
area	square kilometers	instrumental	{0} քառակուսի կիլոմետրով	Հպարտանում եմ այդ 1 քառակուսի կիլոմետրով	{0} քառակուսի կիլոմետրով	Հպարտանում եմ այդ 3 քառակուսի կիլոմետրով
area	square kilometers	ablative	{0} քառակուսի կիլոմետրից	Վախենում եմ այդ 1 քառակուսի կիլոմետրից	{0} քառակուսի կիլոմետրից	Վախենում եմ այդ 3 քառակուսի կիլոմետրից
concentration	millimole-per-liter • ( = 602,214,076,000,000,000,000,000 items per cubic meter)	nominative	{0} միլիմոլ լիտրի վրա	Մնացել է 1 միլիմոլ լիտրի վրա	{0} միլիմոլ լիտրի վրա	Մնացել է 3 միլիմոլ լիտրի վրա
concentration	millimole-per-liter • ( = 602,214,076,000,000,000,000,000 items per cubic meter)	locative	{0} միլիմոլում լիտրի վրա	Երկրի պտույտը 1 միլիմոլում լիտրի վրա	{0} միլիմոլում լիտրի վրա	Երկրի պտույտը 3 միլիմոլում լիտրի վրա
concentration	millimole-per-liter • ( = 602,214,076,000,000,000,000,000 items per cubic meter)	dative	{0} միլիմոլին լիտրի վրա	Սպասում եմ այդ 1 միլիմոլին լիտրի վրա	{0} միլիմոլին լիտրի վրա	Սպասում եմ այդ 3 միլիմոլին լիտրի վրա
concentration	millimole-per-liter • ( = 602,214,076,000,000,000,000,000 items per cubic meter)	instrumental	{0} միլիմոլով լիտրի վրա	Հպարտանում եմ այդ 1 միլիմոլով լիտրի վրա	{0} միլիմոլով լիտրի վրա	Հպարտանում եմ այդ 3 միլիմոլով լիտրի վրա
concentration	millimole-per-liter • ( = 602,214,076,000,000,000,000,000 items per cubic meter)	ablative	{0} միլիմոլից լիտրի վրա	Վախենում եմ այդ 1 միլիմոլից լիտրի վրա	{0} միլիմոլից լիտրի վրա	Վախենում եմ այդ 3 միլիմոլից լիտրի վրա
