# Grammatical Features
#Locale	ID	Feature	Usage	Values
Danish	da	grammaticalCase	general	nominative, genitive
Danish	da	grammaticalDefiniteness	general	unspecified, indefinite, definite
Danish	da	grammaticalGender	general	common, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} dag	<div class='cldr_example'><span class='cldr_substituted'>1</span> dag</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> dag</div>
Plural	other	{0} dage	<div class='cldr_example'><span class='cldr_substituted'>2</span> dage</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1</span> dage</div>
Case (for measurement units)	nominative	Jeg tror, ​​at {0} er nok.	<div class='cldr_example'>Jeg tror, ​​at <span class='cldr_substituted'>1 århundrede</span> er nok.</div><div class='cldr_example'>❌  Jeg tror, ​​at <span class='cldr_substituted'>2 århundreders</span> er nok.</div>
Case (for measurement units)	genitive	Med {0} mellemrum	<div class='cldr_example'>Med <span class='cldr_substituted'>2 århundreders</span> mellemrum</div><div class='cldr_example'>❌  Med <span class='cldr_substituted'>1 århundrede</span> mellemrum</div>
Gender (for measurement units)	common	En {0}	<div class='cldr_example'>En <span class='cldr_substituted'>centimeter</span></div><div class='cldr_example'>❌  En <span class='cldr_substituted'>århundrede</span></div>
Gender (for measurement units)	neuter	Et {0}	<div class='cldr_example'>Et <span class='cldr_substituted'>århundrede</span></div><div class='cldr_example'>❌  Et <span class='cldr_substituted'>centimeter</span></div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 1.0	Pattern for other	Case MP + pattern with 2.0
consumption	liters per 100 kilometers	common	En liter pr. 100 kilometer	genitive	{0} liter pr. 100 kilometers	Med 1 liter pr. 100 kilometers mellemrum	{0} liter pr. 100 kilometers	Med 2 liter pr. 100 kilometers mellemrum
consumption	liters per kilometer	common	En liter pr. kilometer	nominative	{0} liter pr. kilometer	Jeg tror, ​​at 1 liter pr. kilometer er nok.	{0} liter pr. kilometer	Jeg tror, ​​at 2 liter pr. kilometer er nok.
consumption	liters per kilometer	common	En liter pr. kilometer	genitive	{0} liter pr. kilometers	Med 1 liter pr. kilometers mellemrum	{0} liter pr. kilometers	Med 2 liter pr. kilometers mellemrum
consumption-inverse	mile-per-gallon-imperial • ( = ~354006.1899346471 meters per cubic meter)	common	En mil pr. engelsk gallon	nominative	{0} mil pr. engelsk gallon	Jeg tror, ​​at 1 mil pr. engelsk gallon er nok.	{0} mil pr. engelsk gallon	Jeg tror, ​​at 2 mil pr. engelsk gallon er nok.
consumption-inverse	mile-per-gallon-imperial • ( = ~354006.1899346471 meters per cubic meter)	common	En mil pr. engelsk gallon	genitive	{0} mil pr. engelsk gallon	Med 1 mil pr. engelsk gallon mellemrum	{0} mil pr. engelsk gallon	Med 2 mil pr. engelsk gallon mellemrum
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	common	En mil pr. gallon	nominative	mil pr. gallon	Jeg tror, ​​at mil pr. gallon er nok.	{0} mil pr. gallon	Jeg tror, ​​at 2 mil pr. gallon er nok.
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	common	En mil pr. gallon	genitive	mil pr. gallon	Med mil pr. gallon mellemrum	{0} mil pr. gallon	Med 2 mil pr. gallon mellemrum
digital	bits	common	En bit	nominative	{0} bit	Jeg tror, ​​at 1 bit er nok.	{0} bit	Jeg tror, ​​at 2 bit er nok.
digital	bits	common	En bit	genitive	{0} bits	Med 1 bits mellemrum	{0} bits	Med 2 bits mellemrum
digital	byte • ( = 8 bit)	common	En byte	nominative	{0} byte	Jeg tror, ​​at 1 byte er nok.	{0} bytes	Jeg tror, ​​at 2 bytes er nok.
digital	byte • ( = 8 bit)	common	En byte	genitive	{0} bytes	Med 1 bytes mellemrum	{0} bytes‘	Med 2 bytes‘ mellemrum
