# Count	Section	Page	Subhead	Code

133	Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber
12	Locale Display Names	Territories (South America)	South America-Subdivisions	ecse
12	Locale Display Names	Territories (South America)	South America-Subdivisions	ect
12	Locale Display Names	Territories (South America)	South America-Subdivisions	ecu
12	Locale Display Names	Territories (South America)	South America-Subdivisions	ecw
12	Locale Display Names	Territories (South America)	South America-Subdivisions	ecx
12	Locale Display Names	Territories (South America)	South America-Subdivisions	ecy
12	Locale Display Names	Territories (South America)	South America-Subdivisions	ecz
12	Locale Display Names	Territories (South America)	South America-Subdivisions	gyba
12	Locale Display Names	Territories (South America)	South America-Subdivisions	gycu
12	Locale Display Names	Territories (South America)	South America-Subdivisions	gyde
12	Locale Display Names	Territories (South America)	South America-Subdivisions	gyeb
12	Locale Display Names	Territories (South America)	South America-Subdivisions	gyes
12	Locale Display Names	Territories (South America)	South America-Subdivisions	gyma
12	Locale Display Names	Territories (South America)	South America-Subdivisions	gypm
12	Locale Display Names	Territories (South America)	South America-Subdivisions	gypt
12	Locale Display Names	Territories (South America)	South America-Subdivisions	gyud
12	Locale Display Names	Territories (South America)	South America-Subdivisions	gyut
12	Locale Display Names	Territories (South America)	South America-Subdivisions	peanc
12	Locale Display Names	Territories (South America)	South America-Subdivisions	peapu
12	Locale Display Names	Territories (South America)	South America-Subdivisions	peare
12	Locale Display Names	Territories (South America)	South America-Subdivisions	peaya
12	Locale Display Names	Territories (South America)	South America-Subdivisions	pecaj
12	Locale Display Names	Territories (South America)	South America-Subdivisions	pecal
12	Locale Display Names	Territories (South America)	South America-Subdivisions	pecus
12	Locale Display Names	Territories (South America)	South America-Subdivisions	pehuc
12	Locale Display Names	Territories (South America)	South America-Subdivisions	pehuv
12	Locale Display Names	Territories (South America)	South America-Subdivisions	peica
12	Locale Display Names	Territories (South America)	South America-Subdivisions	pejun
12	Locale Display Names	Territories (South America)	South America-Subdivisions	pelal
12	Locale Display Names	Territories (South America)	South America-Subdivisions	pelam
12	Locale Display Names	Territories (South America)	South America-Subdivisions	pelim
12	Locale Display Names	Territories (South America)	South America-Subdivisions	pelma
12	Locale Display Names	Territories (South America)	South America-Subdivisions	pelor
12	Locale Display Names	Territories (South America)	South America-Subdivisions	pemdd
12	Locale Display Names	Territories (South America)	South America-Subdivisions	pemoq
12	Locale Display Names	Territories (South America)	South America-Subdivisions	pepas
12	Locale Display Names	Territories (South America)	South America-Subdivisions	pepiu
12	Locale Display Names	Territories (South America)	South America-Subdivisions	pepun
12	Locale Display Names	Territories (South America)	South America-Subdivisions	pesam
12	Locale Display Names	Territories (South America)	South America-Subdivisions	petac
12	Locale Display Names	Territories (South America)	South America-Subdivisions	petum
12	Locale Display Names	Territories (South America)	South America-Subdivisions	peuca
12	Locale Display Names	Territories (South America)	South America-Subdivisions	py2
12	Locale Display Names	Territories (South America)	South America-Subdivisions	py3
12	Locale Display Names	Territories (South America)	South America-Subdivisions	py4
12	Locale Display Names	Territories (South America)	South America-Subdivisions	py5
12	Locale Display Names	Territories (South America)	South America-Subdivisions	py6
12	Locale Display Names	Territories (South America)	South America-Subdivisions	py7
12	Locale Display Names	Territories (South America)	South America-Subdivisions	py8
12	Locale Display Names	Territories (South America)	South America-Subdivisions	py10
12	Locale Display Names	Territories (South America)	South America-Subdivisions	py11
12	Locale Display Names	Territories (South America)	South America-Subdivisions	py12
12	Locale Display Names	Territories (South America)	South America-Subdivisions	py13
12	Locale Display Names	Territories (South America)	South America-Subdivisions	py14
12	Locale Display Names	Territories (South America)	South America-Subdivisions	py15
12	Locale Display Names	Territories (South America)	South America-Subdivisions	py16
12	Locale Display Names	Territories (South America)	South America-Subdivisions	py19
12	Locale Display Names	Territories (South America)	South America-Subdivisions	srbr
12	Locale Display Names	Territories (South America)	South America-Subdivisions	srcm
12	Locale Display Names	Territories (South America)	South America-Subdivisions	srcr
12	Locale Display Names	Territories (South America)	South America-Subdivisions	srma
12	Locale Display Names	Territories (South America)	South America-Subdivisions	srni
12	Locale Display Names	Territories (South America)	South America-Subdivisions	srpm
12	Locale Display Names	Territories (South America)	South America-Subdivisions	srpr
12	Locale Display Names	Territories (South America)	South America-Subdivisions	srsa
12	Locale Display Names	Territories (South America)	South America-Subdivisions	srsi
12	Locale Display Names	Territories (South America)	South America-Subdivisions	srwa
12	Locale Display Names	Territories (South America)	South America-Subdivisions	uyar
12	Locale Display Names	Territories (South America)	South America-Subdivisions	uyca
12	Locale Display Names	Territories (South America)	South America-Subdivisions	uycl
12	Locale Display Names	Territories (South America)	South America-Subdivisions	uyco
12	Locale Display Names	Territories (South America)	South America-Subdivisions	uydu
12	Locale Display Names	Territories (South America)	South America-Subdivisions	uyfd
12	Locale Display Names	Territories (South America)	South America-Subdivisions	uyfs
12	Locale Display Names	Territories (South America)	South America-Subdivisions	uyla
12	Locale Display Names	Territories (South America)	South America-Subdivisions	uyma
12	Locale Display Names	Territories (South America)	South America-Subdivisions	uypa
12	Locale Display Names	Territories (South America)	South America-Subdivisions	uyrn
12	Locale Display Names	Territories (South America)	South America-Subdivisions	uyro
12	Locale Display Names	Territories (South America)	South America-Subdivisions	uyrv
12	Locale Display Names	Territories (South America)	South America-Subdivisions	uysa
12	Locale Display Names	Territories (South America)	South America-Subdivisions	uysj
12	Locale Display Names	Territories (South America)	South America-Subdivisions	uyso
12	Locale Display Names	Territories (South America)	South America-Subdivisions	uyta
12	Locale Display Names	Territories (South America)	South America-Subdivisions	uytt
12	Locale Display Names	Territories (South America)	South America-Subdivisions	vea
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	lybu
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	lydr
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	lygt
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	lyja
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	lyji
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	lyju
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	lykf
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	lymb
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	lymi
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	lymj
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	lymq
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	lynl
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	lynq
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	lysb
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	lysr
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	lywa
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	lywd
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	lyws
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	lyza
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	ma02
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	ma03
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	ma04
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	ma05
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	ma06
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	ma07
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	ma08
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	ma09
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	ma10
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	ma11
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	ma12
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	ma13
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	ma14
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	ma15
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	mague
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	maoud
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	maskh
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	sdgk
12	Locale Display Names	Territories (Africa)	Northern Africa-Subdivisions	tn31
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bf01
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bf02
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bf03
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bf04
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bf05
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bf06
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bf07
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bf08
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bf09
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bf10
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bf11
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bf12
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bf13
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfbal
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfbam
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfban
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfbaz
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfbgr
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfblg
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfblk
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfcom
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfgan
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfgou
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfhou
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfiob
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfkad
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfken
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfkmd
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfkmp
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfkop
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfkos
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfkot
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfkow
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfler
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bflor
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfmou
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfnam
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfnao
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfnay
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfnou
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfoub
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfoud
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfpas
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfpon
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfsen
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfsis
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfsmt
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfsng
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfsom
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfsor
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bftui
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfyag
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfyat
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfzir
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfzon
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	bfzou
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	cvb
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	cvbr
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	cvbv
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	cvca
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	cvcf
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	cvcr
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	cvmo
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	cvpn
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	cvpr
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	cvrb
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	cvrg
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	cvrs
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	cvs
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	cvsd
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	cvsf
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	cvsl
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	cvsm
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	cvso
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	cvss
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	cvsv
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	cvta
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	cvts
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ghba
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ghbo
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ghne
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ghsv
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gnb
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gnbe
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gnbf
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gnbk
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gnco
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gnd
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gndb
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gndi
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gndl
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gndu
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gnf
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gnfa
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gnfr
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gnga
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gngu
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gnk
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gnkb
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gnkd
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gnke
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gnkn
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gnko
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gnks
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gnl
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gnla
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gnle
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gnlo
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gnm
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gnmc
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gnmd
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gnml
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gnmm
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gnn
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gnpi
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gnsi
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gnte
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gnto
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gnyo
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gwba
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gwbl
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gwbm
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gwca
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gwga
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gwoi
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gwqu
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	gwto
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	lrbg
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	lrbm
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	lrcm
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	lrgb
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	lrgg
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	lrgk
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	lrgp
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	lrlo
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	lrmg
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	lrmo
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	lrmy
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	lrni
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	lrrg
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	lrri
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	lrsi
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	mr01
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	mr02
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	mr03
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	mr04
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	mr05
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	mr06
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	mr07
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	mr08
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	mr09
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	mr10
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	mr11
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	mr12
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ne1
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ne2
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ne3
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ne4
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ne5
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ne6
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	ne7
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	sle
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	sln
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	sls
12	Locale Display Names	Territories (Africa)	Western Africa-Subdivisions	slw
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	cdit
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	cdkl
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	cdlo
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	cdnu
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	cfac
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	cfbb
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	cfbk
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	cfhk
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	cfhm
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	cfhs
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	cfkb
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	cfkg
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	cflb
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	cfmp
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	cfnm
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	cfop
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	cfse
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	cfvk
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	cg2
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	cg5
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	cg7
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	cg8
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	cg11
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	cg12
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	cg13
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	cg14
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	cg15
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	tdba
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	tdbo
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	tdcb
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	tdgr
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	tdhl
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	tdlc
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	tdlo
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	tdlr
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	tdma
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	tdmc
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	tdme
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	tdmo
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	tdod
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	tdsa
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	tdsi
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	tdta
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	tdti
12	Locale Display Names	Territories (Africa)	Middle Africa-Subdivisions	tdwf
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	djar
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	djas
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	djdi
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	djob
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	djta
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	ke01
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	ke02
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	ke03
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	ke04
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	ke05
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	ke08
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	ke09
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	ke11
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	ke13
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	ke14
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	ke18
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	ke19
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	ke20
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	ke22
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	ke23
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	ke25
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	ke26
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	ke29
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	ke31
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	ke32
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	ke33
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	ke34
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	ke35
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	ke37
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	ke39
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	ke40
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	ke41
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	ke42
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	ke43
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	ke44
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	ke45
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	ke46
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	mga
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	mgd
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	mgf
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	mgm
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	mgt
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	mupa
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	mupl
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	mupw
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	murr
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	musa
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	sc01
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	sc02
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	sc03
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	sc04
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	sc05
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	sc06
12	Locale Display Names	Territories (Africa)	Eastern Africa-Subdivisions	sc07
