# Count	Section	Page	Subhead	Code

133	Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency-alphaNextToNumber
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	ustx
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usut
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usva
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	usvt
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	uswa
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	uswi
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	uswv
15	Locale Display Names	Territories (North America)	Northern America-Subdivisions	uswy
15	Locale Display Names	Territories (North America)	Central America-Subdivisions	mxagu
15	Locale Display Names	Territories (North America)	Central America-Subdivisions	mxbcn
15	Locale Display Names	Territories (North America)	Central America-Subdivisions	mxbcs
15	Locale Display Names	Territories (North America)	Central America-Subdivisions	mxcam
15	Locale Display Names	Territories (North America)	Central America-Subdivisions	mxchh
15	Locale Display Names	Territories (North America)	Central America-Subdivisions	mxchp
15	Locale Display Names	Territories (North America)	Central America-Subdivisions	mxcmx
15	Locale Display Names	Territories (North America)	Central America-Subdivisions	mxcoa
15	Locale Display Names	Territories (North America)	Central America-Subdivisions	mxcol
15	Locale Display Names	Territories (North America)	Central America-Subdivisions	mxdur
15	Locale Display Names	Territories (North America)	Central America-Subdivisions	mxgro
15	Locale Display Names	Territories (North America)	Central America-Subdivisions	mxgua
15	Locale Display Names	Territories (North America)	Central America-Subdivisions	mxhid
15	Locale Display Names	Territories (North America)	Central America-Subdivisions	mxjal
15	Locale Display Names	Territories (North America)	Central America-Subdivisions	mxmex
15	Locale Display Names	Territories (North America)	Central America-Subdivisions	mxmic
15	Locale Display Names	Territories (North America)	Central America-Subdivisions	mxmor
15	Locale Display Names	Territories (North America)	Central America-Subdivisions	mxnay
15	Locale Display Names	Territories (North America)	Central America-Subdivisions	mxnle
15	Locale Display Names	Territories (North America)	Central America-Subdivisions	mxoax
15	Locale Display Names	Territories (North America)	Central America-Subdivisions	mxque
15	Locale Display Names	Territories (North America)	Central America-Subdivisions	mxroo
15	Locale Display Names	Territories (North America)	Central America-Subdivisions	mxsin
