# Section	Page	Header	Code	Old	New
#Section	Page	Header	Code	Old	New
BCP47	u_Extension	tz-ancur	_region	▷missing◁	CW
Supplemental	LanguageInfo	GT/ixl	populationPercent	▷missing◁	0.89
Supplemental	LanguageInfo	GT/jac	populationPercent	▷missing◁	0.31
Supplemental	LanguageInfo	GT/kek	populationPercent	▷missing◁	8.8
Supplemental	LanguageInfo	GT/kjb	populationPercent	▷missing◁	1.2
Supplemental	LanguageInfo	GT/knj	populationPercent	▷missing◁	0.58
Supplemental	LanguageInfo	GT/mam	populationPercent	▷missing◁	4.6
Supplemental	LanguageInfo	GT/mop	populationPercent	▷missing◁	0.018
Supplemental	LanguageInfo	GT/poc	populationPercent	▷missing◁	0.09
Supplemental	LanguageInfo	GT/poh	populationPercent	▷missing◁	1.2
Supplemental	LanguageInfo	GT/quc	populationPercent	…	8.6
Supplemental	LanguageInfo	GT/qum	populationPercent	▷missing◁	0.036
Supplemental	LanguageInfo	GT/quv	officialStatus	▷missing◁	official_regional
Supplemental	LanguageInfo	GT/quv	populationPercent	▷missing◁	0.054
Supplemental	LanguageInfo	GT/ttc	populationPercent	▷missing◁	0.027
Supplemental	LanguageInfo	GT/tzj	populationPercent	▷missing◁	0.61
Supplemental	LanguageInfo	GT/usp	officialStatus	▷missing◁	official_regional
Supplemental	LanguageInfo	GT/usp	populationPercent	▷missing◁	0.045
Supplemental	LanguageInfo	GT/xin	officialStatus	▷missing◁	official_regional
Supplemental	LanguageInfo	GT/xin	populationPercent	▷missing◁	0.027
Supplemental	LanguageInfo	HN/cab	populationPercent	▷missing◁	0.47
Supplemental	LanguageInfo	HN/es	populationPercent	…	91
Supplemental	LanguageInfo	IN/pi_Deva	populationPercent	▷missing◁	0
Supplemental	LanguageInfo	IQ/ckb	populationPercent	…	12
Supplemental	LanguageInfo	IQ/ku_Arab	populationPercent	▷missing◁	10
Supplemental	LanguageInfo	IR/ckb	populationPercent	…	0.63
Supplemental	LanguageInfo	IR/ku_Arab	populationPercent	▷missing◁	0.56
Supplemental	LanguageInfo	IR/sdh	populationPercent	…	4.5
Supplemental	LanguageInfo	IT/pms	populationPercent	…	1.1
Supplemental	LanguageInfo	LK/pi_Sinh	populationPercent	▷missing◁	0
Supplemental	LanguageInfo	LR/bsq	populationPercent	▷missing◁	14
Supplemental	LanguageInfo	LR/bza	populationPercent	▷missing◁	2.9
Supplemental	LanguageInfo	LR/dnj	literacyPercent	▷missing◁	1
Supplemental	LanguageInfo	LR/dnj	populationPercent	▷missing◁	7.9
Supplemental	LanguageInfo	LR/grb	populationPercent	▷missing◁	9.9
Supplemental	LanguageInfo	LR/kpe	populationPercent	…	20
Supplemental	LanguageInfo	LR/kro	populationPercent	▷missing◁	10
Supplemental	LanguageInfo	LR/kss	populationPercent	▷missing◁	4.3
Supplemental	LanguageInfo	LR/lir	populationPercent	▷missing◁	74
Supplemental	LanguageInfo	LR/men	populationPercent	…	1.7
Supplemental	LanguageInfo	LR/mev	populationPercent	▷missing◁	7.2
Supplemental	LanguageInfo	LR/vai	populationPercent	…	3.8
Supplemental	LanguageInfo	MA/mey	populationPercent	▷missing◁	0.82
Supplemental	LanguageInfo	MM/pi_Mymr	populationPercent	▷missing◁	0
Supplemental	LanguageInfo	MO/nan	populationPercent	3.7	▷removed◁
Supplemental	LanguageInfo	MO/nan_Hant	populationPercent	▷missing◁	3.7
Supplemental	LanguageInfo	MR/mey	populationPercent	▷missing◁	87
Supplemental	LanguageInfo	RU/bua	officialStatus	▷missing◁	official_regional
Supplemental	LanguageInfo	SN/mey	literacyPercent	10	▷removed◁
Supplemental	LanguageInfo	SN/mey	officialStatus	official_regional	▷removed◁
Supplemental	LanguageInfo	SN/mey	populationPercent	0.038	▷removed◁
Supplemental	LanguageInfo	SN/mey_Latn	literacyPercent	▷missing◁	10
Supplemental	LanguageInfo	SN/mey_Latn	officialStatus	▷missing◁	official_regional
Supplemental	LanguageInfo	SN/mey_Latn	populationPercent	▷missing◁	0.038
Supplemental	LanguageInfo	TH/pi_Thai	populationPercent	▷missing◁	0
Supplemental	LanguageInfo	TM/ku	populationPercent	0.4	▷removed◁
Supplemental	LanguageInfo	TM/ku_Cyrl	populationPercent	▷missing◁	0.4
Supplemental	LanguageInfo	TR/lzz	literacyPercent	▷missing◁	73
Supplemental	LanguageInfo	TR/lzz	populationPercent	…	0.025
Supplemental	Metazone	America/Coyhaique	-∞..2025-03-19 21:00	▷missing◁	Chile
Supplemental	Calendar	islamic	1-aliases	▷missing◁	bh
Supplemental	Calendar	islamic	1-code	▷missing◁	islamic-inverse
Supplemental	Calendar	islamic	1-end	▷missing◁	622-7-14
Supplemental	Calendar	islamic-civil	1-aliases	▷missing◁	bh
Supplemental	Calendar	islamic-civil	1-code	▷missing◁	islamic-civil-inverse
Supplemental	Calendar	islamic-civil	1-end	▷missing◁	622-7-15
Supplemental	Calendar	islamic-rgsa	1-aliases	▷missing◁	bh
Supplemental	Calendar	islamic-rgsa	1-code	▷missing◁	islamic-rgsa-inverse
Supplemental	Calendar	islamic-rgsa	1-end	▷missing◁	622-7-14
Supplemental	Calendar	islamic-tbla	1-aliases	▷missing◁	bh
Supplemental	Calendar	islamic-tbla	1-code	▷missing◁	islamic-tbla-inverse
Supplemental	Calendar	islamic-tbla	1-end	▷missing◁	622-7-14
Supplemental	Calendar	islamic-umalqura	1-aliases	▷missing◁	bh
Supplemental	Calendar	islamic-umalqura	1-code	▷missing◁	islamic-umalqura-inverse
Supplemental	Calendar	islamic-umalqura	1-end	▷missing◁	622-7-14
Supplemental	Calendar	japanese	232-start	…	1868-10-23
Supplemental	Calendar	japanese	233-start	…	1912-07-30
Supplemental	Calendar	japanese	235-start	…	1989-01-08
Supplemental	Calendar	japanese	236-start	…	2019-05-01
Supplemental	WeekData	firstDay	mon	…	…
Supplemental	WeekData	firstDay	sun	…	… • IS • …
Supplemental	WeekData	hours-H-regions	H	…	… • ku_SY • …
Supplemental	WeekData	hours-H-regions	hB	…	… • ku_SY • …
Supplemental	Language	aa	territories-secondary	DJ	▷removed◁
Supplemental	Language	aa	territories-secondary	ET	▷removed◁
Supplemental	Language	ab	territories-secondary	GE	▷removed◁
Supplemental	Language	abr	territories-secondary	GH	▷removed◁
Supplemental	Language	ace	territories-secondary	ID	▷removed◁
Supplemental	Language	ach	territories-secondary	UG	▷removed◁
Supplemental	Language	ada	territories-secondary	GH	▷removed◁
Supplemental	Language	ady	territories-secondary	RU	▷removed◁
Supplemental	Language	aeb	territories-secondary	TN	▷removed◁
Supplemental	Language	af	territories-secondary	NA	▷removed◁
Supplemental	Language	af	territories-secondary	ZA	▷removed◁
Supplemental	Language	ak	territories-secondary	GH	▷removed◁
Supplemental	Language	aln	territories-secondary	XK	▷removed◁
Supplemental	Language	am	territories	ET	▷removed◁
Supplemental	Language	apc	territories-secondary	IL	▷removed◁
Supplemental	Language	apc	territories-secondary	JO	▷removed◁
Supplemental	Language	apc	territories-secondary	LB	▷removed◁
Supplemental	Language	apc	territories-secondary	PS	▷removed◁
Supplemental	Language	apc	territories-secondary	SY	▷removed◁
Supplemental	Language	apc	territories-secondary	TR	▷removed◁
Supplemental	Language	apd	territories-secondary	SD	▷removed◁
Supplemental	Language	ar	territories	AE	▷removed◁
Supplemental	Language	ar	territories	BH	▷removed◁
Supplemental	Language	ar	territories	DJ	▷removed◁
Supplemental	Language	ar	territories	DZ	▷removed◁
Supplemental	Language	ar	territories	EG	▷removed◁
Supplemental	Language	ar	territories	EH	▷removed◁
Supplemental	Language	ar	territories	ER	▷removed◁
Supplemental	Language	ar	territories	IL	▷removed◁
Supplemental	Language	ar	territories	IQ	▷removed◁
Supplemental	Language	ar	territories	JO	▷removed◁
Supplemental	Language	ar	territories	KM	▷removed◁
Supplemental	Language	ar	territories	KW	▷removed◁
Supplemental	Language	ar	territories	LB	▷removed◁
Supplemental	Language	ar	territories	LY	▷removed◁
Supplemental	Language	ar	territories	MA	▷removed◁
Supplemental	Language	ar	territories	MR	▷removed◁
Supplemental	Language	ar	territories	OM	▷removed◁
Supplemental	Language	ar	territories	PS	▷removed◁
Supplemental	Language	ar	territories	QA	▷removed◁
Supplemental	Language	ar	territories	SA	▷removed◁
Supplemental	Language	ar	territories	SD	▷removed◁
Supplemental	Language	ar	territories	SO	▷removed◁
Supplemental	Language	ar	territories	SY	▷removed◁
Supplemental	Language	ar	territories	TD	▷removed◁
Supplemental	Language	ar	territories	TN	▷removed◁
Supplemental	Language	ar	territories	YE	▷removed◁
Supplemental	Language	ar	territories-secondary	IR	▷removed◁
Supplemental	Language	ar	territories-secondary	SS	▷removed◁
Supplemental	Language	arq	territories-secondary	DZ	▷removed◁
Supplemental	Language	ars	territories-secondary	SA	▷removed◁
Supplemental	Language	ary	territories-secondary	MA	▷removed◁
Supplemental	Language	arz	territories-secondary	EG	▷removed◁
Supplemental	Language	as	territories-secondary	IN	▷removed◁
Supplemental	Language	ast	territories-secondary	ES	▷removed◁
Supplemental	Language	av	territories-secondary	RU	▷removed◁
Supplemental	Language	awa	territories-secondary	IN	▷removed◁
Supplemental	Language	ay	territories	BO	▷removed◁
Supplemental	Language	az	scripts	…	…
Supplemental	Language	az	scripts-secondary	▷missing◁	Arab
Supplemental	Language	az	scripts-secondary	▷missing◁	Cyrl
Supplemental	Language	az	territories	AZ	▷removed◁
Supplemental	Language	az	territories-secondary	IQ	▷removed◁
Supplemental	Language	az	territories-secondary	IR	▷removed◁
Supplemental	Language	az	territories-secondary	RU	▷removed◁
Supplemental	Language	ba	territories-secondary	RU	▷removed◁
Supplemental	Language	bal	territories-secondary	IR	▷removed◁
Supplemental	Language	bal	territories-secondary	PK	▷removed◁
Supplemental	Language	ban	territories-secondary	ID	▷removed◁
Supplemental	Language	bar	territories-secondary	AT	▷removed◁
Supplemental	Language	bar	territories-secondary	DE	▷removed◁
Supplemental	Language	bbc	territories-secondary	ID	▷removed◁
Supplemental	Language	bci	territories-secondary	CI	▷removed◁
Supplemental	Language	be	territories	BY	▷removed◁
Supplemental	Language	bej	territories-secondary	SD	▷removed◁
Supplemental	Language	bem	territories-secondary	ZM	▷removed◁
Supplemental	Language	bew	territories-secondary	ID	▷removed◁
Supplemental	Language	bez	territories-secondary	TZ	▷removed◁
Supplemental	Language	bg	territories	BG	▷removed◁
Supplemental	Language	bgc	territories-secondary	IN	▷removed◁
Supplemental	Language	bgn	territories-secondary	PK	▷removed◁
Supplemental	Language	bhb	territories-secondary	IN	▷removed◁
Supplemental	Language	bhi	territories-secondary	IN	▷removed◁
Supplemental	Language	bho	territories-secondary	IN	▷removed◁
Supplemental	Language	bho	territories-secondary	NP	▷removed◁
Supplemental	Language	bi	territories	VU	▷removed◁
Supplemental	Language	bik	territories-secondary	PH	▷removed◁
Supplemental	Language	bin	territories-secondary	NG	▷removed◁
Supplemental	Language	bjj	territories-secondary	IN	▷removed◁
Supplemental	Language	bjn	territories-secondary	ID	▷removed◁
Supplemental	Language	bjt	territories-secondary	SN	▷removed◁
Supplemental	Language	bm	territories-secondary	ML	▷removed◁
Supplemental	Language	bn	territories	BD	▷removed◁
Supplemental	Language	bn	territories-secondary	IN	▷removed◁
Supplemental	Language	bo	territories-secondary	CN	▷removed◁
Supplemental	Language	bqi	territories-secondary	IR	▷removed◁
Supplemental	Language	brh	territories-secondary	PK	▷removed◁
Supplemental	Language	brx	territories-secondary	IN	▷removed◁
Supplemental	Language	bs	territories	BA	▷removed◁
Supplemental	Language	bsc	territories-secondary	SN	▷removed◁
Supplemental	Language	bsq	scripts	▷missing◁	Latn
Supplemental	Language	bsq	scripts-secondary	▷missing◁	Bass
Supplemental	Language	buc	territories-secondary	YT	▷removed◁
Supplemental	Language	bug	territories-secondary	ID	▷removed◁
Supplemental	Language	bum	territories-secondary	CM	▷removed◁
Supplemental	Language	ca	territories	AD	▷removed◁
Supplemental	Language	ca	territories-secondary	ES	▷removed◁
Supplemental	Language	ce	territories-secondary	RU	▷removed◁
Supplemental	Language	ceb	territories-secondary	PH	▷removed◁
Supplemental	Language	cgg	territories-secondary	UG	▷removed◁
Supplemental	Language	ch	territories	GU	▷removed◁
Supplemental	Language	chk	territories-secondary	FM	▷removed◁
Supplemental	Language	chp	territories-secondary	CA	▷removed◁
Supplemental	Language	ckb	territories-secondary	IQ	▷removed◁
Supplemental	Language	ckb	territories-secondary	IR	▷removed◁
Supplemental	Language	cop	territories-secondary	EG	▷removed◁
Supplemental	Language	crk	territories-secondary	CA	▷removed◁
Supplemental	Language	crs	territories-secondary	SC	▷removed◁
Supplemental	Language	cs	territories	CZ	▷removed◁
Supplemental	Language	cs	territories-secondary	SK	▷removed◁
Supplemental	Language	csb	territories-secondary	PL	▷removed◁
Supplemental	Language	cv	territories-secondary	RU	▷removed◁
Supplemental	Language	cy	territories-secondary	GB	▷removed◁
Supplemental	Language	da	territories	DK	▷removed◁
Supplemental	Language	da	territories-secondary	DE	▷removed◁
Supplemental	Language	dcc	territories-secondary	IN	▷removed◁
Supplemental	Language	de	territories	AT	▷removed◁
Supplemental	Language	de	territories	BE	▷removed◁
Supplemental	Language	de	territories	CH	▷removed◁
Supplemental	Language	de	territories	DE	▷removed◁
Supplemental	Language	de	territories	LI	▷removed◁
Supplemental	Language	de	territories	LU	▷removed◁
Supplemental	Language	de	territories-secondary	BR	▷removed◁
Supplemental	Language	de	territories-secondary	CZ	▷removed◁
Supplemental	Language	de	territories-secondary	DK	▷removed◁
Supplemental	Language	de	territories-secondary	FI	▷removed◁
Supplemental	Language	de	territories-secondary	FR	▷removed◁
Supplemental	Language	de	territories-secondary	GB	▷removed◁
Supplemental	Language	de	territories-secondary	HU	▷removed◁
Supplemental	Language	de	territories-secondary	KZ	▷removed◁
Supplemental	Language	de	territories-secondary	NL	▷removed◁
Supplemental	Language	de	territories-secondary	PL	▷removed◁
Supplemental	Language	de	territories-secondary	SI	▷removed◁
Supplemental	Language	de	territories-secondary	SK	▷removed◁
Supplemental	Language	de	territories-secondary	US	▷removed◁
Supplemental	Language	den	territories-secondary	CA	▷removed◁
Supplemental	Language	dgr	territories-secondary	CA	▷removed◁
Supplemental	Language	dje	territories-secondary	NE	▷removed◁
Supplemental	Language	dnj	territories-secondary	CI	▷removed◁
Supplemental	Language	doi	territories-secondary	IN	▷removed◁
Supplemental	Language	dv	territories	MV	▷removed◁
Supplemental	Language	dyo	territories-secondary	SN	▷removed◁
Supplemental	Language	dyu	territories-secondary	BF	▷removed◁
Supplemental	Language	dz	territories	BT	▷removed◁
Supplemental	Language	ee	territories-secondary	GH	▷removed◁
Supplemental	Language	ee	territories-secondary	TG	▷removed◁
Supplemental	Language	efi	territories-secondary	NG	▷removed◁
Supplemental	Language	el	territories	CY	▷removed◁
Supplemental	Language	el	territories	GR	▷removed◁
Supplemental	Language	en	territories	AG	▷removed◁
Supplemental	Language	en	territories	AI	▷removed◁
Supplemental	Language	en	territories	AS	▷removed◁
Supplemental	Language	en	territories	AU	▷removed◁
Supplemental	Language	en	territories	BB	▷removed◁
Supplemental	Language	en	territories	BI	▷removed◁
Supplemental	Language	en	territories	BM	▷removed◁
Supplemental	Language	en	territories	BS	▷removed◁
Supplemental	Language	en	territories	BW	▷removed◁
Supplemental	Language	en	territories	BZ	▷removed◁
Supplemental	Language	en	territories	CA	▷removed◁
Supplemental	Language	en	territories	CC	▷removed◁
Supplemental	Language	en	territories	CK	▷removed◁
Supplemental	Language	en	territories	CM	▷removed◁
Supplemental	Language	en	territories	CQ	▷removed◁
Supplemental	Language	en	territories	CX	▷removed◁
Supplemental	Language	en	territories	DG	▷removed◁
Supplemental	Language	en	territories	DM	▷removed◁
Supplemental	Language	en	territories	ER	▷removed◁
Supplemental	Language	en	territories	FJ	▷removed◁
Supplemental	Language	en	territories	FK	▷removed◁
Supplemental	Language	en	territories	FM	▷removed◁
Supplemental	Language	en	territories	GB	▷removed◁
Supplemental	Language	en	territories	GD	▷removed◁
Supplemental	Language	en	territories	GG	▷removed◁
Supplemental	Language	en	territories	GH	▷removed◁
Supplemental	Language	en	territories	GI	▷removed◁
Supplemental	Language	en	territories	GM	▷removed◁
Supplemental	Language	en	territories	GS	▷removed◁
Supplemental	Language	en	territories	GU	▷removed◁
Supplemental	Language	en	territories	GY	▷removed◁
Supplemental	Language	en	territories	HK	▷removed◁
Supplemental	Language	en	territories	IE	▷removed◁
Supplemental	Language	en	territories	IM	▷removed◁
Supplemental	Language	en	territories	IN	▷removed◁
Supplemental	Language	en	territories	IO	▷removed◁
Supplemental	Language	en	territories	JE	▷removed◁
Supplemental	Language	en	territories	JM	▷removed◁
Supplemental	Language	en	territories	KE	▷removed◁
Supplemental	Language	en	territories	KI	▷removed◁
Supplemental	Language	en	territories	KN	▷removed◁
Supplemental	Language	en	territories	KY	▷removed◁
Supplemental	Language	en	territories	LC	▷removed◁
Supplemental	Language	en	territories	LR	▷removed◁
Supplemental	Language	en	territories	LS	▷removed◁
Supplemental	Language	en	territories	MG	▷removed◁
