Locale	TC	Core	Unc	Miss	Basic	Unc	Miss	Moder	Unc	Miss	Modern	Unc	Miss	Total	Unc	Miss
hr	TC	4	0	0	66	0	0	2689	0	1	8349	0	118	11108	0	119
hsb		4	0	0	65	0	0	2839	0	1	7602	0	55	10510	0	56
hu	TC	4	0	0	65	0	0	2501	0	1	7417	0	94	9987	0	95
hy	TC	4	0	0	65	0	0	2482	0	1	7384	0	97	9935	0	98
id	TC	4	0	0	65	0	0	2361	0	1	5926	0	32	8356	0	33
ig	TC	4	0	0	65	0	0	2253	0	1	5857	0	38	8179	0	39
is	TC	4	0	0	65	0	0	2481	0	1	7346	0	91	9896	0	92
it	TC	4	0	0	68	0	0	2486	0	1	6681	0	44	9239	0	45
ja	TC	4	0	0	65	0	0	2804	0	1	6200	0	32	9073	0	33
jv	TC	4	0	0	65	0	0	2320	0	11	5883	0	43	8272	0	54
ka	TC	4	0	0	65	0	0	2479	0	1	6113	0	43	8661	0	44
kk	TC	4	0	0	67	0	18	2477	0	79	6510	0	52	9058	0	149
km	TC	4	0	0	65	0	0	2282	0	10	5866	0	41	8217	0	51
kn	TC	4	0	0	65	0	0	2562	0	1	7668	0	105	10299	0	106
ko	TC	4	0	0	67	0	0	2456	0	1	6148	0	36	8675	0	37
kok	TC	4	0	0	75	0	0	2315	2	1	5861	0	41	8255	2	42
ky	TC	4	0	0	67	0	18	2474	0	3	6499	0	56	9044	0	77
lo	TC	4	0	0	65	0	0	2283	0	12	5859	0	42	8211	0	54
lt	TC	4	0	0	67	0	0	2902	0	1	10207	0	197	13180	0	198
lv	TC	4	0	0	65	0	0	2688	0	1	8643	0	139	11400	0	140
mk	TC	4	0	0	65	0	0	2490	0	1	6505	0	38	9064	0	39
ml	TC	4	0	0	65	0	0	2589	0	1	7256	0	41	9914	0	42
mn	TC	4	0	0	67	0	0	2559	0	6	6519	0	47	9149	0	53
mr	TC	4	0	0	74	0	0	2568	0	1	8179	0	133	10825	0	134
ms	TC	4	0	0	75	0	12	2430	0	4	5916	0	49	8425	0	65
my	TC	4	0	0	74	0	0	2284	0	1	5856	0	38	8218	0	39
ne	TC	4	0	0	75	0	0	2560	0	1	6506	0	41	9145	0	42
nl	TC	4	0	0	71	0	0	2478	0	1	6689	0	45	9242	0	46
nn	TC	4	0	0	65	0	0	2479	0	1	6931	0	46	9479	0	47
no	TC	4	0	0	65	0	0	2479	0	1	6930	0	58	9478	0	59
or	TC	4	0	0	65	0	0	2530	0	1	6485	0	42	9084	0	43
pa	TC	4	0	0	76	0	9	2641	0	2	6883	2	69	9604	2	80
pcm	TC	4	0	0	65	0	0	2440	1	3	5954	39	561	8463	40	564
pl	TC	4	0	0	67	0	0	2903	0	1	10515	0	104	13489	0	105
ps	TC	4	0	0	75	0	9	2592	0	2	6305	6	48	8976	6	59
pt	TC	4	0	0	80	0	0	2558	0	1	6688	0	48	9330	0	49
qu	TC	4	0	0	67	0	0	2237	0	1	5661	0	197	7969	0	198
ro	TC	4	0	0	66	0	0	2690	0	1	7641	0	74	10401	0	75
ru	TC	4	0	0	70	0	0	2872	0	1	11742	0	181	14688	0	182
sd	TC	4	0	0	67	0	27	2593	0	4	6542	0	62	9206	0	93
si	TC	4	0	0	65	0	0	2492	0	1	6522	0	44	9083	0	45
sk	TC	4	0	0	66	0	0	2898	0	1	10281	0	201	13249	0	202
sl	TC	4	0	0	65	0	0	2891	0	1	10263	0	202	13223	0	203
so	TC	4	0	0	68	0	0	2603	0	1	6548	1	43	9223	1	44
sq	TC	4	0	0	67	0	0	2564	0	1	6527	0	40	9162	0	41
sr	TC	4	0	0	69	0	0	2756	0	1	8374	0	117	11203	0	118
sr_Latn		4	0	0	69	0	0	2756	0	1	8374	0	117	11203	0	118
sv	TC	4	0	0	67	0	0	2490	0	1	6910	0	58	9471	0	59
sw	TC	4	0	0	69	0	0	2480	0	1	6515	0	43	9068	0	44
ta	TC	4	0	0	68	0	0	2740	0	1	7221	0	82	10033	0	83
te	TC	4	0	0	65	0	0	2561	0	1	6558	0	42	9188	0	43
th	TC	4	0	0	67	0	0	2316	0	12	5928	0	38	8315	0	50
tk	TC	4	0	0	67	0	18	2526	0	3	6525	4	56	9122	4	77
tr	TC	4	0	0	67	0	0	2581	0	1	6548	0	38	9200	0	39
uk	TC	4	0	0	65	0	0	2878	0	1	10291	0	199	13238	0	200
ur	TC	4	0	0	75	0	9	2635	0	2	6666	0	56	9380	0	67
uz	TC	4	0	0	77	0	9	2629	0	2	6524	0	50	9234	0	61
vi	TC	4	0	0	65	0	0	2284	0	1	6043	0	35	8396	0	36
yo	TC	4	0	0	66	0	0	2252	0	1	5854	0	46	8176	0	47
yue	TC	4	0	0	69	0	0	2378	0	1	5879	0	32	8330	0	33
yue_Hans		4	0	0	69	0	0	2378	0	1	5875	0	36	8326	0	37
zh	TC	4	0	0	75	0	0	2474	1	2	6065	1	52	8618	2	54
zh_Hant	TC	4	0	0	75	0	0	2480	1	1	6082	0	33	8641	1	34
zu	TC	4	0	0	65	0	0	2480	0	1	6511	0	70	9060	0	71
