# Section	Page	Header	Code	Old	New
#Section	Page	Header	Code	Old	New
BCP47	u_Extension	ca-islamic	_description	…	Hijri calendar
Supplemental	Units	Convert	fortnight-systems	▷missing◁	ussystem
Supplemental	Units	Convert	fun-systems	▷missing◁	jpsystem
Supplemental	Units	Convert	g-force-systems	▷missing◁	metric_adjacent
Supplemental	Units	Convert	gasoline-equivalent-systems	▷missing◁	ussystem
Supplemental	Units	Convert	gram-systems	…	… • prefixable • …
Supplemental	Units	Convert	gray-systems	▷missing◁	metric
Supplemental	Units	Convert	gray-systems	▷missing◁	prefixable
Supplemental	Units	Convert	gray-systems	▷missing◁	si
Supplemental	Units	Convert	hectare-systems	…	… • si_acceptable
Supplemental	Units	Convert	henry-systems	▷missing◁	metric
Supplemental	Units	Convert	henry-systems	▷missing◁	prefixable
Supplemental	Units	Convert	henry-systems	▷missing◁	si
Supplemental	Units	Convert	hertz-systems	…	… • prefixable • …
Supplemental	Units	Convert	hour-systems	…	metric_adjacent • prefixable • si_acceptable
Supplemental	Units	Convert	item-systems	…	metric_adjacent
Supplemental	Units	Convert	jo-jp-systems	▷missing◁	jpsystem
Supplemental	Units	Convert	joule-systems	…	… • prefixable • …
Supplemental	Units	Convert	karat-systems	▷missing◁	metric_adjacent
Supplemental	Units	Convert	katal-systems	▷missing◁	metric
Supplemental	Units	Convert	katal-systems	▷missing◁	si
Supplemental	Units	Convert	kelvin-systems	…	… • prefixable • …
Supplemental	Units	Convert	ken-systems	▷missing◁	jpsystem
Supplemental	Units	Convert	kilogram-force-systems	▷missing◁	metric_adjacent
Supplemental	Units	Convert	knot-systems	…	si_acceptable • …
Supplemental	Units	Convert	koku-systems	▷missing◁	jpsystem
Supplemental	Units	Convert	kosaji-systems	▷missing◁	jpsystem
Supplemental	Units	Convert	light-year-systems	▷missing◁	astronomical
Supplemental	Units	Convert	liter-systems	…	… • prefixable • si_acceptable
Supplemental	Units	Convert	lumen-systems	…	… • prefixable • …
Supplemental	Units	Convert	lux-systems	…	… • prefixable • …
Supplemental	Units	Convert	meter-systems	…	… • prefixable • …
Supplemental	Units	Convert	mile-scandinavian-systems	…	metric_adjacent
Supplemental	Units	Convert	minute-systems	…	metric_adjacent • prefixable • si_acceptable
Supplemental	Units	Convert	mole-systems	…	… • prefixable • …
Supplemental	Units	Convert	month-person-systems	▷missing◁	person_age
Supplemental	Units	Convert	month-systems	…	metric_adjacent
Supplemental	Units	Convert	nautical-mile-systems	…	si_acceptable • …
Supplemental	Units	Convert	newton-systems	…	… • prefixable • …
Supplemental	Units	Convert	ofglucose-systems	▷missing◁	metric_adjacent
Supplemental	Units	Convert	ohm-systems	…	… • prefixable • …
Supplemental	Units	Convert	osaji-systems	▷missing◁	jpsystem
Supplemental	Units	Convert	parsec-systems	▷missing◁	astronomical
Supplemental	Units	Convert	parsec-systems	▷missing◁	prefixable
Supplemental	Units	Convert	pascal-systems	…	… • prefixable • …
Supplemental	Units	Convert	percent-systems	…	metric_adjacent
Supplemental	Units	Convert	permille-systems	…	metric_adjacent
Supplemental	Units	Convert	permillion-systems	…	metric_adjacent
Supplemental	Units	Convert	permyriad-systems	…	metric_adjacent
Supplemental	Units	Convert	pint-imperial-systems	▷missing◁	uksystem
Supplemental	Units	Convert	pint-metric-systems	…	metric_adjacent
Supplemental	Units	Convert	pixel-systems	…	metric_adjacent • prefixable
Supplemental	Units	Convert	portion-systems	▷missing◁	metric_adjacent
Supplemental	Units	Convert	quarter-systems	…	metric_adjacent
Supplemental	Units	Convert	rankine-systems	▷missing◁	uksystem
Supplemental	Units	Convert	rankine-systems	▷missing◁	ussystem
Supplemental	Units	Convert	revolution-systems	…	metric_adjacent
Supplemental	Units	Convert	ri-jp-systems	▷missing◁	jpsystem
Supplemental	Units	Convert	rin-systems	▷missing◁	jpsystem
Supplemental	Units	Convert	rod-systems	▷missing◁	uksystem
Supplemental	Units	Convert	rod-systems	▷missing◁	ussystem
Supplemental	Units	Convert	sai-systems	▷missing◁	jpsystem
Supplemental	Units	Convert	se-jp-systems	▷missing◁	jpsystem
Supplemental	Units	Convert	second-systems	…	… • prefixable • …
Supplemental	Units	Convert	shaku-cloth-systems	▷missing◁	jpsystem
Supplemental	Units	Convert	shaku-length-systems	▷missing◁	jpsystem
Supplemental	Units	Convert	shaku-systems	▷missing◁	jpsystem
Supplemental	Units	Convert	siemens-systems	▷missing◁	metric
Supplemental	Units	Convert	siemens-systems	▷missing◁	prefixable
Supplemental	Units	Convert	siemens-systems	▷missing◁	si
Supplemental	Units	Convert	sievert-systems	▷missing◁	metric
Supplemental	Units	Convert	sievert-systems	▷missing◁	prefixable
Supplemental	Units	Convert	sievert-systems	▷missing◁	si
Supplemental	Units	Convert	slug-systems	▷missing◁	uksystem
Supplemental	Units	Convert	slug-systems	▷missing◁	ussystem
Supplemental	Units	Convert	solar-luminosity-systems	▷missing◁	astronomical
Supplemental	Units	Convert	solar-mass-systems	▷missing◁	astronomical
Supplemental	Units	Convert	solar-radius-systems	▷missing◁	astronomical
Supplemental	Units	Convert	steradian-systems	▷missing◁	metric
Supplemental	Units	Convert	steradian-systems	▷missing◁	si
Supplemental	Units	Convert	sun-systems	▷missing◁	jpsystem
Supplemental	Units	Convert	tesla-systems	▷missing◁	metric
Supplemental	Units	Convert	tesla-systems	▷missing◁	prefixable
Supplemental	Units	Convert	tesla-systems	▷missing◁	si
Supplemental	Units	Convert	to-jp-systems	▷missing◁	jpsystem
Supplemental	Units	Convert	tonne-systems	…	… • prefixable • si_acceptable
Supplemental	Units	Convert	volt-systems	…	… • prefixable • …
Supplemental	Units	Convert	watt-systems	…	… • prefixable • …
Supplemental	Units	Convert	weber-systems	▷missing◁	metric
Supplemental	Units	Convert	weber-systems	▷missing◁	prefixable
Supplemental	Units	Convert	weber-systems	▷missing◁	si
Supplemental	Units	Convert	week-person-systems	▷missing◁	person_age
Supplemental	Units	Convert	week-systems	…	metric_adjacent
Supplemental	Units	Convert	year-person-systems	▷missing◁	person_age
Supplemental	Units	Convert	year-systems	…	metric_adjacent • prefixable
Supplemental	Likely	Subtag	kxv	…	kxv_Latn_IN
Supplemental	Likely	Subtag	kxv_Deva	▷missing◁	kxv_Deva_IN
Supplemental	Likely	Subtag	kxv_Latn	kxv_Latn_IN	▷removed◁
Supplemental	Likely	Subtag	kxv_Orya	▷missing◁	kxv_Orya_IN
Supplemental	LanguageInfo	BJ/blo	populationPercent	▷missing◁	0.26
Supplemental	LanguageInfo	IN/kxv	populationPercent	▷missing◁	0.0029
Supplemental	LanguageInfo	TG/blo	populationPercent	▷missing◁	0.14
Supplemental	Plural	cardinal-blo	one	▷missing◁	n = 1 @integer 1 @decimal 1.0, 1.00, 1.000, 1.0000
Supplemental	Plural	cardinal-blo	other	▷missing◁	@integer 2~16, 100, 1000, 10000, 100000, 1000000, … @decimal 2.0~2.5, 10.0, 100.0, 1000.0, 10000.0, 100000.0, 1000000.0, …
Supplemental	Plural	cardinal-blo	zero	▷missing◁	n = 0 @integer 0 @decimal 0.0, 0.00, 0.000, 0.0000
Supplemental	Plural	ordinal-blo	few	▷missing◁	i = 2,3,4,5,6 @integer 2~6
Supplemental	Plural	ordinal-blo	one	▷missing◁	i = 1 @integer 1
Supplemental	Plural	ordinal-blo	other	▷missing◁	@integer 7~19, 100, 1000, 10000, 100000, 1000000, …
Supplemental	Plural	ordinal-blo	zero	▷missing◁	i = 0 @integer 0
Supplemental	Language	blo	scripts	▷missing◁	Latn
Supplemental	Language	blo	territories	▷missing◁	BJ
Supplemental	Language	blo	territories	▷missing◁	TG
Supplemental	Language	kxv	scripts	▷missing◁	Latn
Supplemental	Language	kxv	scripts-secondary	▷missing◁	Deva
Supplemental	Language	kxv	scripts-secondary	▷missing◁	Orya
Supplemental	Language	kxv	scripts-secondary	▷missing◁	Telu
Supplemental	DayPeriod	blo	afternoon1-before	▷missing◁	16:00
Supplemental	DayPeriod	blo	afternoon1-from	▷missing◁	12:00
Supplemental	DayPeriod	blo	afternoon2-before	▷missing◁	20:00
Supplemental	DayPeriod	blo	afternoon2-from	▷missing◁	16:00
Supplemental	DayPeriod	blo	evening1-before	▷missing◁	24:00
Supplemental	DayPeriod	blo	evening1-from	▷missing◁	20:00
Supplemental	DayPeriod	blo	morning1-before	▷missing◁	07:00
Supplemental	DayPeriod	blo	morning1-from	▷missing◁	04:00
Supplemental	DayPeriod	blo	morning2-before	▷missing◁	12:00
Supplemental	DayPeriod	blo	morning2-from	▷missing◁	07:00
Supplemental	DayPeriod	blo	night1-before	▷missing◁	04:00
Supplemental	DayPeriod	blo	night1-from	▷missing◁	00:00
Supplemental	DayPeriod	selection-blo	afternoon1-before	▷missing◁	16:00
Supplemental	DayPeriod	selection-blo	afternoon1-from	▷missing◁	12:00
Supplemental	DayPeriod	selection-blo	afternoon2-before	▷missing◁	20:00
Supplemental	DayPeriod	selection-blo	afternoon2-from	▷missing◁	16:00
Supplemental	DayPeriod	selection-blo	evening1-before	▷missing◁	24:00
Supplemental	DayPeriod	selection-blo	evening1-from	▷missing◁	20:00
Supplemental	DayPeriod	selection-blo	morning1-before	▷missing◁	07:00
Supplemental	DayPeriod	selection-blo	morning1-from	▷missing◁	04:00
Supplemental	DayPeriod	selection-blo	morning2-before	▷missing◁	12:00
Supplemental	DayPeriod	selection-blo	morning2-from	▷missing◁	07:00
Supplemental	DayPeriod	selection-blo	night1-before	▷missing◁	04:00
Supplemental	DayPeriod	selection-blo	night1-from	▷missing◁	00:00
#Section	Page	Header	Code	Old	New
Supplemental	Transform	am_Ethi↔︎am_Brai	tRule	…	… • $ራብዕ = ⠁ ; # 1 • … • $አ = $ግዕዝ ; $ኡ = $ካዕብ ; $ኢ = $ሣልስ ; $ኣ = $ራብዕ ; $ኤ = $ኃምስ ; $እ = ⠷ ; $ኦ = $ሳብዕ ; $ኧ = ⠨ ; # $ⶊ = $ሳምን ; • … • $ዐ = $ግዕዝ ; $ዑ = $ካዕብ ; $ዒ = $ሣልስ ; $ዓ = $ራብዕ ; $ዔ = $ኃምስ ; $ዕ = ⠳ ; $ዖ = $ሳብዕ ; • … • $ዘመደ_ራብዕ = ⠭ ; • … • ሃ ↔ $ሀ $ራብዕ ; # ETHIOPIC SYLLABLE HAA • … • ላ ↔ $ለ $ራብዕ ; # ETHIOPIC SYLLABLE LAA • … • ሏ ↔ $ለ $ዘመደ_ራብዕ ; # ETHIOPIC SYLLABLE LWA • … • ሓ → $ሐ $ራብዕ ; # ETHIOPIC SYLLABLE HHAA • … • ሗ → $ሐ $ዘመደ_ራብዕ ; # ETHIOPIC SYLLABLE HWA • … • ማ ↔ $መ $ራብዕ ; # ETHIOPIC SYLLABLE MAA • … • ሟ ↔ $መ $ዘመደ_ራብዕ ; # ETHIOPIC SYLLABLE MWA • … • ሣ → $ሠ $ራብዕ ; # ETHIOPIC SYLLABLE SZAA • … • ሧ → $ሠ $ዘመደ_ራብዕ ; # ETHIOPIC SYLLABLE SZWA • … • ራ ↔ $ረ $ራብዕ ; # ETHIOPIC SYLLABLE RAA • … • ሯ ↔ $ረ $ዘመደ_ራብዕ ; # ETHIOPIC SYLLABLE RWA • … • ሳ ↔ $ሰ $ራብዕ ; # ETHIOPIC SYLLABLE SAA • … • ሷ ↔ $ሰ $ዘመደ_ራብዕ ; # ETHIOPIC SYLLABLE SWA • … • ሻ ↔ $ሸ $ራብዕ ; # ETHIOPIC SYLLABLE SHAA • … • ሿ ↔ $ሸ $ዘመደ_ራብዕ ; # ETHIOPIC SYLLABLE SHWA • … • ቃ ↔ $ቀ $ራብዕ ; # ETHIOPIC SYLLABLE QAA • … • ቋ ↔ $ቀ $ዘመደ_ራብዕ ; # ETHIOPIC SYLLABLE QWAA • … • ባ ↔ $በ $ራብዕ ; # ETHIOPIC SYLLABLE BAA • … • ቧ ↔ $በ $ዘመደ_ራብዕ ; # ETHIOPIC SYLLABLE BWA • … • ቫ ↔ $ቨ $ራብዕ ; # ETHIOPIC SYLLABLE VAA • … • ቯ ↔ $ቨ $ዘመደ_ራብዕ ; # ETHIOPIC SYLLABLE VWA • … • ታ ↔ $ተ $ራብዕ ; # ETHIOPIC SYLLABLE TAA • … • ቷ ↔ $ተ $ዘመደ_ራብዕ ; # ETHIOPIC SYLLABLE TWA • … • ቻ ↔ $ቸ $ራብዕ ; # ETHIOPIC SYLLABLE CAA • … • ቿ ↔ $ቸ $ዘመደ_ራብዕ ; # ETHIOPIC SYLLABLE CWA • … • ኃ → $ኀ $ራብዕ ; # ETHIOPIC SYLLABLE XAA • … • ኋ ↔ $ኀ $ዘመደ_ራብዕ ; # ETHIOPIC SYLLABLE XWAA • … • ና ↔ $ነ $ራብዕ ; # ETHIOPIC SYLLABLE NAA • … • ኗ ↔ $ነ $ዘመደ_ራብዕ ; # ETHIOPIC SYLLABLE NWA • … • ኛ ↔ $ኘ $ራብዕ ; # ETHIOPIC SYLLABLE NYAA • … • ኟ ↔ $ኘ $ዘመደ_ራብዕ ; # ETHIOPIC SYLLABLE NYWA • … • ኣ ↔ $እ $ራብዕ ; # ETHIOPIC SYLLABLE GLOTTAL AA • … • ካ ↔ $ከ $ራብዕ ; # ETHIOPIC SYLLABLE KAA • … • ኳ ↔ $ከ $ዘመደ_ራብዕ ; # ETHIOPIC SYLLABLE KWAA • … • ኻ ↔ $ኸ $ራብዕ ; # ETHIOPIC SYLLABLE KXAA • … • ዃ ↔ $ኸ $ዘመደ_ራብዕ ; # ETHIOPIC SYLLABLE KXWAA • … • ዋ ↔ $ወ $ራብዕ ; # ETHIOPIC SYLLABLE WAA • … • ዓ ↔ $ዕ $ራብዕ ; # ETHIOPIC SYLLABLE PHARYNGEAL AA • … • ዛ ↔ $ዘ $ራብዕ ; # ETHIOPIC SYLLABLE ZAA • … • ዟ ↔ $ዘ $ዘመደ_ራብዕ ; # ETHIOPIC SYLLABLE ZWA • … • ዣ ↔ $ዠ $ራብዕ ; # ETHIOPIC SYLLABLE ZHAA • … • ዧ ↔ $ዠ $ዘመደ_ራብዕ ; # ETHIOPIC SYLLABLE ZHWA • … • ያ ↔ $የ $ራብዕ ; # ETHIOPIC SYLLABLE YAA • … • ዳ ↔ $ደ $ራብዕ ; # ETHIOPIC SYLLABLE DAA • … • ዷ ↔ $ደ $ዘመደ_ራብዕ ; # ETHIOPIC SYLLABLE DWA • … • ጃ ↔ $ጀ $ራብዕ ; # ETHIOPIC SYLLABLE JAA • … • ጇ ↔ $ጀ $ዘመደ_ራብዕ ; # ETHIOPIC SYLLABLE JWA • … • ጋ ↔ $ገ $ራብዕ ; # ETHIOPIC SYLLABLE GAA • … • ጓ ↔ $ገ $ዘመደ_ራብዕ ; # ETHIOPIC SYLLABLE GWAA • … • ጣ ↔ $ጠ $ራብዕ ; # ETHIOPIC SYLLABLE THAA • … • ጧ ↔ $ጠ $ዘመደ_ራብዕ ; # ETHIOPIC SYLLABLE THWA • … • ጫ ↔ $ጨ $ራብዕ ; # ETHIOPIC SYLLABLE CHAA • … • ጯ ↔ $ጨ $ዘመደ_ራብዕ ; # ETHIOPIC SYLLABLE CHWA • … • ጳ ↔ $ጰ $ራብዕ ; # ETHIOPIC SYLLABLE PHAA • … • ጷ ↔ $ጰ $ዘመደ_ራብዕ ; # ETHIOPIC SYLLABLE PHWA • … • ጻ ↔ $ጸ $ራብዕ ; # ETHIOPIC SYLLABLE TSAA • … • ጿ ↔ $ጸ $ዘመደ_ራብዕ ; # ETHIOPIC SYLLABLE TSWA • … • ፃ ↔ $ፀ $ራብዕ ; # ETHIOPIC SYLLABLE TZAA • … • ፋ ↔ $ፈ $ራብዕ ; # ETHIOPIC SYLLABLE FAA • … • ፏ ↔ $ፈ $ዘመደ_ራብዕ ; # ETHIOPIC SYLLABLE FWA • … • ፓ ↔ $ፐ $ራብዕ ; # ETHIOPIC SYLLABLE PAA • … • ፗ ↔ $ፐ $ዘመደ_ራብዕ ; # ETHIOPIC SYLLABLE PWA • …
