#Locale	Prov.	Unconf.	Missing	Path*
agq	1	0	0	//ldml/dates/timeZoneNames/hourFormat
agq	1	0	0	//ldml/dates/timeZoneNames/metazone[@type='*']/long/standard
agq	1	0	0	//ldml/dates/timeZoneNames/regionFormat
agq	2	0	0	//ldml/dates/timeZoneNames/regionFormat[@type='*']
agq	3	0	0	//ldml/localeDisplayNames/codePatterns/codePattern[@type='*']
agq	1	0	0	//ldml/localeDisplayNames/localeDisplayPattern/localePattern
agq	1	0	0	//ldml/localeDisplayNames/localeDisplayPattern/localeSeparator
agq	3	0	0	//ldml/localeDisplayNames/measurementSystemNames/measurementSystemName[@type='*']
agq	1	0	0	//ldml/localeDisplayNames/scripts/script[@type='*']
agq	1	0	0	//ldml/numbers/scientificFormats[@numberSystem='*']/scientificFormatLength/scientificFormat[@type='*']/pattern[@type='*']
agq	1	0	0	//ldml/numbers/symbols[@numberSystem='*']/minusSign
agq	1	0	0	//ldml/numbers/symbols[@numberSystem='*']/percentSign
agq	1	0	0	//ldml/numbers/symbols[@numberSystem='*']/plusSign
agq	24	0	0	Totals
				
ak	4	0	0	//ldml/dates/calendars/calendar[@type='*']/dateTimeFormats/availableFormats/dateFormatItem[@id='*']
ak	1	0	0	//ldml/dates/calendars/calendar[@type='*']/dateTimeFormats/intervalFormats/intervalFormatFallback
ak	1	0	0	//ldml/dates/timeZoneNames/fallbackFormat
ak	1	0	0	//ldml/dates/timeZoneNames/gmtFormat
ak	1	0	0	//ldml/dates/timeZoneNames/gmtZeroFormat
ak	1	0	0	//ldml/dates/timeZoneNames/hourFormat
ak	1	0	0	//ldml/dates/timeZoneNames/metazone[@type='*']/long/standard
ak	1	0	0	//ldml/dates/timeZoneNames/regionFormat
ak	2	0	0	//ldml/dates/timeZoneNames/regionFormat[@type='*']
ak	3	0	0	//ldml/localeDisplayNames/codePatterns/codePattern[@type='*']
ak	1	0	0	//ldml/localeDisplayNames/localeDisplayPattern/localePattern
ak	1	0	0	//ldml/localeDisplayNames/localeDisplayPattern/localeSeparator
ak	3	0	0	//ldml/localeDisplayNames/measurementSystemNames/measurementSystemName[@type='*']
ak	1	0	0	//ldml/localeDisplayNames/scripts/script[@type='*']
ak	1	0	0	//ldml/numbers/decimalFormats[@numberSystem='*']/decimalFormatLength/decimalFormat[@type='*']/pattern[@type='*']
ak	1	0	0	//ldml/numbers/percentFormats[@numberSystem='*']/percentFormatLength/percentFormat[@type='*']/pattern[@type='*']
ak	1	0	0	//ldml/numbers/scientificFormats[@numberSystem='*']/scientificFormatLength/scientificFormat[@type='*']/pattern[@type='*']
ak	1	0	0	//ldml/numbers/symbols[@numberSystem='*']/minusSign
ak	1	0	0	//ldml/numbers/symbols[@numberSystem='*']/percentSign
ak	1	0	0	//ldml/numbers/symbols[@numberSystem='*']/plusSign
ak	28	0	0	Totals
				
an	0	0	8	//ldml/dates/calendars/calendar[@type='*']/dateTimeFormats/availableFormats/dateFormatItem[@id='*']
an	0	0	1	//ldml/dates/calendars/calendar[@type='*']/dateTimeFormats/intervalFormats/intervalFormatFallback
an	0	0	2	//ldml/dates/calendars/calendar[@type='*']/dayPeriods/dayPeriodContext[@type='*']/dayPeriodWidth[@type='*']/dayPeriod[@type='*']
an	0	0	7	//ldml/dates/calendars/calendar[@type='*']/days/dayContext[@type='*']/dayWidth[@type='*']/day[@type='*']
an	0	0	12	//ldml/dates/calendars/calendar[@type='*']/months/monthContext[@type='*']/monthWidth[@type='*']/month[@type='*']
an	0	0	1	//ldml/dates/timeZoneNames/fallbackFormat
an	0	0	1	//ldml/dates/timeZoneNames/gmtFormat
an	0	0	1	//ldml/dates/timeZoneNames/gmtZeroFormat
an	0	0	1	//ldml/dates/timeZoneNames/hourFormat
an	0	0	1	//ldml/dates/timeZoneNames/metazone[@type='*']/long/standard
an	0	0	1	//ldml/dates/timeZoneNames/regionFormat
an	0	0	2	//ldml/dates/timeZoneNames/regionFormat[@type='*']
an	0	0	1	//ldml/delimiters/alternateQuotationEnd
an	0	0	1	//ldml/delimiters/alternateQuotationStart
an	0	0	1	//ldml/delimiters/quotationEnd
an	0	0	1	//ldml/delimiters/quotationStart
an	0	0	3	//ldml/localeDisplayNames/codePatterns/codePattern[@type='*']
an	0	0	1	//ldml/localeDisplayNames/languages/language[@type='*']
an	0	0	1	//ldml/localeDisplayNames/localeDisplayPattern/localePattern
an	0	0	1	//ldml/localeDisplayNames/localeDisplayPattern/localeSeparator
an	0	0	3	//ldml/localeDisplayNames/measurementSystemNames/measurementSystemName[@type='*']
