# Count	Section	Page	Subhead	Code

97	Currencies	Central Asia (C)	Central Asia: Kyrgyzstan	KGS-symbol-narrow
3	Miscellaneous	Person Name Formats	PersonName Sorting Patterns (Usage: referring)	short-informal
3	Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency
3	Units	Energy and Power	kilocalorie	narrow-one-nominative
3	Units	Energy and Power	kilocalorie	narrow-other-nominative
3	Units	Energy and Power	kilojoule	narrow-one-nominative
3	Units	Energy and Power	kilojoule	narrow-other-nominative
3	Units	Energy and Power	joule	narrow-one-nominative
3	Units	Energy and Power	joule	narrow-other-nominative
3	Units	Energy and Power	kilowatt-hour	narrow-one-nominative
3	Units	Energy and Power	kilowatt-hour	narrow-other-nominative
3	Units	Energy and Power	gigawatt	narrow-one-nominative
3	Units	Energy and Power	gigawatt	narrow-other-nominative
3	Units	Energy and Power	megawatt	narrow-one-nominative
3	Units	Energy and Power	megawatt	narrow-other-nominative
3	Units	Energy and Power	milliwatt	narrow-one-nominative
3	Units	Energy and Power	milliwatt	narrow-other-nominative
3	Units	Electrical and Frequency	ampere	narrow-one-nominative
3	Units	Electrical and Frequency	ampere	narrow-other-nominative
3	Units	Electrical and Frequency	milliampere	narrow-one-nominative
3	Units	Electrical and Frequency	milliampere	narrow-other-nominative
3	Units	Electrical and Frequency	ohm	narrow-one-nominative
3	Units	Electrical and Frequency	ohm	narrow-other-nominative
3	Units	Electrical and Frequency	volt	narrow-other-nominative
3	Units	Electrical and Frequency	gigahertz	narrow-other-nominative
3	Units	Electrical and Frequency	megahertz	narrow-other-nominative
3	Units	Electrical and Frequency	kilohertz	narrow-other-nominative
3	Units	Electrical and Frequency	hertz	narrow-other-nominative
3	Units	Weather	pascal	narrow-one-nominative
3	Units	Weather	pascal	narrow-other-nominative
3	Units	Weather	kelvin	narrow-one-nominative
3	Units	Weather	kelvin	narrow-other-nominative
3	Units	Digital	gigabit	narrow-one-nominative
3	Units	Digital	megabyte	narrow-one-nominative
3	Units	Digital	megabit	narrow-one-nominative
3	Units	Digital	kilobyte	narrow-other-nominative
3	Units	Digital	kilobit	narrow-other-nominative
3	Units	Digital	bit	narrow-one-nominative
3	Units	Other Units	millimole-per-liter	narrow-other-nominative
3	Units	Other Units	liter-per-kilometer	narrow-one-nominative
3	Units	Other Units	liter-per-kilometer	narrow-other-nominative
3	Units	Other Units	mile-per-gallon	narrow-one-nominative
3	Units	Other Units	mile-per-gallon	narrow-other-nominative
3	Units	Other Units	candela	narrow-one-nominative
3	Units	Other Units	candela	narrow-other-nominative
3	Units	Other Units	lumen	narrow-other-nominative
3	Date & Time	Gregorian	Formats - Standard - Date Formats	short
3	Units	Mass and Weight	ounce	narrow-other-nominative
3	Units	Weather	hectopascal	narrow-other-nominative
3	Units	Other Units	revolution	narrow-other-nominative
3	Units	Other Units	karat	narrow-other-nominative
3	Units	Other Units	milligram-ofglucose-per-deciliter	narrow-other-nominative
2	Numbers	Number Formatting Patterns	Standard Patterns 	standard-percent
2	Date & Time	Gregorian	Formats - Standard - Date Formats	full
2	Units	Duration	decade	narrow-one-nominative
2	Units	Duration	century	narrow-one-nominative
2	Units	Duration	century	narrow-other-nominative
2	Units	Duration	microsecond	narrow-one-nominative
2	Units	Duration	microsecond	narrow-other-nominative
2	Units	Area	square-centimeter	narrow-one-nominative
2	Units	Area	square-centimeter	narrow-other-nominative
2	Units	Volume	cubic-centimeter	narrow-one-nominative
2	Units	Volume	cubic-centimeter	narrow-other-nominative
2	Units	Volume	cubic-mile	narrow-one-nominative
2	Units	Volume	cubic-mile	narrow-other-nominative
2	Units	Volume	cubic-yard	narrow-other-nominative
2	Units	Volume	cubic-inch	narrow-one-nominative
2	Units	Length	centimeter	narrow-one-nominative
2	Units	Mass and Weight	pound	narrow-one-nominative
2	Units	Duration	month	narrow-other-nominative
2	Units	Length	parsec	narrow-one-nominative
2	Units	Length	parsec	narrow-other-nominative
2	Units	Length	light-year	narrow-few-nominative
2	Units	Length	light-year	narrow-many-nominative
2	Units	Length	light-year	narrow-other-nominative
2	Units	Length	astronomical-unit	narrow-few-nominative
2	Units	Length	astronomical-unit	narrow-many-nominative
2	Units	Length	furlong	narrow-few-nominative
2	Units	Length	furlong	narrow-many-nominative
2	Units	Volume	cup	narrow-few-nominative
2	Units	Volume	cup	narrow-many-nominative
2	Units	Speed and Acceleration	meter-per-square-second	narrow-one-nominative
2	Units	Speed and Acceleration	meter-per-square-second	narrow-other-nominative
2	Units	Speed and Acceleration	kilometer-per-hour	narrow-one-nominative
2	Units	Speed and Acceleration	kilometer-per-hour	narrow-few-nominative
2	Units	Speed and Acceleration	kilometer-per-hour	narrow-many-nominative
2	Units	Speed and Acceleration	meter-per-second	narrow-few-nominative
2	Units	Speed and Acceleration	meter-per-second	narrow-many-nominative
2	Units	Speed and Acceleration	mile-per-hour	narrow-few-nominative
2	Units	Speed and Acceleration	mile-per-hour	narrow-many-nominative
2	Units	Mass and Weight	tonne	narrow-one-nominative
2	Units	Mass and Weight	tonne	narrow-other-nominative
2	Currencies	Western Asia (C)	Western Asia: Türkiye	TRY-name
2	Miscellaneous	Person Name Formats	PersonName Main Patterns for Order: surnameFirst	medium-addressing-informal
2	Units	Energy and Power	kilowatt	narrow-one-nominative
2	Miscellaneous	Person Name Formats	PersonName Sorting Patterns (Usage: referring)	long-informal
2	Miscellaneous	Person Name Formats	PersonName Sorting Patterns (Usage: referring)	medium-informal
2	Units	Length	micrometer	narrow-one-nominative
2	Units	Length	micrometer	narrow-other-nominative
2	Units	Length	nanometer	narrow-one-nominative
2	Units	Length	nanometer	narrow-other-nominative
2	Units	Length	nautical-mile	narrow-one-nominative
2	Units	Length	nautical-mile	narrow-other-nominative
2	Units	Volume	bushel	narrow-one-nominative
2	Units	Volume	bushel	narrow-other-nominative
2	Units	Mass and Weight	earth-mass	narrow-one-nominative
2	Units	Mass and Weight	earth-mass	narrow-other-nominative
2	Units	Mass and Weight	solar-mass	narrow-one-nominative
2	Units	Mass and Weight	solar-mass	narrow-other-nominative
2	Units	Energy and Power	calorie	narrow-other-nominative
2	Units	Weather	millimeter-ofhg	narrow-one-nominative
2	Units	Weather	millimeter-ofhg	narrow-other-nominative
2	Units	Weather	pound-force-per-square-inch	narrow-other-nominative
2	Units	Digital	kilobyte	narrow-one-nominative
2	Units	Other Units	radian	narrow-one-nominative
2	Units	Other Units	radian	narrow-other-nominative
2	Units	Other Units	millimole-per-liter	narrow-one-nominative
2	Units	Other Units	lux	narrow-one-nominative
2	Units	Other Units	lux	narrow-other-nominative
2	Units	Other Units	lumen	narrow-one-nominative
2	Units	Digital	byte	narrow-other-nominative
2	Units	Other Units	degree	short-other-nominative
2	Units	Duration	quarter	narrow-other-nominative
2	Units	Length	millimeter	narrow-other-nominative
2	Units	Length	picometer	narrow-one-nominative
2	Units	Length	picometer	narrow-other-nominative
2	Units	Length	mile	narrow-one-nominative
2	Units	Length	mile	narrow-other-nominative
2	Units	Length	yard	narrow-one-nominative
2	Units	Area	square-meter	narrow-other-nominative
2	Units	Area	square-yard	narrow-one-nominative
2	Units	Area	square-inch	narrow-one-nominative
2	Units	Volume	acre-foot	narrow-other-nominative
2	Units	Volume	gallon	narrow-one-nominative
2	Units	Volume	gallon	narrow-other-nominative
2	Units	Volume	quart	narrow-one-nominative
2	Units	Volume	quart	narrow-other-nominative
2	Units	Volume	pint	narrow-one-nominative
2	Units	Volume	pint	narrow-other-nominative
2	Units	Mass and Weight	stone	narrow-other-nominative
2	Units	Mass and Weight	ounce-troy	narrow-one-nominative
2	Units	Mass and Weight	ounce-troy	narrow-other-nominative
2	Units	Energy and Power	watt	narrow-one-nominative
2	Units	Energy and Power	watt	narrow-other-nominative
2	Units	Energy and Power	horsepower	narrow-one-nominative
2	Units	Energy and Power	horsepower	narrow-other-nominative
2	Units	Weather	bar	narrow-one-nominative
2	Units	Weather	bar	narrow-other-nominative
2	Units	Weather	atmosphere	narrow-other-nominative
2	Units	Weather	hectopascal	narrow-one-nominative
2	Units	Weather	kilopascal	narrow-one-nominative
2	Units	Weather	kilopascal	narrow-other-nominative
2	Units	Other Units	revolution	narrow-one-nominative
2	Units	Other Units	karat	narrow-one-nominative
2	Units	Other Units	milligram-ofglucose-per-deciliter	narrow-one-nominative
2	Units	Mass and Weight	kilogram	narrow-other-nominative
2	Miscellaneous	Person Name Formats	PersonName Sorting Patterns (Usage: referring)	long-formal
2	Units	Other Units	mole	narrow-other-nominative
1	Locale Display Names	Territories (Africa)	Western Africa	CI
1	Units	Duration	minute	short-per
1	Units	Duration	minute	narrow-per
1	Date & Time	Gregorian	Formats - Standard - Time Formats	medium
1	Date & Time	Gregorian	Formats - Standard - Time Formats	short
1	Currencies	Western Africa	Western Africa: Sierra Leone	SLE-symbol
1	Units	Weather	celsius	short-one-nominative
1	Units	Weather	celsius	short-few-nominative
1	Units	Weather	celsius	short-other-nominative
1	Units	Weather	fahrenheit	short-one-nominative
1	Units	Weather	fahrenheit	short-few-nominative
1	Units	Weather	fahrenheit	short-other-nominative
1	Units	Weather	fahrenheit	narrow-few-nominative
1	Units	Duration	decade	narrow-other-nominative
1	Units	Duration	nanosecond	narrow-one-nominative
1	Units	Duration	nanosecond	narrow-other-nominative
1	Units	Volume	cubic-inch	narrow-other-nominative
1	Units	Other Units	kilowatt-hour-per-100-kilometer	narrow-displayName
1	Numbers	Number Formatting Patterns	Standard Patterns 	accounting-currency
1	Locale Display Names	Languages (K-N)	M	Makhuwa ► vmw
1	Locale Display Names	Languages (K-N)	M	Mi'kmaw ► mic
1	Date & Time	Gregorian	Formats - Standard - Date Formats	medium
1	Units	Weather	inch-ofhg	short-displayName
1	Units	Weather	inch-ofhg	short-one-nominative
1	Units	Weather	inch-ofhg	short-other-nominative
1	Date & Time	Gregorian	Day Periods - abbreviated - Standalone	am
1	Date & Time	Gregorian	Day Periods - abbreviated - Standalone	pm
1	Date & Time	Gregorian	Day Periods - narrow - Formatting	am
1	Date & Time	Gregorian	Day Periods - narrow - Formatting	pm
1	Date & Time	Gregorian	Day Periods - narrow - Standalone	am
1	Date & Time	Gregorian	Day Periods - narrow - Standalone	pm
1	Units	Mass and Weight	kilogram	narrow-one-nominative
1	Units	Weather	generic	long-one-nominative
1	Units	Weather	generic	long-other-nominative
1	Units	Weather	generic	short-one-nominative
1	Units	Weather	generic	short-other-nominative
1	Units	Weather	generic	narrow-one-nominative
1	Units	Weather	generic	narrow-other-nominative
1	Units	Length	meter	narrow-one-nominative
1	Units	Length	meter	narrow-other-nominative
1	Units	Compound Units	power2	long-one-nominative-dgender
1	Units	Compound Units	power2	long-other-nominative-dgender
1	Units	Mass and Weight	tonne	long-one-nominative
1	Units	Mass and Weight	tonne	long-other-nominative
1	Units	Energy and Power	foodcalorie	short-one-nominative
1	Units	Energy and Power	foodcalorie	short-other-nominative
1	Units	Weather	millimeter-ofhg	narrow-displayName
1	Units	Duration	hour	narrow-one-nominative
1	Units	Duration	hour	narrow-two-nominative
1	Units	Duration	hour	narrow-few-nominative
1	Units	Duration	hour	narrow-many-nominative
1	Units	Duration	hour	narrow-other-nominative
1	Units	Duration	millisecond	narrow-one-nominative
1	Units	Duration	millisecond	narrow-two-nominative
1	Units	Duration	millisecond	narrow-few-nominative
1	Units	Duration	millisecond	narrow-many-nominative
1	Units	Duration	millisecond	narrow-other-nominative
1	Units	Length	parsec	narrow-two-nominative
1	Units	Length	parsec	narrow-few-nominative
1	Units	Length	parsec	narrow-many-nominative
1	Units	Length	light-year	narrow-two-nominative
1	Units	Length	astronomical-unit	narrow-two-nominative
1	Units	Length	furlong	narrow-two-nominative
1	Units	Volume	cup	narrow-two-nominative
1	Units	Speed and Acceleration	meter-per-square-second	narrow-two-nominative
1	Units	Speed and Acceleration	meter-per-square-second	narrow-few-nominative
1	Units	Speed and Acceleration	meter-per-square-second	narrow-many-nominative
1	Units	Speed and Acceleration	kilometer-per-hour	narrow-two-nominative
1	Units	Speed and Acceleration	meter-per-second	narrow-two-nominative
1	Units	Speed and Acceleration	mile-per-hour	narrow-two-nominative
1	Miscellaneous	Person Name Formats	SampleName Fields for Item: foreignFull	credentials
1	Currencies	Western Africa	Western Africa: Nigeria	NGN-name-other
1	Units	Duration	month	narrow-one-nominative
1	Units	Compound Units	10p-6	short
1	Units	Compound Units	10p-9	narrow
1	Units	Compound Units	10p-9	short
1	Units	Compound Units	10p6	narrow
1	Units	Compound Units	10p6	short
1	Units	Compound Units	10p12	narrow
1	Units	Compound Units	10p12	short
1	Units	Compound Units	10p15	narrow
1	Units	Compound Units	10p15	short
1	Numbers	Symbols	Grouping Control	Minimum Grouping Digits
1	Currencies	Western Asia (C)	Western Asia: Türkiye	TRY-name-other
1	Miscellaneous	Person Name Formats	PersonName Main Patterns for Order: surnameFirst	long-addressing-formal
1	Miscellaneous	Person Name Formats	PersonName Main Patterns for Order: surnameFirst	long-addressing-informal
1	Miscellaneous	Person Name Formats	PersonName Main Patterns for Order: surnameFirst	medium-addressing-formal
1	Numbers	Symbols	Symbols 	decimal
1	Numbers	Symbols	Symbols 	group
1	Core Data	Alphabetic Information	Characters in Use	Main Letters
1	Locale Display Names	Geographic Regions	Americas	013
1	Locale Display Names	Geographic Regions	Africa	017
1	Miscellaneous	Displaying Lists	Unit List	2
1	Miscellaneous	Displaying Lists	Short Unit List	start
1	Miscellaneous	Displaying Lists	Short Unit List	middle
1	Miscellaneous	Person Name Formats	PersonName Monogram Patterns for Order: givenFirst	long-formal
1	Miscellaneous	Person Name Formats	PersonName Monogram Patterns for Order: surnameFirst	long-formal
1	Units	Length	mile-scandinavian	narrow-one-nominative
1	Units	Length	mile-scandinavian	narrow-other-nominative
1	Units	Length	point	narrow-one-nominative
1	Units	Length	point	narrow-other-nominative
1	Units	Length	solar-radius	narrow-one-nominative
1	Units	Length	solar-radius	narrow-other-nominative
1	Units	Weather	pound-force-per-square-inch	narrow-one-nominative
1	Units	Other Units	permillion	narrow-one-nominative
1	Units	Other Units	permillion	narrow-other-nominative
1	Units	Other Units	pound-force-foot	narrow-one-nominative
1	Miscellaneous	Person Name Formats	AuxiliaryItems	pattern-initialSequence
1	Miscellaneous	Person Name Formats	PersonName Main Patterns for Order: givenFirst	short-referring-formal
1	Units	Other Units	solar-luminosity	narrow-other-nominative
1	Units	Other Units	degree	short-one-nominative
1	Units	Other Units	degree	narrow-one-nominative
1	Units	Other Units	degree	narrow-other-nominative
1	Units	Other Units	liter-per-100-kilometer	narrow-displayName
1	Timezones	Timezone Display Patterns	null	GMT Format
1	Date & Time	Fields	Date Fields	weekdayOfMonth-short
1	Date & Time	Gregorian	Formats - Flexible - Date Formats	MMMEd
1	Units	Duration	quarter	narrow-one-nominative
1	Units	Duration	quarter	narrow-few-nominative
1	Units	Duration	quarter	narrow-many-nominative
1	Units	Graphics	dot	narrow-few-nominative
1	Units	Graphics	dot	narrow-many-nominative
1	Units	Graphics	dot-per-centimeter	narrow-few-nominative
1	Units	Graphics	dot-per-centimeter	narrow-many-nominative
1	Units	Graphics	dot-per-inch	narrow-few-nominative
1	Units	Graphics	dot-per-inch	narrow-many-nominative
1	Units	Graphics	em	narrow-few-nominative
1	Units	Graphics	em	narrow-many-nominative
1	Units	Graphics	pixel-per-centimeter	narrow-few-nominative
1	Units	Graphics	pixel-per-centimeter	narrow-many-nominative
1	Units	Graphics	pixel-per-inch	narrow-few-nominative
1	Units	Graphics	pixel-per-inch	narrow-many-nominative
1	Units	Length	earth-radius	narrow-few-nominative
1	Units	Length	earth-radius	narrow-many-nominative
1	Units	Length	kilometer	narrow-few-nominative
1	Units	Length	kilometer	narrow-many-nominative
1	Units	Length	kilometer	narrow-other-nominative
1	Units	Length	centimeter	narrow-few-nominative
1	Units	Length	centimeter	narrow-many-nominative
1	Units	Length	centimeter	narrow-other-nominative
1	Units	Length	millimeter	narrow-few-nominative
1	Units	Length	millimeter	narrow-many-nominative
1	Units	Length	picometer	narrow-few-nominative
1	Units	Length	picometer	narrow-many-nominative
1	Units	Length	mile	narrow-few-nominative
1	Units	Length	mile	narrow-many-nominative
1	Units	Length	foot	narrow-one-nominative
1	Units	Length	foot	narrow-few-nominative
1	Units	Length	foot	narrow-many-nominative
1	Units	Length	foot	narrow-other-nominative
1	Units	Length	light-year	narrow-one-nominative
1	Units	Length	fathom	narrow-few-nominative
1	Units	Length	fathom	narrow-many-nominative
1	Units	Length	nautical-mile	narrow-few-nominative
1	Units	Length	nautical-mile	narrow-many-nominative
1	Units	Area	square-kilometer	narrow-few-nominative
1	Units	Area	square-kilometer	narrow-many-nominative
1	Units	Area	square-meter	narrow-one-nominative
1	Units	Area	square-meter	narrow-few-nominative
1	Units	Area	square-meter	narrow-many-nominative
1	Units	Area	square-centimeter	narrow-few-nominative
1	Units	Area	square-centimeter	narrow-many-nominative
1	Units	Area	square-mile	narrow-one-nominative
1	Units	Area	square-mile	narrow-few-nominative
1	Units	Area	square-mile	narrow-many-nominative
1	Units	Area	square-mile	narrow-other-nominative
1	Units	Area	acre	narrow-one-nominative
1	Units	Area	acre	narrow-few-nominative
1	Units	Area	acre	narrow-many-nominative
1	Units	Area	acre	narrow-other-nominative
1	Units	Area	square-foot	narrow-one-nominative
1	Units	Area	square-foot	narrow-few-nominative
1	Units	Area	square-foot	narrow-many-nominative
1	Units	Area	square-foot	narrow-other-nominative
1	Units	Volume	cubic-kilometer	narrow-few-nominative
1	Units	Volume	cubic-kilometer	narrow-many-nominative
1	Units	Volume	cubic-meter	narrow-few-nominative
1	Units	Volume	cubic-meter	narrow-many-nominative
1	Units	Volume	cubic-centimeter	narrow-few-nominative
1	Units	Volume	cubic-centimeter	narrow-many-nominative
1	Units	Volume	cubic-foot	narrow-few-nominative
1	Units	Volume	cubic-foot	narrow-many-nominative
1	Units	Volume	megaliter	narrow-few-nominative
1	Units	Volume	megaliter	narrow-many-nominative
1	Units	Volume	hectoliter	narrow-few-nominative
1	Units	Volume	hectoliter	narrow-many-nominative
1	Units	Volume	deciliter	narrow-few-nominative
1	Units	Volume	deciliter	narrow-many-nominative
1	Units	Volume	centiliter	narrow-few-nominative
1	Units	Volume	centiliter	narrow-many-nominative
1	Units	Volume	milliliter	narrow-few-nominative
1	Units	Volume	milliliter	narrow-many-nominative
1	Units	Volume	pint-metric	narrow-few-nominative
1	Units	Volume	pint-metric	narrow-many-nominative
1	Units	Volume	cup-metric	narrow-few-nominative
1	Units	Volume	cup-metric	narrow-many-nominative
1	Units	Volume	acre-foot	narrow-few-nominative
1	Units	Volume	acre-foot	narrow-many-nominative
1	Units	Volume	gallon	narrow-few-nominative
1	Units	Volume	gallon	narrow-many-nominative
1	Units	Volume	gallon-imperial	narrow-one-nominative
1	Units	Volume	gallon-imperial	narrow-few-nominative
1	Units	Volume	gallon-imperial	narrow-many-nominative
1	Units	Volume	gallon-imperial	narrow-other-nominative
1	Units	Volume	quart	narrow-few-nominative
1	Units	Volume	quart	narrow-many-nominative
1	Units	Volume	pint	narrow-few-nominative
1	Units	Volume	pint	narrow-many-nominative
1	Units	Volume	fluid-ounce-imperial	narrow-one-nominative
1	Units	Volume	fluid-ounce-imperial	narrow-few-nominative
1	Units	Volume	fluid-ounce-imperial	narrow-many-nominative
1	Units	Volume	fluid-ounce-imperial	narrow-other-nominative
1	Units	Volume	teaspoon	narrow-one-nominative
1	Units	Volume	teaspoon	narrow-few-nominative
1	Units	Volume	teaspoon	narrow-many-nominative
1	Units	Volume	teaspoon	narrow-other-nominative
1	Units	Volume	drop	narrow-one-nominative
1	Units	Volume	drop	narrow-few-nominative
1	Units	Volume	drop	narrow-many-nominative
1	Units	Volume	drop	narrow-other-nominative
1	Units	Volume	dram	narrow-one-nominative
1	Units	Volume	dram	narrow-few-nominative
1	Units	Volume	dram	narrow-many-nominative
1	Units	Volume	dram	narrow-other-nominative
1	Units	Volume	jigger	narrow-one-nominative
1	Units	Volume	jigger	narrow-few-nominative
1	Units	Volume	jigger	narrow-many-nominative
1	Units	Volume	jigger	narrow-other-nominative
1	Units	Volume	pinch	narrow-one-nominative
1	Units	Volume	pinch	narrow-few-nominative
1	Units	Volume	pinch	narrow-many-nominative
1	Units	Volume	pinch	narrow-other-nominative
1	Units	Speed and Acceleration	knot	narrow-one-nominative
1	Units	Speed and Acceleration	knot	narrow-few-nominative
1	Units	Speed and Acceleration	knot	narrow-many-nominative
1	Units	Speed and Acceleration	knot	narrow-other-nominative
1	Units	Mass and Weight	stone	narrow-one-nominative
1	Units	Mass and Weight	stone	narrow-few-nominative
1	Units	Mass and Weight	stone	narrow-many-nominative
1	Units	Mass and Weight	pound	narrow-few-nominative
1	Units	Mass and Weight	pound	narrow-many-nominative
1	Units	Mass and Weight	pound	narrow-other-nominative
1	Units	Mass and Weight	ounce	narrow-few-nominative
1	Units	Mass and Weight	ounce	narrow-many-nominative
1	Units	Mass and Weight	ounce-troy	narrow-few-nominative
1	Units	Mass and Weight	ounce-troy	narrow-many-nominative
1	Units	Mass and Weight	grain	narrow-one-nominative
1	Units	Mass and Weight	grain	narrow-few-nominative
1	Units	Mass and Weight	grain	narrow-many-nominative
1	Units	Mass and Weight	grain	narrow-other-nominative
1	Units	Energy and Power	kilocalorie	narrow-few-nominative
1	Units	Energy and Power	kilocalorie	narrow-many-nominative
1	Units	Energy and Power	calorie	narrow-few-nominative
1	Units	Energy and Power	calorie	narrow-many-nominative
1	Units	Energy and Power	foodcalorie	narrow-few-nominative
1	Units	Energy and Power	foodcalorie	narrow-many-nominative
1	Units	Energy and Power	kilojoule	narrow-few-nominative
1	Units	Energy and Power	kilojoule	narrow-many-nominative
1	Units	Energy and Power	joule	narrow-few-nominative
1	Units	Energy and Power	joule	narrow-many-nominative
1	Units	Energy and Power	kilowatt-hour	narrow-few-nominative
1	Units	Energy and Power	kilowatt-hour	narrow-many-nominative
1	Units	Energy and Power	therm-us	narrow-one-nominative
1	Units	Energy and Power	therm-us	narrow-few-nominative
1	Units	Energy and Power	therm-us	narrow-many-nominative
1	Units	Energy and Power	therm-us	narrow-other-nominative
1	Units	Energy and Power	gigawatt	narrow-few-nominative
1	Units	Energy and Power	gigawatt	narrow-many-nominative
