# Count	Section	Page	Subhead	Code

80	Currencies	Western Africa	Western Africa: Côte d’Ivoire	XOF-symbol
2	Units	Energy and Power	watt	narrow-other-nominative
2	Units	Weather	millimeter-ofhg	short-displayName
2	Units	Weather	millimeter-ofhg	short-one-nominative
2	Units	Weather	millimeter-ofhg	short-other-nominative
2	Units	Weather	millibar	narrow-one-nominative
2	Units	Weather	millibar	narrow-other-nominative
2	Units	Weather	hectopascal	narrow-one-nominative
2	Units	Weather	hectopascal	narrow-other-nominative
2	Units	Weather	celsius	short-one-nominative
2	Units	Weather	celsius	short-other-nominative
2	Units	Weather	fahrenheit	short-one-nominative
2	Units	Weather	fahrenheit	short-other-nominative
2	Units	Coordinates	north	short
2	Units	Coordinates	south	short
2	Units	Other Units	percent	short-one-nominative
2	Units	Other Units	percent	short-other-nominative
2	Units	Other Units	percent	narrow-one-nominative
2	Units	Other Units	percent	narrow-other-nominative
2	Units	Other Units	permille	short-one-nominative
2	Units	Other Units	permille	short-other-nominative
2	Units	Other Units	permyriad	short-one-nominative
2	Units	Other Units	permyriad	short-other-nominative
1	Numbers	Compact Decimal Formatting	Short Currency 	10-digits-short-one
1	Numbers	Compact Decimal Formatting	Short Currency 	10-digits-short-few
1	Numbers	Compact Decimal Formatting	Short Currency 	10-digits-short-many
1	Numbers	Compact Decimal Formatting	Short Currency 	10-digits-short-other
1	Locale Display Names	Languages (O-S)	R	Root ► root
1	Locale Display Names	Geographic Regions	world	001
1	Miscellaneous	Minimal Pairs	Plural	two
1	Numbers	Symbols	Symbols 	approximatelySign
1	Numbers	Compact Decimal Formatting	Short Currency 	4-digits-short-one
1	Numbers	Compact Decimal Formatting	Short Currency 	4-digits-short-other
1	Numbers	Compact Decimal Formatting	Short Currency 	5-digits-short-one
1	Numbers	Compact Decimal Formatting	Short Currency 	5-digits-short-other
1	Numbers	Compact Decimal Formatting	Short Currency 	6-digits-short-one
1	Numbers	Compact Decimal Formatting	Short Currency 	6-digits-short-other
1	Date & Time	Gregorian	Formats - Intervals - Date Formats	GyM/G
1	Date & Time	Gregorian	Formats - Intervals - Date Formats	GyM/y
1	Date & Time	Gregorian	Formats - Intervals - Date Formats	GyMMMd/G
1	Locale Display Names	Languages (K-N)	N	Norwegian Nynorsk ► nn
1	Date & Time	Gregorian	Formats - Standard - Time Formats	full
1	Numbers	Number Formatting Patterns	Standard Patterns 	standard-currency
1	Numbers	Number Formatting Patterns	Standard Patterns 	accounting-currency
1	Currencies	Northern/Western Europe	Northern Europe: United Kingdom	GBP-symbol
1	Units	Duration	month	narrow-one-nominative
1	Units	Duration	month	narrow-other-nominative
1	Units	Volume	pint	short-one-nominative
1	Locale Display Names	Languages (K-N)	N	Norwegian ► no
1	Locale Display Names	Territories (Europe)	Northern Europe	SJ
1	Date & Time	Gregorian	Formats - Intervals - Date Formats	Bh/B
1	Date & Time	Gregorian	Formats - Intervals - Date Formats	Bhm/B
1	Date & Time	Gregorian	Formats - Intervals - 12 Hour Time Formats	h/a
1	Date & Time	Gregorian	Formats - Intervals - 12 Hour Time Formats	hm/a
1	Date & Time	Gregorian	Formats - Intervals - 12 Hour Time Formats	hmv/a
1	Date & Time	Gregorian	Formats - Intervals - 12 Hour Time Formats	hv/a
1	Date & Time	Gregorian	Formats - Intervals - Fallback	Fallback
1	Date & Time	Generic	Formats - Intervals - Date Formats	Bh/B
1	Date & Time	Generic	Formats - Intervals - Date Formats	Bhm/B
1	Date & Time	Generic	Formats - Intervals - Fallback	Fallback
1	Date & Time	Buddhist	Formats - Intervals - Date Formats	h/a
1	Date & Time	Buddhist	Formats - Intervals - Date Formats	hv/a
1	Date & Time	Buddhist	Formats - Intervals - Fallback	Fallback
1	Date & Time	Chinese	Formats - Intervals - Date Formats	h/a
1	Date & Time	Chinese	Formats - Intervals - Date Formats	hm/a
1	Date & Time	Chinese	Formats - Intervals - Date Formats	hmv/a
1	Date & Time	Chinese	Formats - Intervals - Date Formats	hv/a
1	Date & Time	Chinese	Formats - Intervals - Fallback	Fallback
1	Date & Time	Coptic	Formats - Intervals - Date Formats	h/a
1	Date & Time	Coptic	Formats - Intervals - Date Formats	hv/a
1	Date & Time	Coptic	Formats - Intervals - Fallback	Fallback
1	Date & Time	Dangi	Formats - Intervals - Date Formats	h/a
1	Date & Time	Dangi	Formats - Intervals - Date Formats	hv/a
1	Date & Time	Dangi	Formats - Intervals - Fallback	Fallback
1	Date & Time	Ethiopic	Formats - Intervals - Date Formats	h/a
1	Date & Time	Ethiopic	Formats - Intervals - Date Formats	hv/a
1	Date & Time	Ethiopic	Formats - Intervals - Fallback	Fallback
1	Date & Time	Hebrew	Formats - Intervals - Date Formats	h/a
1	Date & Time	Hebrew	Formats - Intervals - Date Formats	hv/a
1	Date & Time	Hebrew	Formats - Intervals - Fallback	Fallback
1	Date & Time	Indian	Formats - Intervals - Date Formats	h/a
1	Date & Time	Indian	Formats - Intervals - Date Formats	hv/a
1	Date & Time	Indian	Formats - Intervals - Fallback	Fallback
1	Date & Time	Islamic	Formats - Intervals - Date Formats	h/a
1	Date & Time	Islamic	Formats - Intervals - Date Formats	hv/a
1	Date & Time	Islamic	Formats - Intervals - Fallback	Fallback
1	Date & Time	Japanese	Formats - Intervals - Date Formats	h/a
1	Date & Time	Japanese	Formats - Intervals - Date Formats	hv/a
1	Date & Time	Japanese	Formats - Intervals - Fallback	Fallback
1	Date & Time	Persian	Formats - Intervals - Date Formats	h/a
1	Date & Time	Persian	Formats - Intervals - Date Formats	hv/a
1	Date & Time	Persian	Formats - Intervals - Fallback	Fallback
1	Date & Time	Minguo	Formats - Intervals - Date Formats	h/a
1	Date & Time	Minguo	Formats - Intervals - Date Formats	hv/a
1	Date & Time	Minguo	Formats - Intervals - Fallback	Fallback
1	Numbers	Symbols	Symbols using Arabic-Indic Digits (arab)	group
1	Numbers	Number Formatting Patterns	Standard Patterns using Arabic-Indic Digits (arab)	standard-currency
1	Numbers	Number Formatting Patterns	Standard Patterns using Arabic-Indic Digits (arab)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Balinese Digits (bali)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Bangla Digits (beng)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Brahmi Digits (brah)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Chakma Digits (cakm)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Cham Digits (cham)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Chinese Decimal Numerals (hanidec)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Devanagari Digits (deva)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Extended Arabic-Indic Digits (arabext)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Full-Width Digits (fullwide)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Gujarati Digits (gujr)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Gurmukhi Digits (guru)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Javanese Digits (java)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Kannada Digits (knda)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Kayah Li Digits (kali)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Khmer Digits (khmr)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Lao Digits (laoo)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Lepcha Digits (lepc)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Limbu Digits (limb)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Malayalam Digits (mlym)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Meetei Mayek Digits (mtei)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Mongolian Digits (mong)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Myanmar Digits (mymr)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Myanmar Shan Digits (mymrshan)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using N’Ko Digits (nkoo)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using New Tai Lue Digits (talu)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Odia Digits (orya)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Ol Chiki Digits (olck)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Osmanya Digits (osma)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Saurashtra Digits (saur)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Sharada Digits (shrd)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Sora Sompeng Digits (sora)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Sundanese Digits (sund)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Tai Tham Hora Digits (lana)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Tai Tham Tham Digits (lanatham)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Takri Digits (takr)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Tamil Digits (tamldec)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Telugu Digits (telu)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Thai Digits (thai)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Tibetan Digits (tibt)	standard-percent
1	Numbers	Number Formatting Patterns	Standard Patterns using Vai Digits (vaii)	standard-percent
1	Numbers	Number Formatting Patterns	Miscellaneous Patterns 	atLeast
1	Numbers	Number Formatting Patterns	Miscellaneous Patterns 	atMost
1	Currencies	Southern/Eastern Europe	Eastern Europe: Romania	RON-symbol-narrow
1	Currencies	Western Asia (C)	Western Asia: Georgia	GEL-symbol-variant
1	Currencies	Eastern Asia (C)	Eastern Asia: Taiwan	TWD-symbol-narrow
1	Currencies	Unknown Region (C)	Unknown Region: XXX	XXX-symbol
1	Units	Length	nanometer	narrow-one-nominative
1	Units	Length	nanometer	narrow-other-nominative
1	Units	Length	parsec	narrow-one-nominative
1	Units	Length	parsec	narrow-other-nominative
1	Units	Length	astronomical-unit	narrow-one-nominative
1	Units	Length	astronomical-unit	narrow-other-nominative
1	Units	Length	nautical-mile	narrow-one-nominative
1	Units	Length	nautical-mile	narrow-other-nominative
1	Units	Length	point	narrow-one-nominative
1	Units	Length	point	narrow-other-nominative
1	Units	Area	square-centimeter	narrow-one-nominative
1	Units	Area	square-centimeter	narrow-other-nominative
1	Units	Volume	cubic-meter	narrow-one-nominative
1	Units	Volume	cubic-meter	narrow-other-nominative
1	Units	Volume	cubic-centimeter	narrow-one-nominative
1	Units	Volume	cubic-centimeter	narrow-other-nominative
1	Units	Volume	megaliter	narrow-one-nominative
1	Units	Volume	megaliter	narrow-other-nominative
1	Units	Volume	hectoliter	narrow-one-nominative
1	Units	Volume	hectoliter	narrow-other-nominative
1	Units	Volume	deciliter	narrow-one-nominative
1	Units	Volume	deciliter	narrow-other-nominative
1	Units	Volume	centiliter	narrow-one-nominative
1	Units	Volume	centiliter	narrow-other-nominative
1	Units	Volume	milliliter	narrow-one-nominative
1	Units	Volume	milliliter	narrow-other-nominative
1	Units	Speed and Acceleration	meter-per-square-second	narrow-one-nominative
1	Units	Speed and Acceleration	meter-per-square-second	narrow-other-nominative
1	Units	Speed and Acceleration	knot	narrow-one-nominative
1	Units	Speed and Acceleration	knot	narrow-other-nominative
1	Units	Mass and Weight	metric-ton	narrow-one-nominative
1	Units	Mass and Weight	metric-ton	narrow-other-nominative
1	Units	Mass and Weight	milligram	narrow-one-nominative
1	Units	Mass and Weight	milligram	narrow-other-nominative
1	Units	Weather	millimeter-ofhg	narrow-one-nominative
1	Units	Weather	millimeter-ofhg	narrow-other-nominative
1	Units	Weather	pound-force-per-square-inch	narrow-one-nominative
1	Units	Weather	pound-force-per-square-inch	narrow-other-nominative
1	Units	Weather	celsius	narrow-one-nominative
1	Units	Weather	celsius	narrow-other-nominative
1	Units	Weather	kelvin	narrow-one-nominative
1	Units	Weather	kelvin	narrow-other-nominative
1	Units	Other Units	radian	narrow-one-nominative
1	Units	Other Units	radian	narrow-other-nominative
1	Units	Other Units	millimole-per-liter	narrow-one-nominative
1	Units	Other Units	millimole-per-liter	narrow-other-nominative
1	Units	Other Units	liter-per-kilometer	narrow-one-nominative
1	Units	Other Units	liter-per-kilometer	narrow-other-nominative
1	Units	Other Units	lux	narrow-one-nominative
1	Units	Other Units	lux	narrow-other-nominative
1	Units	Compound Units	times	narrow
1	Units	Compound Units	times	short
1	Date & Time	Fields	Date Fields	weekdayOfMonth-short
1	Date & Time	Fields	Date Fields	weekdayOfMonth-narrow
1	Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	full
1	Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	medium
