#LCode	English Name	Script	Locale Level	Path Level	STStatus	Bailey	Section	Page	Header	Code	ST Link
ff	Fulah	Latin	moderate	basic	n/a	{0}, {1}	Locale Display Names	Locale Name Patterns	Locale Formatting	localeSeparator	http://st.unicode.org/cldr-apps/v#/ff//1d142c4be7841aa7
ff	Fulah	Latin	moderate	moderate	n/a	{0}: {1}	Locale Display Names	Locale Name Patterns	Locale Formatting	localeKeyTypePattern	http://st.unicode.org/cldr-apps/v#/ff//38d08336cae10c4e
ff	Fulah	Latin	moderate	moderate	n/a	bas	Locale Display Names	Languages (A-D)	B	Basaa ► bas	http://st.unicode.org/cldr-apps/v#/ff//363b4a1231433e8e
ff	Fulah	Latin	moderate	moderate	n/a	ewo	Locale Display Names	Languages (E-J)	E	Ewondo ► ewo	http://st.unicode.org/cldr-apps/v#/ff//6ca47d28c298307c
ff	Fulah	Latin	moderate	moderate	n/a	ibb	Locale Display Names	Languages (E-J)	I	Ibibio ► ibb	http://st.unicode.org/cldr-apps/v#/ff//d7c3188e470750b
ff	Fulah	Latin	moderate	moderate	n/a	kkj	Locale Display Names	Languages (K-N)	K	Kako ► kkj	http://st.unicode.org/cldr-apps/v#/ff//6fc8fec9b8eb4953
ff	Fulah	Latin	moderate	moderate	n/a	kr	Locale Display Names	Languages (K-N)	K	Kanuri ► kr	http://st.unicode.org/cldr-apps/v#/ff//32291b0b154b4c32
ff	Fulah	Latin	moderate	moderate	n/a	nnh	Locale Display Names	Languages (K-N)	N	Ngiemboon ► nnh	http://st.unicode.org/cldr-apps/v#/ff//31aaa5e94dfaf0c2
ff	Fulah	Latin	moderate	moderate	n/a	und	Locale Display Names	Languages (T-Z)	U	Unknown language ► und	http://st.unicode.org/cldr-apps/v#/ff//59146e1e75957ebd
ff	Fulah	Latin	moderate	moderate	n/a	yav	Locale Display Names	Languages (T-Z)	Y	Yangben ► yav	http://st.unicode.org/cldr-apps/v#/ff//7bdb5846c29ba0e5
ff	Fulah	Latin	moderate	moderate	n/a	ybb	Locale Display Names	Languages (T-Z)	Y	Yemba ► ybb	http://st.unicode.org/cldr-apps/v#/ff//67873290c471c6a9
ff	Fulah	Latin	moderate	moderate	n/a	Sinuwaare	Locale Display Names	Languages (A-D)	C	Chinese ► zh-menu	http://st.unicode.org/cldr-apps/v#/ff//89bfbc46185de05
ff	Fulah	Latin	moderate	basic	n/a	Adlm	Locale Display Names	Scripts	Limited Use	Adlm	http://st.unicode.org/cldr-apps/v#/ff//7a5a90a8ed3fccff
ff	Fulah	Latin	moderate	moderate	n/a	Arab	Locale Display Names	Scripts	Major Use	Arab	http://st.unicode.org/cldr-apps/v#/ff//43bc64aec1f67a39
ff	Fulah	Latin	moderate	moderate	n/a	Cyrl	Locale Display Names	Scripts	Major Use	Cyrl	http://st.unicode.org/cldr-apps/v#/ff//675285b903b0a31e
ff	Fulah	Latin	moderate	moderate	n/a	Hans	Locale Display Names	Scripts	Major Use	Hans	http://st.unicode.org/cldr-apps/v#/ff//3317b1f428d9a7de
ff	Fulah	Latin	moderate	moderate	n/a	Hans	Locale Display Names	Scripts	Major Use	Hans-stand-alone	http://st.unicode.org/cldr-apps/v#/ff//3e09bd64b9258f95
ff	Fulah	Latin	moderate	moderate	n/a	Hant	Locale Display Names	Scripts	Major Use	Hant	http://st.unicode.org/cldr-apps/v#/ff//348f813d4317c787
ff	Fulah	Latin	moderate	moderate	n/a	Hant	Locale Display Names	Scripts	Major Use	Hant-stand-alone	http://st.unicode.org/cldr-apps/v#/ff//c7ba7ecc11cef38
ff	Fulah	Latin	moderate	moderate	n/a	Jpan	Locale Display Names	Scripts	Major Use	Jpan	http://st.unicode.org/cldr-apps/v#/ff//208fc14cfe29dcd5
ff	Fulah	Latin	moderate	moderate	n/a	Kore	Locale Display Names	Scripts	Major Use	Kore	http://st.unicode.org/cldr-apps/v#/ff//5ca7fb139403ed04
ff	Fulah	Latin	moderate	basic	n/a	Latn	Locale Display Names	Scripts	Major Use	Latn	http://st.unicode.org/cldr-apps/v#/ff//18889bc27cffd398
ff	Fulah	Latin	moderate	moderate	n/a	Zxxx	Locale Display Names	Scripts	Other	Zxxx	http://st.unicode.org/cldr-apps/v#/ff//44d4d43894cfbd45
ff	Fulah	Latin	moderate	moderate	n/a	Zzzz	Locale Display Names	Scripts	Other	Zzzz	http://st.unicode.org/cldr-apps/v#/ff//27889b2297aa7a3e
ff	Fulah	Latin	moderate	moderate	n/a	001	Locale Display Names	Geographic Regions	world	001	http://st.unicode.org/cldr-apps/v#/ff//73c7c09de32184
ff	Fulah	Latin	moderate	moderate	n/a	002	Locale Display Names	Geographic Regions	world	002	http://st.unicode.org/cldr-apps/v#/ff//25538b4f03554ced
ff	Fulah	Latin	moderate	moderate	n/a	003	Locale Display Names	Geographic Regions	Americas	003	http://st.unicode.org/cldr-apps/v#/ff//3385cfb5af9860ba
ff	Fulah	Latin	moderate	moderate	n/a	005	Locale Display Names	Geographic Regions	Americas	005	http://st.unicode.org/cldr-apps/v#/ff//7c6bf12717deeab0
ff	Fulah	Latin	moderate	moderate	n/a	009	Locale Display Names	Geographic Regions	world	009	http://st.unicode.org/cldr-apps/v#/ff//5d44a1b5bb973168
ff	Fulah	Latin	moderate	moderate	n/a	011	Locale Display Names	Geographic Regions	Africa	011	http://st.unicode.org/cldr-apps/v#/ff//66dc1ae3b86bb330
ff	Fulah	Latin	moderate	moderate	n/a	013	Locale Display Names	Geographic Regions	Americas	013	http://st.unicode.org/cldr-apps/v#/ff//7aa2ed68a4777eb8
ff	Fulah	Latin	moderate	moderate	n/a	014	Locale Display Names	Geographic Regions	Africa	014	http://st.unicode.org/cldr-apps/v#/ff//6fbc2ccec1a38893
ff	Fulah	Latin	moderate	moderate	n/a	015	Locale Display Names	Geographic Regions	Africa	015	http://st.unicode.org/cldr-apps/v#/ff//65cde7bc97c7c872
ff	Fulah	Latin	moderate	moderate	n/a	017	Locale Display Names	Geographic Regions	Africa	017	http://st.unicode.org/cldr-apps/v#/ff//119e60bb01e278ac
ff	Fulah	Latin	moderate	moderate	n/a	018	Locale Display Names	Geographic Regions	Africa	018	http://st.unicode.org/cldr-apps/v#/ff//5eb638708843df9e
ff	Fulah	Latin	moderate	moderate	n/a	019	Locale Display Names	Geographic Regions	world	019	http://st.unicode.org/cldr-apps/v#/ff//37fbba7f5f8ef4ee
ff	Fulah	Latin	moderate	moderate	n/a	021	Locale Display Names	Geographic Regions	Americas	021	http://st.unicode.org/cldr-apps/v#/ff//5a1f396e1b41abd6
ff	Fulah	Latin	moderate	moderate	n/a	029	Locale Display Names	Geographic Regions	Americas	029	http://st.unicode.org/cldr-apps/v#/ff//5a2edc39055cc8f3
ff	Fulah	Latin	moderate	moderate	n/a	030	Locale Display Names	Geographic Regions	Asia	030	http://st.unicode.org/cldr-apps/v#/ff//590a530e9ec135c6
ff	Fulah	Latin	moderate	moderate	n/a	034	Locale Display Names	Geographic Regions	Asia	034	http://st.unicode.org/cldr-apps/v#/ff//11f90491237ab9d5
ff	Fulah	Latin	moderate	moderate	n/a	035	Locale Display Names	Geographic Regions	Asia	035	http://st.unicode.org/cldr-apps/v#/ff//70b17b749a01305d
ff	Fulah	Latin	moderate	moderate	n/a	039	Locale Display Names	Geographic Regions	Europe	039	http://st.unicode.org/cldr-apps/v#/ff//b0afbfecb702d9e
ff	Fulah	Latin	moderate	moderate	n/a	053	Locale Display Names	Geographic Regions	Oceania	053	http://st.unicode.org/cldr-apps/v#/ff//70021c39f9b9bd17
ff	Fulah	Latin	moderate	moderate	n/a	054	Locale Display Names	Geographic Regions	Oceania	054	http://st.unicode.org/cldr-apps/v#/ff//71f0fa33c213a645
ff	Fulah	Latin	moderate	moderate	n/a	057	Locale Display Names	Geographic Regions	Oceania	057	http://st.unicode.org/cldr-apps/v#/ff//fe9015c6c61370
ff	Fulah	Latin	moderate	moderate	n/a	061	Locale Display Names	Geographic Regions	Oceania	061	http://st.unicode.org/cldr-apps/v#/ff//3c15f12b68fc8c43
ff	Fulah	Latin	moderate	moderate	n/a	142	Locale Display Names	Geographic Regions	world	142	http://st.unicode.org/cldr-apps/v#/ff//2a268cef33b4b542
ff	Fulah	Latin	moderate	moderate	n/a	143	Locale Display Names	Geographic Regions	Asia	143	http://st.unicode.org/cldr-apps/v#/ff//285f65701a1ed7de
ff	Fulah	Latin	moderate	moderate	n/a	145	Locale Display Names	Geographic Regions	Asia	145	http://st.unicode.org/cldr-apps/v#/ff//4a65aebb0634d64e
ff	Fulah	Latin	moderate	moderate	n/a	150	Locale Display Names	Geographic Regions	world	150	http://st.unicode.org/cldr-apps/v#/ff//5cfb1873d2bc4b69
ff	Fulah	Latin	moderate	moderate	n/a	151	Locale Display Names	Geographic Regions	Europe	151	http://st.unicode.org/cldr-apps/v#/ff//58cf6d39e70a926d
ff	Fulah	Latin	moderate	moderate	n/a	154	Locale Display Names	Geographic Regions	Europe	154	http://st.unicode.org/cldr-apps/v#/ff//60ecf7abf11b10e2
ff	Fulah	Latin	moderate	moderate	n/a	155	Locale Display Names	Geographic Regions	Europe	155	http://st.unicode.org/cldr-apps/v#/ff//76a275045850c7f
ff	Fulah	Latin	moderate	moderate	n/a	202	Locale Display Names	Geographic Regions	Africa	202	http://st.unicode.org/cldr-apps/v#/ff//1a1f6994f748b028
ff	Fulah	Latin	moderate	moderate	n/a	419	Locale Display Names	Geographic Regions	Americas	419	http://st.unicode.org/cldr-apps/v#/ff//5e310043c0d71ffa
ff	Fulah	Latin	moderate	moderate	n/a	AC	Locale Display Names	Territories (Oceania)	Outlying Oceania	AC	http://st.unicode.org/cldr-apps/v#/ff//2fe313c2c0414383
ff	Fulah	Latin	moderate	moderate	n/a	AQ	Locale Display Names	Territories (Oceania)	Outlying Oceania	AQ	http://st.unicode.org/cldr-apps/v#/ff//1bea491039b4adee
ff	Fulah	Latin	moderate	moderate	n/a	AX	Locale Display Names	Territories (Europe)	Northern Europe	AX	http://st.unicode.org/cldr-apps/v#/ff//11982fa4b26d9bf1
ff	Fulah	Latin	moderate	moderate	n/a	BL	Locale Display Names	Territories (North America)	Caribbean	BL	http://st.unicode.org/cldr-apps/v#/ff//2b7fbaf424cb5e9c
ff	Fulah	Latin	moderate	moderate	n/a	BQ	Locale Display Names	Territories (North America)	Caribbean	BQ	http://st.unicode.org/cldr-apps/v#/ff//4f2e846ab6651af1
ff	Fulah	Latin	moderate	moderate	n/a	BV	Locale Display Names	Territories (South America)	South America	BV	http://st.unicode.org/cldr-apps/v#/ff//37583b3169581a0c
ff	Fulah	Latin	moderate	moderate	n/a	CC	Locale Display Names	Territories (Oceania)	Australasia	CC	http://st.unicode.org/cldr-apps/v#/ff//3a408fc6b1e6fa2b
ff	Fulah	Latin	moderate	moderate	n/a	CP	Locale Display Names	Territories (Oceania)	Outlying Oceania	CP	http://st.unicode.org/cldr-apps/v#/ff//3a1007894ec238bd
ff	Fulah	Latin	moderate	moderate	n/a	CW	Locale Display Names	Territories (North America)	Caribbean	CW	http://st.unicode.org/cldr-apps/v#/ff//5b13f20128d41dda
ff	Fulah	Latin	moderate	moderate	n/a	CX	Locale Display Names	Territories (Oceania)	Australasia	CX	http://st.unicode.org/cldr-apps/v#/ff//1e74a94234d8bfb7
ff	Fulah	Latin	moderate	moderate	n/a	DG	Locale Display Names	Territories (Oceania)	Outlying Oceania	DG	http://st.unicode.org/cldr-apps/v#/ff//7d55a8a4f6a9af8c
ff	Fulah	Latin	moderate	moderate	n/a	EA	Locale Display Names	Territories (Africa)	Northern Africa	EA	http://st.unicode.org/cldr-apps/v#/ff//54126f0aeb96f822
ff	Fulah	Latin	moderate	moderate	n/a	EH	Locale Display Names	Territories (Africa)	Northern Africa	EH	http://st.unicode.org/cldr-apps/v#/ff//24f44553fed9f5b0
ff	Fulah	Latin	moderate	moderate	n/a	EU	Locale Display Names	Geographic Regions	world	EU	http://st.unicode.org/cldr-apps/v#/ff//7820e588bec64aa9
ff	Fulah	Latin	moderate	moderate	n/a	EZ	Locale Display Names	Geographic Regions	world	EZ	http://st.unicode.org/cldr-apps/v#/ff//3c303192f3c233be
ff	Fulah	Latin	moderate	moderate	n/a	FO	Locale Display Names	Territories (Europe)	Northern Europe	FO	http://st.unicode.org/cldr-apps/v#/ff//7b228694fa28a36
ff	Fulah	Latin	moderate	moderate	n/a	GG	Locale Display Names	Territories (Europe)	Northern Europe	GG	http://st.unicode.org/cldr-apps/v#/ff//3eb7457598f6df9a
ff	Fulah	Latin	moderate	moderate	n/a	GS	Locale Display Names	Territories (South America)	South America	GS	http://st.unicode.org/cldr-apps/v#/ff//69c4f62f89eb9a3e
ff	Fulah	Latin	moderate	moderate	n/a	HK	Locale Display Names	Territories (Asia)	Eastern Asia	HK	http://st.unicode.org/cldr-apps/v#/ff//11999515fe992c9c
ff	Fulah	Latin	moderate	moderate	n/a	HM	Locale Display Names	Territories (Oceania)	Australasia	HM	http://st.unicode.org/cldr-apps/v#/ff//136260adbfeb06fe
ff	Fulah	Latin	moderate	moderate	n/a	IC	Locale Display Names	Territories (Africa)	Northern Africa	IC	http://st.unicode.org/cldr-apps/v#/ff//748eed1770dfcba3
ff	Fulah	Latin	moderate	moderate	n/a	IM	Locale Display Names	Territories (Europe)	Northern Europe	IM	http://st.unicode.org/cldr-apps/v#/ff//231740350ff1f183
ff	Fulah	Latin	moderate	moderate	n/a	JE	Locale Display Names	Territories (Europe)	Northern Europe	JE	http://st.unicode.org/cldr-apps/v#/ff//152656c092c42fa9
ff	Fulah	Latin	moderate	moderate	n/a	ME	Locale Display Names	Territories (Europe)	Southern Europe	ME	http://st.unicode.org/cldr-apps/v#/ff//1d07e8d5ef86067
ff	Fulah	Latin	moderate	moderate	n/a	MF	Locale Display Names	Territories (North America)	Caribbean	MF	http://st.unicode.org/cldr-apps/v#/ff//57b4c0d6f50a801b
ff	Fulah	Latin	moderate	moderate	n/a	MK	Locale Display Names	Territories (Europe)	Southern Europe	MK	http://st.unicode.org/cldr-apps/v#/ff//216cb1286c47a733
