# Section	Page	Header	Code	Locale	Old	New	Level
#Section	Page	Header	Code	Locale	Old	New	Level
Currencies	Western Asia (C)	Western Asia: Qatar	QAR-name-one	en	Qatari rial	Qatari riyal	moderate
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: long-monogram	formal-givenFirst	en	▷missing◁	{given-initial-allCaps}{given2-initial-allCaps}{surname-initial-allCaps}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: long-monogram	formal-surnameFirst	en	▷missing◁	{surname-initial-allCaps}{given-initial-allCaps}{given2-initial-allCaps}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: long-monogram	formal-sorting	en	▷missing◁	{surname-initial-allCaps}{given-initial-allCaps}{given2-initial-allCaps}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: long-monogram	informal-givenFirst	en	▷missing◁	{given-informal-initial-allCaps}{surname-initial-allCaps}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: long-monogram	informal-surnameFirst	en	▷missing◁	{surname-initial-allCaps}{given-informal-initial-allCaps}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: long-monogram	informal-sorting	en	▷missing◁	{surname-initial-allCaps}{given-informal-initial-allCaps}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: medium-referring	formal-givenFirst	en	▷missing◁	{given} {given2-initial} {surname} {suffix}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: medium-referring	formal-surnameFirst	en	▷missing◁	{surname} {given} {given2-initial} {suffix}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: medium-referring	formal-sorting	en	▷missing◁	{surname}, {given} {given2-initial} {suffix}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: medium-referring	informal-givenFirst	en	▷missing◁	{given-informal} {surname}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: medium-referring	informal-surnameFirst	en	▷missing◁	{surname} {given-informal}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: medium-referring	informal-sorting	en	▷missing◁	{surname}, {given-informal}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: medium-addressing	formal-givenFirst	en	▷missing◁	{prefix} {surname}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: medium-addressing	formal-surnameFirst	en	▷missing◁	{prefix} {surname}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: medium-addressing	formal-sorting	en	▷missing◁	{surname}, {given} {given2-initial} {suffix}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: medium-addressing	informal-givenFirst	en	▷missing◁	{given-informal}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: medium-addressing	informal-surnameFirst	en	▷missing◁	{given-informal}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: medium-addressing	informal-sorting	en	▷missing◁	{surname}, {given-informal}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: medium-monogram	formal-givenFirst	en	▷missing◁	{surname-initial-allCaps}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: medium-monogram	formal-surnameFirst	en	▷missing◁	{surname-initial-allCaps}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: medium-monogram	formal-sorting	en	▷missing◁	{surname-initial-allCaps}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: medium-monogram	informal-givenFirst	en	▷missing◁	{given-informal-initial-allCaps}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: medium-monogram	informal-surnameFirst	en	▷missing◁	{given-informal-initial-allCaps}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: medium-monogram	informal-sorting	en	▷missing◁	{given-informal-initial-allCaps}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: short-referring	formal-givenFirst	en	▷missing◁	{given-initial} {given2-initial} {surname}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: short-referring	formal-surnameFirst	en	▷missing◁	{surname} {given-initial} {given2-initial}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: short-referring	formal-sorting	en	▷missing◁	{surname}, {given-initial} {given2-initial}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: short-referring	informal-givenFirst	en	▷missing◁	{given-informal} {surname-initial}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: short-referring	informal-surnameFirst	en	▷missing◁	{surname} {given-initial}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: short-referring	informal-sorting	en	▷missing◁	{surname}, {given-informal}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: short-addressing	formal-givenFirst	en	▷missing◁	{prefix} {surname}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: short-addressing	formal-surnameFirst	en	▷missing◁	{prefix} {surname}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: short-addressing	formal-sorting	en	▷missing◁	{surname}, {given-initial} {given2-initial}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: short-addressing	informal-givenFirst	en	▷missing◁	{given-informal}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: short-addressing	informal-surnameFirst	en	▷missing◁	{given-informal}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: short-addressing	informal-sorting	en	▷missing◁	{surname}, {given-informal}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: short-monogram	formal-givenFirst	en	▷missing◁	{surname-initial-allCaps}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: short-monogram	formal-surnameFirst	en	▷missing◁	{surname-initial-allCaps}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: short-monogram	formal-sorting	en	▷missing◁	{surname-initial-allCaps}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: short-monogram	informal-givenFirst	en	▷missing◁	{given-informal-initial-allCaps}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: short-monogram	informal-surnameFirst	en	▷missing◁	{given-informal-initial-allCaps}	modern
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: short-monogram	informal-sorting	en	▷missing◁	{given-informal-initial-allCaps}	modern
#Section	Page	Header	Code	Locale	Old	New	Level
Timezones	North America	Cities and Regions	Santo_Domingo	hi_Latn	Santo_Domingo	Santo Domingo	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Miscellaneous	Person Name Formats	NameOrder for Locales	givenFirst	root	▷missing◁	und	comprehensive
Miscellaneous	Person Name Formats	NameOrder for Locales	surnameFirst	root	▷missing◁	ja zh ko hu	comprehensive
Miscellaneous	Person Name Formats	InitialPatterns	initial	root	▷missing◁	{0}.	comprehensive
Miscellaneous	Person Name Formats	InitialPatterns	initialSequence	root	▷missing◁	{0} {1}	comprehensive
Miscellaneous	Person Name Formats	SampleName Fields for Item: givenOnly	given	root	▷missing◁	∅∅∅	comprehensive
Miscellaneous	Person Name Formats	SampleName Fields for Item: givenSurnameOnly	given	root	▷missing◁	∅∅∅	comprehensive
Miscellaneous	Person Name Formats	SampleName Fields for Item: givenSurnameOnly	surname	root	▷missing◁	∅∅∅	comprehensive
Miscellaneous	Person Name Formats	SampleName Fields for Item: given12Surname	given	root	▷missing◁	∅∅∅	comprehensive
Miscellaneous	Person Name Formats	SampleName Fields for Item: given12Surname	given2	root	▷missing◁	∅∅∅	comprehensive
Miscellaneous	Person Name Formats	SampleName Fields for Item: given12Surname	surname	root	▷missing◁	∅∅∅	comprehensive
Miscellaneous	Person Name Formats	SampleName Fields for Item: full	prefix	root	▷missing◁	∅∅∅	comprehensive
Miscellaneous	Person Name Formats	SampleName Fields for Item: full	given	root	▷missing◁	∅∅∅	comprehensive
Miscellaneous	Person Name Formats	SampleName Fields for Item: full	given-informal	root	▷missing◁	∅∅∅	comprehensive
Miscellaneous	Person Name Formats	SampleName Fields for Item: full	given2	root	▷missing◁	∅∅∅	comprehensive
Miscellaneous	Person Name Formats	SampleName Fields for Item: full	surname	root	▷missing◁	∅∅∅	comprehensive
Miscellaneous	Person Name Formats	SampleName Fields for Item: full	surname2	root	▷missing◁	∅∅∅	comprehensive
Miscellaneous	Person Name Formats	SampleName Fields for Item: full	suffix	root	▷missing◁	∅∅∅	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: long-referring	formal-givenFirst	root	▷missing◁	{prefix} {given} {given2} {surname} {surname2} {suffix}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: long-referring	formal-surnameFirst	root	▷missing◁	{surname} {surname2} {prefix} {given} {given2} {suffix}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: long-referring	formal-sorting	root	▷missing◁	{surname} {surname2}, {prefix} {given} {given2} {suffix}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: long-referring	informal-givenFirst	root	▷missing◁	{prefix} {given} {given2} {surname} {surname2} {suffix}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: long-referring	informal-surnameFirst	root	▷missing◁	{surname} {surname2} {prefix} {given} {given2} {suffix}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: long-referring	informal-sorting	root	▷missing◁	{surname} {surname2}, {prefix} {given} {given2} {suffix}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: long-addressing	formal-givenFirst	root	▷missing◁	{prefix} {given} {given2} {surname} {surname2} {suffix}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: long-addressing	formal-surnameFirst	root	▷missing◁	{surname} {surname2} {prefix} {given} {given2} {suffix}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: long-addressing	formal-sorting	root	▷missing◁	{surname} {surname2}, {prefix} {given} {given2} {suffix}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: long-addressing	informal-givenFirst	root	▷missing◁	{prefix} {given} {given2} {surname} {surname2} {suffix}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: long-addressing	informal-surnameFirst	root	▷missing◁	{surname} {surname2} {prefix} {given} {given2} {suffix}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: long-addressing	informal-sorting	root	▷missing◁	{surname} {surname2}, {prefix} {given} {given2} {suffix}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: long-monogram	formal-givenFirst	root	▷missing◁	{given-initial-allCaps}{given2-initial-allCaps}{surname-initial-allCaps}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: long-monogram	formal-surnameFirst	root	▷missing◁	{surname-initial-allCaps}{given-initial-allCaps}{given2-initial-allCaps}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: long-monogram	formal-sorting	root	▷missing◁	{surname-initial-allCaps}{given-initial-allCaps}{given2-initial-allCaps}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: long-monogram	informal-givenFirst	root	▷missing◁	{given-initial-allCaps}{given2-initial-allCaps}{surname-initial-allCaps}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: long-monogram	informal-surnameFirst	root	▷missing◁	{surname-initial-allCaps}{given-initial-allCaps}{given2-initial-allCaps}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: long-monogram	informal-sorting	root	▷missing◁	{surname-initial-allCaps}{given-initial-allCaps}{given2-initial-allCaps}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: medium-referring	formal-givenFirst	root	▷missing◁	{prefix} {given} {given2} {surname} {surname2} {suffix}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: medium-referring	formal-surnameFirst	root	▷missing◁	{surname} {surname2} {prefix} {given} {given2} {suffix}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: medium-referring	formal-sorting	root	▷missing◁	{surname} {surname2}, {prefix} {given} {given2} {suffix}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: medium-referring	informal-givenFirst	root	▷missing◁	{prefix} {given} {given2} {surname} {surname2} {suffix}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: medium-referring	informal-surnameFirst	root	▷missing◁	{surname} {surname2} {prefix} {given} {given2} {suffix}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: medium-referring	informal-sorting	root	▷missing◁	{surname} {surname2}, {prefix} {given} {given2} {suffix}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: medium-addressing	formal-givenFirst	root	▷missing◁	{prefix} {given} {given2} {surname} {surname2} {suffix}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: medium-addressing	formal-surnameFirst	root	▷missing◁	{surname} {surname2} {prefix} {given} {given2} {suffix}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: medium-addressing	formal-sorting	root	▷missing◁	{surname} {surname2}, {prefix} {given} {given2} {suffix}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: medium-addressing	informal-givenFirst	root	▷missing◁	{prefix} {given} {given2} {surname} {surname2} {suffix}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: medium-addressing	informal-surnameFirst	root	▷missing◁	{surname} {surname2} {prefix} {given} {given2} {suffix}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: medium-addressing	informal-sorting	root	▷missing◁	{surname} {surname2}, {prefix} {given} {given2} {suffix}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: medium-monogram	formal-givenFirst	root	▷missing◁	{given-initial-allCaps}{given2-initial-allCaps}{surname-initial-allCaps}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: medium-monogram	formal-surnameFirst	root	▷missing◁	{surname-initial-allCaps}{given-initial-allCaps}{given2-initial-allCaps}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: medium-monogram	formal-sorting	root	▷missing◁	{surname-initial-allCaps}{given-initial-allCaps}{given2-initial-allCaps}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: medium-monogram	informal-givenFirst	root	▷missing◁	{given-initial-allCaps}{given2-initial-allCaps}{surname-initial-allCaps}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: medium-monogram	informal-surnameFirst	root	▷missing◁	{surname-initial-allCaps}{given-initial-allCaps}{given2-initial-allCaps}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: medium-monogram	informal-sorting	root	▷missing◁	{surname-initial-allCaps}{given-initial-allCaps}{given2-initial-allCaps}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: short-referring	formal-givenFirst	root	▷missing◁	{prefix} {given} {given2} {surname} {surname2} {suffix}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: short-referring	formal-surnameFirst	root	▷missing◁	{surname} {surname2} {prefix} {given} {given2} {suffix}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: short-referring	formal-sorting	root	▷missing◁	{surname} {surname2}, {prefix} {given} {given2} {suffix}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: short-referring	informal-givenFirst	root	▷missing◁	{prefix} {given} {given2} {surname} {surname2} {suffix}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: short-referring	informal-surnameFirst	root	▷missing◁	{surname} {surname2} {prefix} {given} {given2} {suffix}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: short-referring	informal-sorting	root	▷missing◁	{surname} {surname2}, {prefix} {given} {given2} {suffix}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: short-addressing	formal-givenFirst	root	▷missing◁	{prefix} {given} {given2} {surname} {surname2} {suffix}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: short-addressing	formal-surnameFirst	root	▷missing◁	{surname} {surname2} {prefix} {given} {given2} {suffix}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: short-addressing	formal-sorting	root	▷missing◁	{surname} {surname2}, {prefix} {given} {given2} {suffix}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: short-addressing	informal-givenFirst	root	▷missing◁	{prefix} {given} {given2} {surname} {surname2} {suffix}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: short-addressing	informal-surnameFirst	root	▷missing◁	{surname} {surname2} {prefix} {given} {given2} {suffix}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: short-addressing	informal-sorting	root	▷missing◁	{surname} {surname2}, {prefix} {given} {given2} {suffix}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: short-monogram	formal-givenFirst	root	▷missing◁	{given-initial-allCaps}{given2-initial-allCaps}{surname-initial-allCaps}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: short-monogram	formal-surnameFirst	root	▷missing◁	{surname-initial-allCaps}{given-initial-allCaps}{given2-initial-allCaps}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: short-monogram	formal-sorting	root	▷missing◁	{surname-initial-allCaps}{given-initial-allCaps}{given2-initial-allCaps}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: short-monogram	informal-givenFirst	root	▷missing◁	{given-initial-allCaps}{given2-initial-allCaps}{surname-initial-allCaps}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: short-monogram	informal-surnameFirst	root	▷missing◁	{surname-initial-allCaps}{given-initial-allCaps}{given2-initial-allCaps}	comprehensive
Miscellaneous	Person Name Formats	PersonName Patterns for Length-Usage: short-monogram	informal-sorting	root	▷missing◁	{surname-initial-allCaps}{given-initial-allCaps}{given2-initial-allCaps}	comprehensive
