#Direct.	Language	English Name	Native Name	Script	Default Region	№ Locales	Target Level	≟	Computed Level	ICU	Confirmed	🄼%	ⓜ%	ⓑ%	ⓒ%	Missing Features
common	dyo	Jola-Fonyi	joola	Latn	SN	1		 ≡		ICU	0.9640718562874252	0.0844139333841851	0.22021893110109467	0.6438356164383562	1.0	
common	nnh	Ngiemboon	Shwóŋò ngiembɔɔn	Latn	CM	1		 ≡		ICU	0.8743455497382199	0.04345821325648415	0.12180974477958237	0.6301369863013698	1.0	
common	mzn	Mazanderani	‫مازرونی‬	Arab	IR	1		 ≡		ICU	1.0	0.2552232241038047	0.3797290985520785	0.6266666666666667	1.0	
common	ak	Akan	Akan	Latn	GH	1		 ≡		ICU	0.904950495049505	0.10735243355195029	0.27722772277227725	0.6164383561643836	1.0	
common	dav	Taita	Kitaita	Latn	KE	1		 ≡		ICU	0.9481037924151696	0.12262236875475527	0.3159922928709056	0.6027397260273972	1.0	
common	ebu	Embu	Kĩembu	Latn	KE	1		 ≡		ICU	0.9481037924151696	0.12262236875475527	0.3159922928709056	0.6027397260273972	1.0	
common	bez	Bena	Hibena	Latn	TZ	1		 ≡		ICU	0.952	0.11177759833890875	0.2869615832363213	0.6027397260273972	1.0	
common	asa	Asu	Kipare	Latn	TZ	1		 ≡		ICU	0.9518072289156626	0.11134187146648206	0.28596389050669774	0.6027397260273972	1.0	
common	bem	Bemba	Ichibemba	Latn	ZM	1		 ≡		ICU	0.7835497835497836	0.04359829748073162	0.11525029103608847	0.6027397260273972	1.0	
common	mas	Masai	Maa	Latn	KE	2		 ≡		ICU	0.90234375	0.10828538550057537	0.2789749563191613	0.5945945945945946	1.0	
common	tzm	Central Atlas Tamazight	Tamaziɣt n laṭlaṣ	Latn	MA	1		 ≡		ICU	0.951417004048583	0.10795262267343486	0.27100723427935447	0.5945945945945946	1.0	
common	vai	Vai	ꕙꔤ	Vaii	LR	1		 ≡		ICU	0.949119373776908	0.11314494909049308	0.2536487166582788	0.5921052631578947	1.0	
common	luy	Luyia	Luluhia	Latn	KE	1		 ≡		ICU	0.9516129032258065	0.1218274111675127	0.31402831402831405	0.589041095890411	1.0	
common	teo	Teso	Kiteso	Latn	UG	2		 ≡		ICU	0.9042145593869731	0.11047180667433831	0.28421665695981363	0.581081081081081	1.0	
common	kde	Makonde	Chimakonde	Latn	TZ	1		 ≡		ICU	0.9478957915831663	0.12192336970312104	0.31382636655948554	0.5753424657534246	1.0	
common	guz	Gusii	Ekegusii	Latn	KE	1		 ≡		ICU	0.9477911646586346	0.1216696269982238	0.3131832797427653	0.5753424657534246	1.0	
common	kam	Kamba	Kikamba	Latn	KE	1		 ≡		ICU	0.9477911646586346	0.1216696269982238	0.3131832797427653	0.5753424657534246	1.0	
common	kln	Kalenjin	Kalenjin	Latn	KE	1		 ≡		ICU	0.9477911646586346	0.1216696269982238	0.3131832797427653	0.5753424657534246	1.0	
common	luo	Luo	Dholuo	Latn	KE	1		 ≡		ICU	0.9751552795031055	0.12160101651842439	0.312540192926045	0.5753424657534246	1.0	
common	ki	Kikuyu	Gikuyu	Latn	KE	1		 ≡		ICU	0.9476861167002012	0.12141588429332657	0.312540192926045	0.5753424657534246	1.0	
common	mer	Meru	Kĩmĩrũ	Latn	KE	1		 ≡		ICU	0.9473684210526315	0.12065465617863487	0.3106109324758842	0.5753424657534246	1.0	
common	rof	Rombo	Kihorombo	Latn	TZ	1		 ≡		ICU	0.9076923076923077	0.1103694326159512	0.2837995337995338	0.5753424657534246	1.0	
common	saq	Samburu	Kisampur	Latn	KE	1		 ≡		ICU	0.9042145593869731	0.1103694326159512	0.2837995337995338	0.5753424657534246	1.0	
common	ksb	Shambala	Kishambaa	Latn	TZ	1		 ≡		ICU	0.9515151515151515	0.11044431621465667	0.28321678321678323	0.5753424657534246	1.0	
common	rwk	Rwa	Kiruwa	Latn	TZ	1		 ≡		ICU	0.9515151515151515	0.11044431621465667	0.28321678321678323	0.5753424657534246	1.0	
common	jmc	Machame	Kimachame	Latn	TZ	1		 ≡		ICU	0.9075144508670521	0.1101392565312464	0.28321678321678323	0.5753424657534246	1.0	
common	vun	Vunjo	Kyivunjo	Latn	TZ	1		 ≡		ICU	0.9075144508670521	0.1101392565312464	0.28321678321678323	0.5753424657534246	1.0	
common	xog	Soga	Olusoga	Latn	UG	1		 ≡		ICU	0.951417004048583	0.11023894724691216	0.282798833819242	0.5753424657534246	1.0	
common	cgg	Chiga	Rukiga	Latn	UG	1		 ≡		ICU	0.9069767441860465	0.10939836650178304	0.2811408614668219	0.5753424657534246	1.0	
common	naq	Nama	Khoekhoegowab	Latn	NA	1		 ≡		ICU	0.8676470588235294	0.1009898904802022	0.25945657964837504	0.5753424657534246	1.0	
common	mgh	Makhuwa-Meetto	Makua	Latn	MZ	1		 ≡		ICU	0.9640718562874252	0.08377828629544877	0.2169993560849968	0.5753424657534246	1.0	
common	ses	Koyraboro Senni	Koyraboro senni	Latn	ML	1		 ≡		ICU	0.975	0.1205889819751206	0.30917254650416937	0.5616438356164384	1.0	
common	sg	Sango	Sängö	Latn	CF	1		 ≡		ICU	0.9491869918699187	0.1202435312024353	0.30912596401028275	0.5616438356164384	1.0	
common	khq	Koyra Chiini	Koyra ciini	Latn	ML	1		 ≡		ICU	0.9749478079331941	0.12033511043412033	0.30853110968569597	0.5616438356164384	1.0	
common	seh	Sena	sena	Latn	MZ	1		 ≡		ICU	0.9504132231404959	0.10764088970842457	0.27526132404181186	0.5616438356164384	1.0	
common	lag	Langi	Kɨlaangi	Latn	TZ	1		 ≡		ICU	0.9289940828402367	0.10107845210403892	0.2585287846481876	0.5616438356164384	1.0	
common	kab	Kabyle	Taqbaylit	Latn	DZ	1		 ≡		ICU	0.11683910096325366	0.11392025582092535	0.2138447971781305	0.56	1.0	
common	kkj	Kako	kakɔ	Latn	CM	1		 ≡		ICU	0.8659217877094972	0.04054522351853991	0.11421911421911422	0.56	1.0	
common	lg	Ganda	Luganda	Latn	UG	1		 ≡		ICU	0.9512195121951219	0.10952106174264281	0.2803030303030303	0.547945205479452	1.0	
common	nyn	Nyankole	Runyankore	Latn	UG	1		 ≡		ICU	0.9069767441860465	0.10921855219242721	0.2803030303030303	0.547945205479452	1.0	
common	nd	North Ndebele	isiNdebele	Latn	ZW	1		 ≡		ICU	0.9032882011605415	0.10898837610772241	0.27972027972027974	0.547945205479452	1.0	
common	shi_Latn	Tachelhit (Latin)	Tashelḥiyt (Latn)	Latn	MA	1		 ≡		ICU	0.926829268292683	0.09577989242863054	0.23942944472745797	0.5466666666666666	1.0	
common	shi	Tachelhit	ⵜⴰⵛⵍⵃⵉⵜ	Tfng	MA	1		 ≡		ICU	0.9266802443991853	0.08794447613614756	0.1968174204355109	0.5466666666666666	1.0	
common	bo	Tibetan	བོད་སྐད་	Tibt	CN	2		 ≡		ICU	0.4227053140096618	0.042909413460472334	0.09943714821763602	0.5454545454545454	1.0	
common	bm	Bambara	bamanakan	Latn	ML	1		 ≡		ICU	0.9471544715447154	0.11958449455282492	0.3060179257362356	0.527027027027027	1.0	
common	mfe	Morisyen	kreol morisien	Latn	MU	1		 ≡		ICU	0.9747368421052631	0.11896901980700864	0.3042362002567394	0.5205479452054794	1.0	
common	kl	Kalaallisut	kalaallisut	Latn	GL	1		 ≡		ICU	0.6381991814461119	0.2784243509400179	0.0857307249712313	0.49333333333333335	1.0	
common	uz_Arab	Uzbek (Arabic)	‫اوزبیک (عربی)‬	Arab	AF	0		 ≡		ICU	0.5963302752293578	0.016507297433316557	0.04230769230769231	0.48717948717948717	1.0	
common	pa_Arab	Punjabi (Arabic)	‫پنجابی (عربی)‬	Arab	PK	0		 ≡		ICU	0.9899159663865547	0.24786668005220358	0.04810557684120902	0.4805194805194805	1.0	
common	vai_Latn	Vai (Latin)	Vai (Latn)	Latn	LR	1		 ≡		ICU	0.9400921658986175	0.1045759918874382	0.26713645099295324	0.47368421052631576	1.0	
common	eo	Esperanto	esperanto	Latn	001	1		 ≡		ICU	0.3752079866888519	0.09290366815221117	0.21058755090168702	0.4666666666666667	1.0	
common	gv	Manx	Gaelg	Latn	IM	1		 ≡		ICU	0.3160621761658031	0.01389386877016852	0.042922374429223746	0.4657534246575342	1.0	
common	kw	Cornish	kernewek	Latn	GB	1		 ≡		ICU	0.45161290322580644	0.012216698963686915	0.03784013605442177	0.4657534246575342	1.0	
common	lkt	Lakota	Lakȟólʼiyapi	Latn	US	1		 ≡		ICU	0.8544891640866873	0.0513798804527534	0.08284789644012945	0.4520547945205479	1.0	
seed	ms_Arab	Malay (Arabic)	‫بهاس ملايو (عرب)‬	Arab	MY	2		 ≡			0.573170731707317	0.05068822372733232	0.1052389705882353	0.44155844155844154	1.0	
seed	osa	Osage	𐓏𐓘𐓻𐓘𐓻𐓟	Osge	US	1		 ≡			0.6491228070175439	0.019763300011490292	0.04972095383054287	0.4246575342465753	1.0	
seed	mus	Muscogee	Mvskoke	Latn	US	1		 ≡			0.5465116279069767	0.015031847133757962	0.045954692556634306	0.4246575342465753	1.0	
seed	cic	Chickasaw	Chikashshanompaʼ	Latn	US	1		 ≡			0.4657534246575342	0.011718252451916954	0.037540453074433655	0.4246575342465753	1.0	
seed	cad	Caddo	Caddo	Latn	US	1		 ≡			0.43283582089552236	0.010699273977837218	0.03559870550161812	0.410958904109589	1.0	
seed	gn	Guarani	avañe’ẽ	Latn	PY	1		 ≡			0.3466666666666667	0.010318471337579618	0.03559870550161812	0.410958904109589	1.0	
seed	bss	Akoose	Akoose	Latn	CM	1		 ≡			1.0	0.0143802494273352	0.04392764857881137	0.3561643835616438	1.0	
seed	bgn	Western Balochi	‫بلوچی [رخشانی]‬	Arab	PK	5		 ≡			1.0	0.12001832340815392	0.15123925139099645	0.3333333333333333	1.0	
seed	lij	Ligurian	ligure	Latn	IT	1		 ≡			1.0	0.012147604859041943	0.03720663995420721	0.3333333333333333	1.0	
seed	az_Arab	Azerbaijani (Arabic)	‫تۆرکجه‬	Arab	IR	0		 ≡			1.0	0.02316562914583121	0.03518029903254178	0.32051282051282054	1.0	
seed	bal_Latn	Baluchi (Latin)	Balóchi	Latn	PK	1		 ≡			0.07894736842105263	0.007267274195408928	0.02443280977312391	0.29333333333333333	1.0	
seed	ss	Swati	siSwati	Latn	ZA	2		 ≡			0.2631578947368421	0.005436668594563331	0.01875732708089097	0.2465753424657534	1.0	
seed	tpi	Tok Pisin	tpi	Latn	PG	1		 ≡			0.42424242424242425	0.012733987011333249	0.03749191984486102	0.22972972972972974	1.0	
seed	sdh	Southern Kurdish	‫کوردی خوارگ‬	Arab	IR	2		 ≡			1.0	0.006409582851738993	0.01773215118992067	0.22666666666666666	1.0	
seed	nr	South Ndebele	isiNdebele	Latn	ZA	1		 ≡			0.22413793103448276	0.004742625795257374	0.016412661195779603	0.2191780821917808	1.0	
seed	ve	Venda	Tshivenḓa	Latn	ZA	1		 ≡			0.203125	0.004742625795257374	0.016412661195779603	0.2191780821917808	1.0	
seed	iu	Inuktitut	ᐃᓄᒃᑎᑐᑦ	Cans	CA	1		 ≡			0.6989247311827957	0.014163756305781917	0.03518679409209383	0.21621621621621623	1.0	
seed	bal	Baluchi	‫بلۆچی‬	Arab	PK	1		 ≡			0.0648854961832061	0.005149222362337116	0.014939309056956116	0.21621621621621623	1.0	
seed	mni_Mtei	Manipuri (Meitei Mayek)	ꯃꯤꯇꯩꯂꯣꯟ (ꯃꯤꯇꯩ ꯃꯌꯦꯛ)	Mtei	IN	1		 ≡			0.6190476190476191	0.004518242403704959	0.01318359375	0.20270270270270271	1.0	
seed	sat_Deva	Santali (Devanagari)	सानताड़ी (देवानागारी)	Deva	IN	1		 ≡			0.6521739130434783	0.00411798506033327	0.011819333051920641	0.20270270270270271	1.0	
seed	mn_Mong	Mongolian (Mongolian)	mn (Mong)	Mong	CN	0		 ≡			1.0	0.009819283401232634	0.02487333026255182	0.2	1.0	
seed	szl	Silesian	ślōnski	Latn	PL	1		 ≡			0.005482456140350877	0.004747908659281031	0.013412816691505217	0.17333333333333334	1.0	
seed	nqo	N’Ko	‫ߒߞߏ‬	Nkoo	GN	1		 ≡			0.009699321047526674	0.003767983557889929	0.011586901763224182	0.17333333333333334	1.0	
seed	wbp	Warlpiri	Warlpiri	Latn	AU	1		 ≡			1.0	0.003439052350019106	0.012297734627831715	0.1643835616438356	1.0	
seed	la	Latin	Latina	Latn	VA	1		 ≡			0.013630731102850062	0.004014049172102358	0.013548387096774193	0.16	1.0	
seed	byn	Blin	ብሊን	Ethi	ER	1		 ≡			0.03089887640449438	0.0037887485648679677	0.01112797167425392	0.16	1.0	
seed	wal	Wolaytta	ወላይታቱ	Ethi	ET	1		 ≡			0.043478260869565216	0.003559127439724455	0.010622154779969651	0.16	1.0	
seed	tig	Tigre	ትግረ	Ethi	ER	1		 ≡			0.03081232492997199	0.0034718569174118884	0.01028999064546305	0.16	1.0	
seed	bm_Nkoo	Bambara (N’Ko)	bm (Nkoo)	Nkoo	ML	1		 ≡			0.14516129032258066	0.003434065934065934	0.010552763819095477	0.15789473684210525	1.0	
seed	rhg	Rohingya	‫𐴌𐴗𐴥𐴝𐴙𐴚𐴒𐴙𐴝‬	Rohg	MM	2		 ≡			1.0	0.039420756234915526	0.04515474378488077	0.1506849315068493	1.0	
seed	kpe	Kpelle	Kpɛlɛɛ	Latn	LR	2		 ≡			1.0	0.004076433121019108	0.013592233009708738	0.1506849315068493	1.0	
seed	moh	Mohawk	Kanienʼkéha	Latn	CA	1		 ≡			1.0	0.004076433121019108	0.013592233009708738	0.1506849315068493	1.0	
seed	kaj	Jju	Kaje	Latn	NG	1		 ≡			0.1791044776119403	0.003932909196067091	0.012895662368112544	0.1506849315068493	1.0	
seed	kcg	Tyap	Katab	Latn	NG	1		 ≡			0.19047619047619047	0.003932909196067091	0.012895662368112544	0.1506849315068493	1.0	
seed	ny	Nyanja	Nyanja	Latn	MW	1		 ≡			0.23529411764705882	0.003932909196067091	0.012895662368112544	0.1506849315068493	1.0	
seed	quc	Kʼicheʼ	Kʼicheʼ	Latn	GT	1		 ≡			1.0	0.2929563112979238	0.011650485436893204	0.1506849315068493	1.0	
seed	vec	Venetian	Veneto	Latn	IT	1		 ≡			1.0	0.003238491788110109	0.011137162954279016	0.1506849315068493	1.0	
seed	arn	Mapuche	Mapudungun	Latn	CL	1		 ≡			1.0	0.003057324840764331	0.011003236245954692	0.1506849315068493	1.0	
common	ann	Obolo	Obolo	Latn	NG	1		 ≡			1.0	0.003054989816700611	0.01096067053513862	0.1506849315068493	1.0	
seed	trv	Taroko	patas Taroko	Latn	TW	1		 ≡			0.05303030303030303	0.003928028383172833	0.010855683269476373	0.1506849315068493	1.0	
seed	wa	Walloon	walon	Latn	BE	1		 ≡			1.0	0.0030075187969924814	0.010550996483001172	0.1506849315068493	1.0	
seed	sma	Southern Sami	Åarjelsaemien gïele	Latn	SE	2		 ≡			1.0	0.0027539455566147654	0.0096411355115158	0.1506849315068493	1.0	
seed	smj	Lule Sami	julevsámegiella	Latn	SE	2		 ≡			1.0	0.0027539455566147654	0.0096411355115158	0.1506849315068493	1.0	
seed	ab	Abkhazian	Аԥсшәа	Cyrl	GE	1		 ≡			1.0	0.002758620689655172	0.008629441624365483	0.1506849315068493	1.0	
seed	ba	Bashkir	башҡорт теле	Cyrl	RU	1		 ≡			1.0	0.002758620689655172	0.008629441624365483	0.1506849315068493	1.0	
common	mdf	Moksha	мокшень кяль	Cyrl	RU	1		 ≡			1.0	0.002758620689655172	0.008629441624365483	0.1506849315068493	1.0	
seed	cu	Church Slavic	церковнослове́нскїй	Cyrl	RU	1		 ≡			0.017699115044247787	0.002980967667966063	0.009086320040383645	0.14864864864864866	1.0	
seed	dv	Divehi	‫ދިވެހިބަސް‬	Thaa	MV	1		 ≡			0.391304347826087	0.0028919644701507954	0.00858563036601898	0.14864864864864866	1.0	
seed	scn	Sicilian	sicilianu	Latn	IT	1		 ≡			0.02284263959390863	0.0032172813972193496	0.010944700460829493	0.14666666666666667	1.0	
seed	an	Aragonese	aragonés	Latn	ES	1		 ≡			0.008204193254329991	0.003202195791399817	0.010863350485991996	0.14666666666666667	1.0	
seed	co	Corsican	corsu	Latn	FR	1		 ≡			0.014767932489451477	0.003041825095057034	0.010855683269476373	0.14666666666666667	1.0	
seed	trw	Torwali	‫توروالی‬	Arab	PK	1		 ≡			0.002599090318388564	0.0029092536645406735	0.008933002481389578	0.14666666666666667	1.0	
seed	gaa	Ga	Gã	Latn	GH	1		 ≡			0.0048951048951048955	0.0027745664739884392	0.008790072388831437	0.14666666666666667	1.0	
seed	myv	Erzya	эрзянь кель	Cyrl	RU	1		 ≡			0.03056768558951965	0.0027567195037904893	0.008611955420466059	0.14666666666666667	1.0	
seed	ha_Arab	Hausa (Arabic)	ha (Arab)	Arab	NG	2		 ≡			0.17543859649122806	0.0030956557630791456	0.009000900090009001	0.14285714285714285	1.0	
seed	cch	Atsam	cch	Latn	NG	1		 ≡			0.16393442622950818	0.0036952089704383284	0.012313674659753726	0.1388888888888889	1.0	
seed	ssy	Saho	ssy	Latn	ER	1		 ≡			0.10112359550561797	0.0031239153071850054	0.01056338028169014	0.1388888888888889	1.0	
seed	aa	Afar	Qafar	Latn	ET	3		 ≡			0.11363636363636363	0.00369379696853904	0.012297734627831715	0.136986301369863	1.0	
seed	nv	Navajo	nv	Latn	US	1		 ≡			1.0	0.00267515923566879	0.009708737864077669	0.136986301369863	1.0	
seed	sid	Sidamo	Sidaamu Afo	Latn	ET	1		 ≡			0.12244897959183673	0.0026748184944593045	0.009708737864077669	0.136986301369863	1.0	
common	sms	Skolt Sami	sääʹmǩiõll	Latn	FI	1		 ≡			0.04242424242424243	0.002433604909533383	0.008519701810436636	0.136986301369863	1.0	
seed	iu_Latn	Inuktitut (Latin)	iu (Latn)	Latn	CA	1		 ≡			1.0	0.002435924592247405	0.008560727661851257	0.13513513513513514	1.0	
seed	oc	Occitan	occitan	Latn	FR	1		 ≡			0.007759456838021339	0.003853804077573347	0.009369144284821987	0.13333333333333333	1.0	
common	nds	Low German	Neddersass’sch	Latn	DE	2		 ≡			0.010903426791277258	0.003769791404875597	0.010069225928256766	0.13157894736842105	1.0	
seed	en_Shaw	English (Shavian)	en (Shaw)	Shaw	GB	0		 ≡			0.970873786407767	0.022297624818225885	0.050270688321732405	0.18285714285714286	0.8	ⓒ default_content
seed	hnj	Hmong Njua	𞄀𞄄𞄰𞄩𞄍𞄜𞄰	Hmnp	US	1		 ≡			1.0	0.004824259131633356	0.013171225937183385	0.14864864864864866	0.8	ⓒ country_data
seed	jbo	Lojban	la .lojban.	Latn	001	1		 ≡			0.6363636363636364	0.002802547770700637	0.009708737864077669	0.1232876712328767	0.8	ⓒ country_data
common	tok	Toki Pona	Toki Pona	Latn	001	1		 ≡			1.0	0.0025477707006369425	0.009061488673139158	0.1232876712328767	0.8	ⓒ country_data
seed	io	Ido	Ido	Latn	001	1		 ≡			1.0	0.0025448235974551764	0.008792497069167644	0.1232876712328767	0.8	ⓒ country_data
seed	blt	Tai Dam	ꪼꪕꪒꪾ	Tavt	VN	1		 ≡			1.0	0.002412961047914512	0.0076103500761035	0.1232876712328767	0.8	ⓒ country_data
seed	prg	Prussian	prūsiskan	Latn	001	1		 ≡			0.015209125475285171	0.002527646129541864	0.008515167642362959	0.12	0.8	ⓒ country_data
seed	ken	Kenyang	ken	Latn	CM	1		 ≡			1.0	0.002166156982670744	0.007777057679844459	0.1111111111111111	0.8	ⓒ country_data
seed	vo	Volapük	Volapük	Latn	001	1		 ≡			0.02843601895734597	0.0021934888016624334	0.007589025102159953	0.1095890410958904	0.8	ⓒ country_data
seed	gez	Geez	ግዕዝኛ	Ethi	ET	2		 ≡			0.018018018018018018	0.0021839080459770113	0.006598984771573604	0.1095890410958904	0.8	ⓒ country_data
common	sd_Deva	Sindhi (Devanagari)	सिन्धी (देवनागिरी)	Deva	IN	0	basic	 ≠		ICU	1.0	0.08696975847371625	0.20243266724587317	0.987012987012987	1.0	
common	su	Sundanese	Basa Sunda	Latn	ID	1	basic	 ≠		ICU	0.9928571428571429	0.11070019723865877	0.28923631990378834	0.9866666666666667	1.0	
common	xh	Xhosa	isiXhosa	Latn	ZA	1	moderate	 ≠		ICU	0.9623352165725048	0.3329100773404132	0.19183673469387755	0.7534246575342466	1.0	
common	ff	Fulah	Pulaar	Latn	SN	12	moderate	 ≠		ICU	0.9515151515151515	0.10924842484248425	0.27427317608337903	0.6235294117647059	1.0	
seed	bgc	Haryanvi	हरियाणवी	Deva	IN	1	basic	 ≠			1.0	0.003675626005053986	0.011144883485309016	0.17567567567567569	1.0	
seed	raj	Rajasthani	राजस्थानी	Deva	IN	1	basic	 ≠			1.0	0.003675626005053986	0.011144883485309016	0.17567567567567569	1.0	
seed	bho	Bhojpuri	भोजपुरी	Deva	IN	1	basic	 ≠			1.0	0.0035789473684210526	0.010772833723653397	0.17567567567567569	1.0	
seed	cv	Chuvash	Чӑвашла	Cyrl	RU	1	basic	 ≠			1.0	0.002758620689655172	0.008629441624365483	0.1506849315068493	1.0	
